#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CASP7	GZMB	9606.ENSP00000358327	9606.ENSP00000216341	0	0	0	0	0	0.474	0.900	0.524	0.972
CASP7	TICAM1	9606.ENSP00000358327	9606.ENSP00000248244	0	0	0	0	0.069	0	0	0.167	0.191
CASP7	CD80	9606.ENSP00000358327	9606.ENSP00000264246	0	0	0	0	0.057	0	0	0.156	0.170
CASP7	ERBB3	9606.ENSP00000358327	9606.ENSP00000267101	0	0	0	0	0	0.117	0	0.221	0.283
CASP7	CXCL3	9606.ENSP00000358327	9606.ENSP00000296026	0	0	0	0	0	0	0	0.185	0.185
CASP7	GSDMA	9606.ENSP00000358327	9606.ENSP00000301659	0	0	0	0	0	0.103	0	0.211	0.262
CASP7	FOS	9606.ENSP00000358327	9606.ENSP00000306245	0	0	0	0	0	0	0	0.240	0.239
CASP7	HSPA6	9606.ENSP00000358327	9606.ENSP00000310219	0	0	0	0	0.046	0.140	0	0.091	0.189
CASP7	TGFBR2	9606.ENSP00000358327	9606.ENSP00000351905	0	0	0	0	0.069	0.063	0	0.140	0.184
CASP7	PTPN22	9606.ENSP00000358327	9606.ENSP00000352833	0	0	0	0	0	0	0	0.154	0.154
CASP7	FASLG	9606.ENSP00000358327	9606.ENSP00000356694	0	0	0	0	0	0	0.900	0.561	0.954
CASP7	PTPRC	9606.ENSP00000358327	9606.ENSP00000411355	0	0	0	0	0	0	0	0.158	0.157
CASP7	IRF7	9606.ENSP00000358327	9606.ENSP00000380697	0	0	0	0	0.062	0	0	0.172	0.190
CASP7	TNFAIP3	9606.ENSP00000358327	9606.ENSP00000481570	0	0	0	0	0.079	0.056	0	0.171	0.216
CASP7	IL10	9606.ENSP00000358327	9606.ENSP00000412237	0	0	0	0	0	0	0	0.242	0.241
CASP7	GRB2	9606.ENSP00000358327	9606.ENSP00000376345	0	0	0	0	0	0	0	0.312	0.312
CD80	GZMB	9606.ENSP00000264246	9606.ENSP00000216341	0	0	0	0	0.098	0	0	0.661	0.681
CD80	PIK3R2	9606.ENSP00000264246	9606.ENSP00000222254	0	0	0	0	0	0	0.500	0	0.499
CD80	IL12B	9606.ENSP00000264246	9606.ENSP00000231228	0	0	0	0	0	0	0	0.299	0.299
CD80	TICAM1	9606.ENSP00000264246	9606.ENSP00000248244	0	0	0	0	0.065	0	0	0.294	0.311
CD80	PF4	9606.ENSP00000264246	9606.ENSP00000296029	0	0	0	0	0	0	0	0.167	0.167
CD80	FCRL3	9606.ENSP00000264246	9606.ENSP00000357167	0	0	0	0	0.071	0	0	0.145	0.172
CD80	TGFBR2	9606.ENSP00000264246	9606.ENSP00000351905	0	0	0	0	0	0	0	0.216	0.216
CD80	FOS	9606.ENSP00000264246	9606.ENSP00000306245	0	0	0	0	0	0	0	0.247	0.246
CD80	TNFAIP3	9606.ENSP00000264246	9606.ENSP00000481570	0	0	0	0	0.100	0	0	0.234	0.281
CD80	CXCL3	9606.ENSP00000264246	9606.ENSP00000296026	0	0	0	0	0.062	0	0	0.292	0.307
CD80	IL12A	9606.ENSP00000264246	9606.ENSP00000303231	0	0	0	0	0	0	0	0.430	0.430
CD80	PTPN22	9606.ENSP00000264246	9606.ENSP00000352833	0	0	0	0	0.196	0	0	0.321	0.431
CD80	IRF5	9606.ENSP00000264246	9606.ENSP00000349770	0	0	0	0	0.102	0	0	0.402	0.440
CD80	GATA3	9606.ENSP00000264246	9606.ENSP00000368632	0	0	0	0	0	0	0	0.504	0.504
CD80	IRF7	9606.ENSP00000264246	9606.ENSP00000380697	0	0	0	0	0.107	0	0	0.472	0.509
CD80	FASLG	9606.ENSP00000264246	9606.ENSP00000356694	0	0	0	0	0	0	0	0.607	0.607
CD80	HAVCR2	9606.ENSP00000264246	9606.ENSP00000312002	0	0	0	0	0.139	0	0	0.674	0.707
CD80	TNFSF4	9606.ENSP00000264246	9606.ENSP00000281834	0	0	0	0	0.063	0	0	0.749	0.755
CD80	PTPRC	9606.ENSP00000264246	9606.ENSP00000411355	0	0	0	0	0.335	0	0	0.804	0.864
CD80	GRB2	9606.ENSP00000264246	9606.ENSP00000376345	0	0	0	0	0.063	0	0.900	0.291	0.927
CD80	IL10	9606.ENSP00000264246	9606.ENSP00000412237	0	0	0	0	0.088	0	0.900	0.868	0.986
CXCL3	GZMB	9606.ENSP00000296026	9606.ENSP00000216341	0	0	0	0	0	0	0	0.190	0.190
CXCL3	IL12B	9606.ENSP00000296026	9606.ENSP00000231228	0	0	0	0	0.062	0	0	0.321	0.336
CXCL3	FASLG	9606.ENSP00000296026	9606.ENSP00000356694	0	0	0	0	0.062	0	0	0.150	0.168
CXCL3	IRF5	9606.ENSP00000296026	9606.ENSP00000349770	0	0	0	0	0.055	0	0	0.160	0.172
CXCL3	FOS	9606.ENSP00000296026	9606.ENSP00000306245	0	0	0	0	0	0	0	0.283	0.283
CXCL3	IRF7	9606.ENSP00000296026	9606.ENSP00000380697	0	0	0	0	0.065	0	0	0.324	0.340
CXCL3	PTPRC	9606.ENSP00000296026	9606.ENSP00000411355	0	0	0	0	0.062	0	0	0.354	0.368
CXCL3	TNFAIP3	9606.ENSP00000296026	9606.ENSP00000481570	0	0	0	0	0.201	0	0	0.394	0.495
CXCL3	PF4	9606.ENSP00000296026	9606.ENSP00000296029	0	0	0	0.862	0.088	0	0.500	0.769	0.574
CXCL3	IL10	9606.ENSP00000296026	9606.ENSP00000412237	0	0	0	0	0.065	0	0	0.744	0.750
DRD4	FOS	9606.ENSP00000176183	9606.ENSP00000306245	0	0	0	0	0	0	0	0.185	0.185
DRD4	IRF5	9606.ENSP00000176183	9606.ENSP00000349770	0	0	0	0	0	0	0	0.190	0.190
DRD4	GRB2	9606.ENSP00000176183	9606.ENSP00000376345	0	0	0	0	0	0.270	0	0.047	0.274
ERBB3	PIK3R2	9606.ENSP00000267101	9606.ENSP00000222254	0	0	0	0	0	0.882	0.800	0.622	0.990
ERBB3	IL10	9606.ENSP00000267101	9606.ENSP00000412237	0	0	0	0	0	0	0	0.161	0.161
ERBB3	PTPRC	9606.ENSP00000267101	9606.ENSP00000411355	0	0	0	0	0	0.150	0	0.151	0.247
ERBB3	UBASH3A	9606.ENSP00000267101	9606.ENSP00000317327	0	0	0	0	0	0	0	0.323	0.323
ERBB3	TGFBR2	9606.ENSP00000267101	9606.ENSP00000351905	0	0	0	0	0	0.107	0	0.275	0.325
ERBB3	GATA3	9606.ENSP00000267101	9606.ENSP00000368632	0	0	0	0	0.062	0	0	0.329	0.344
ERBB3	FOS	9606.ENSP00000267101	9606.ENSP00000306245	0	0	0	0	0	0.062	0	0.333	0.348
ERBB3	PTPN22	9606.ENSP00000267101	9606.ENSP00000352833	0	0	0	0	0	0.150	0	0.406	0.473
ERBB3	GRB2	9606.ENSP00000267101	9606.ENSP00000376345	0	0	0	0	0	0.948	0.900	0.944	0.999
FASLG	GZMB	9606.ENSP00000356694	9606.ENSP00000216341	0	0	0	0	0.239	0	0	0.756	0.806
FASLG	TICAM1	9606.ENSP00000356694	9606.ENSP00000248244	0	0	0	0	0	0	0	0.177	0.177
FASLG	TNFSF4	9606.ENSP00000356694	9606.ENSP00000281834	0	0	0	0	0	0	0	0.451	0.451
FASLG	PF4	9606.ENSP00000356694	9606.ENSP00000296029	0	0	0	0	0	0	0	0.168	0.167
FASLG	FOS	9606.ENSP00000356694	9606.ENSP00000306245	0	0	0	0	0	0	0	0.391	0.390
FASLG	HAVCR2	9606.ENSP00000356694	9606.ENSP00000312002	0	0	0	0	0.076	0	0	0.504	0.522
FASLG	IRF5	9606.ENSP00000356694	9606.ENSP00000349770	0	0	0	0	0	0	0	0.184	0.183
FASLG	TGFBR2	9606.ENSP00000356694	9606.ENSP00000351905	0	0	0	0	0	0	0	0.218	0.218
FASLG	PTPN22	9606.ENSP00000356694	9606.ENSP00000352833	0	0	0	0	0.070	0	0	0.146	0.172
FASLG	FCRL3	9606.ENSP00000356694	9606.ENSP00000357167	0	0	0	0	0.110	0	0	0.108	0.172
FASLG	IRF7	9606.ENSP00000356694	9606.ENSP00000380697	0	0	0	0	0	0	0	0.233	0.232
FASLG	TNFAIP3	9606.ENSP00000356694	9606.ENSP00000481570	0	0	0	0	0	0	0	0.260	0.260
FASLG	GATA3	9606.ENSP00000356694	9606.ENSP00000368632	0	0	0	0	0	0	0	0.335	0.335
FASLG	PTPRC	9606.ENSP00000356694	9606.ENSP00000411355	0	0	0	0	0.088	0	0	0.508	0.532
FASLG	IL10	9606.ENSP00000356694	9606.ENSP00000412237	0	0	0	0	0.062	0	0	0.684	0.690
FASLG	GRB2	9606.ENSP00000356694	9606.ENSP00000376345	0	0	0	0	0	0.678	0	0.235	0.743
FCRL3	GZMB	9606.ENSP00000357167	9606.ENSP00000216341	0	0	0	0	0.107	0	0	0.099	0.161
FCRL3	UBASH3A	9606.ENSP00000357167	9606.ENSP00000317327	0	0	0	0	0.098	0	0	0.337	0.377
FCRL3	IRF5	9606.ENSP00000357167	9606.ENSP00000349770	0	0	0	0	0.073	0	0	0.240	0.265
FCRL3	PTPN22	9606.ENSP00000357167	9606.ENSP00000352833	0	0	0	0	0.098	0.184	0	0.740	0.791
FCRL3	GSDMB	9606.ENSP00000357167	9606.ENSP00000415049	0	0	0	0	0	0	0	0.180	0.179
FCRL3	IL10	9606.ENSP00000357167	9606.ENSP00000412237	0	0	0	0	0	0	0	0.206	0.206
FCRL3	TNFAIP3	9606.ENSP00000357167	9606.ENSP00000481570	0	0	0	0	0	0	0	0.321	0.321
FCRL3	PTPRC	9606.ENSP00000357167	9606.ENSP00000411355	0	0	0	0	0.172	0.184	0	0.077	0.322
FOS	SCT	9606.ENSP00000306245	9606.ENSP00000176195	0	0	0	0	0	0	0	0.354	0.354
FOS	GZMB	9606.ENSP00000306245	9606.ENSP00000216341	0	0	0	0	0	0	0	0.210	0.210
FOS	PIK3R2	9606.ENSP00000306245	9606.ENSP00000222254	0	0	0	0	0	0.144	0	0.146	0.237
FOS	TICAM1	9606.ENSP00000306245	9606.ENSP00000248244	0	0	0	0	0	0	0	0.205	0.205
FOS	TNFSF4	9606.ENSP00000306245	9606.ENSP00000281834	0	0	0	0	0	0	0	0.152	0.151
FOS	IL12A	9606.ENSP00000306245	9606.ENSP00000303231	0	0	0	0	0	0	0	0.152	0.152
FOS	IRF5	9606.ENSP00000306245	9606.ENSP00000349770	0	0	0	0	0	0	0	0.226	0.225
FOS	HSPA6	9606.ENSP00000306245	9606.ENSP00000310219	0	0	0	0	0.052	0.058	0	0.271	0.292
FOS	TNFAIP3	9606.ENSP00000306245	9606.ENSP00000481570	0	0	0	0	0.069	0	0	0.327	0.346
FOS	IRF7	9606.ENSP00000306245	9606.ENSP00000380697	0	0	0	0	0.062	0	0	0.335	0.349
FOS	TGFBR2	9606.ENSP00000306245	9606.ENSP00000351905	0	0	0	0	0	0.064	0	0.338	0.354
FOS	PTPRC	9606.ENSP00000306245	9606.ENSP00000411355	0	0	0	0	0.066	0	0	0.380	0.396
FOS	GRB2	9606.ENSP00000306245	9606.ENSP00000376345	0	0	0	0	0	0	0	0.520	0.520
FOS	IL10	9606.ENSP00000306245	9606.ENSP00000412237	0	0	0	0	0	0.105	0	0.533	0.564
FOS	GATA3	9606.ENSP00000306245	9606.ENSP00000368632	0	0	0	0	0.062	0.151	0.600	0.462	0.806
GATA3	GZMB	9606.ENSP00000368632	9606.ENSP00000216341	0	0	0	0	0	0	0	0.556	0.556
GATA3	TICAM1	9606.ENSP00000368632	9606.ENSP00000248244	0	0	0	0	0	0	0	0.169	0.169
GATA3	TNFSF4	9606.ENSP00000368632	9606.ENSP00000281834	0	0	0	0	0	0	0	0.471	0.471
GATA3	IL12A	9606.ENSP00000368632	9606.ENSP00000303231	0	0	0	0	0	0	0	0.189	0.189
GATA3	HAVCR2	9606.ENSP00000368632	9606.ENSP00000312002	0	0	0	0	0	0	0	0.390	0.390
GATA3	IRF5	9606.ENSP00000368632	9606.ENSP00000349770	0	0	0	0	0	0	0	0.181	0.181
GATA3	TGFBR2	9606.ENSP00000368632	9606.ENSP00000351905	0	0	0	0	0	0.139	0	0.298	0.370
GATA3	PTPN22	9606.ENSP00000368632	9606.ENSP00000352833	0	0	0	0	0.062	0	0	0.183	0.200
GATA3	GRB2	9606.ENSP00000368632	9606.ENSP00000376345	0	0	0	0	0	0	0	0.198	0.198
GATA3	TNFAIP3	9606.ENSP00000368632	9606.ENSP00000481570	0	0	0	0	0.062	0	0	0.181	0.198
GATA3	IRF7	9606.ENSP00000368632	9606.ENSP00000380697	0	0	0	0	0	0	0	0.211	0.211
GATA3	GSDMB	9606.ENSP00000368632	9606.ENSP00000415049	0	0	0	0	0	0	0	0.252	0.252
GATA3	PTPRC	9606.ENSP00000368632	9606.ENSP00000411355	0	0	0	0	0.062	0	0	0.629	0.638
GATA3	IL10	9606.ENSP00000368632	9606.ENSP00000412237	0	0	0	0	0	0	0	0.740	0.740
GRB2	GZMB	9606.ENSP00000376345	9606.ENSP00000216341	0	0	0	0	0	0	0	0.633	0.633
GRB2	PIK3R2	9606.ENSP00000376345	9606.ENSP00000222254	0	0	0	0.629	0	0.702	0.500	0.572	0.876
GRB2	IRF5	9606.ENSP00000376345	9606.ENSP00000349770	0	0	0	0	0	0.157	0	0.448	0.515
GRB2	TGFBR2	9606.ENSP00000376345	9606.ENSP00000351905	0	0	0	0	0	0.156	0	0.732	0.764
GRB2	PTPN22	9606.ENSP00000376345	9606.ENSP00000352833	0	0	0	0	0.054	0.346	0	0.329	0.549
GRB2	IL10	9606.ENSP00000376345	9606.ENSP00000412237	0	0	0	0	0	0	0	0.261	0.261
GRB2	PTPRC	9606.ENSP00000376345	9606.ENSP00000411355	0	0	0	0	0.062	0.302	0	0.376	0.556
GSDMA	PTPN22	9606.ENSP00000301659	9606.ENSP00000352833	0	0	0	0	0	0	0	0.234	0.234
GSDMA	UBASH3A	9606.ENSP00000301659	9606.ENSP00000317327	0	0	0	0	0	0	0	0.279	0.279
GSDMA	GSDMB	9606.ENSP00000301659	9606.ENSP00000415049	0	0	0	0.699	0	0	0	0.909	0.302
GSDMA	TGFBR2	9606.ENSP00000301659	9606.ENSP00000351905	0	0	0	0	0	0	0	0.412	0.412
GSDMB	UBASH3A	9606.ENSP00000415049	9606.ENSP00000317327	0	0	0	0	0	0	0	0.298	0.298
GSDMB	TNIP1	9606.ENSP00000415049	9606.ENSP00000317891	0	0	0	0	0	0	0	0.180	0.179
GSDMB	IRF5	9606.ENSP00000415049	9606.ENSP00000349770	0	0	0	0	0	0	0	0.212	0.212
GSDMB	PTPN22	9606.ENSP00000415049	9606.ENSP00000352833	0	0	0	0	0	0	0	0.292	0.292
GZMB	TICAM1	9606.ENSP00000216341	9606.ENSP00000248244	0	0	0	0	0	0	0	0.153	0.152
GZMB	TNFAIP3	9606.ENSP00000216341	9606.ENSP00000481570	0	0	0	0	0.065	0	0	0.150	0.171
GZMB	HSPA6	9606.ENSP00000216341	9606.ENSP00000310219	0	0	0	0	0.100	0.058	0	0.125	0.193
GZMB	PF4	9606.ENSP00000216341	9606.ENSP00000296029	0	0	0	0	0.099	0	0	0.154	0.205
GZMB	IRF5	9606.ENSP00000216341	9606.ENSP00000349770	0	0	0	0	0.076	0	0	0.181	0.210
GZMB	TGFBR2	9606.ENSP00000216341	9606.ENSP00000351905	0	0	0	0	0	0.056	0	0.285	0.296
GZMB	PTPN22	9606.ENSP00000216341	9606.ENSP00000352833	0	0	0	0	0.098	0.056	0	0.243	0.299
GZMB	UBASH3A	9606.ENSP00000216341	9606.ENSP00000317327	0	0	0	0	0.140	0	0	0.245	0.322
GZMB	IRF7	9606.ENSP00000216341	9606.ENSP00000380697	0	0	0	0	0.089	0	0	0.362	0.394
GZMB	TNFSF4	9606.ENSP00000216341	9606.ENSP00000281834	0	0	0	0	0	0	0	0.427	0.426
GZMB	HAVCR2	9606.ENSP00000216341	9606.ENSP00000312002	0	0	0	0	0.138	0	0	0.685	0.716
GZMB	IL10	9606.ENSP00000216341	9606.ENSP00000412237	0	0	0	0	0	0	0	0.718	0.718
GZMB	PTPRC	9606.ENSP00000216341	9606.ENSP00000411355	0	0	0	0	0.211	0.056	0	0.701	0.757
HAVCR2	TNFSF4	9606.ENSP00000312002	9606.ENSP00000281834	0	0	0	0	0.062	0	0	0.459	0.470
HAVCR2	TGFBR2	9606.ENSP00000312002	9606.ENSP00000351905	0	0	0	0	0	0	0	0.165	0.165
HAVCR2	PTPN22	9606.ENSP00000312002	9606.ENSP00000352833	0	0	0	0	0.124	0	0	0.095	0.173
HAVCR2	IRF5	9606.ENSP00000312002	9606.ENSP00000349770	0	0	0	0	0.097	0	0	0.122	0.173
HAVCR2	IRF7	9606.ENSP00000312002	9606.ENSP00000380697	0	0	0	0	0	0	0	0.173	0.173
HAVCR2	PTPRC	9606.ENSP00000312002	9606.ENSP00000411355	0	0	0	0	0.207	0	0	0.600	0.669
HAVCR2	IL10	9606.ENSP00000312002	9606.ENSP00000412237	0	0	0	0	0.076	0	0	0.681	0.692
HSPA6	PIK3R2	9606.ENSP00000310219	9606.ENSP00000222254	0	0	0	0	0.048	0.158	0	0.074	0.192
HSPA6	TGFBR2	9606.ENSP00000310219	9606.ENSP00000351905	0	0	0	0	0	0.125	0	0.104	0.182
HSPA6	UBASH3A	9606.ENSP00000310219	9606.ENSP00000317327	0.048	0	0	0	0.065	0.285	0	0.062	0.324
IL10	SCT	9606.ENSP00000412237	9606.ENSP00000176195	0	0	0	0	0	0	0	0.159	0.159
IL10	IL12B	9606.ENSP00000412237	9606.ENSP00000231228	0	0	0	0	0.063	0	0.900	0.646	0.963
IL10	TICAM1	9606.ENSP00000412237	9606.ENSP00000248244	0	0	0	0	0	0	0	0.392	0.392
IL10	TNFSF4	9606.ENSP00000412237	9606.ENSP00000281834	0	0	0	0	0.062	0	0	0.621	0.629
IL10	PF4	9606.ENSP00000412237	9606.ENSP00000296029	0	0	0	0	0.062	0	0	0.496	0.507
IL10	IL12A	9606.ENSP00000412237	9606.ENSP00000303231	0	0	0	0	0	0	0.900	0.567	0.954
IL10	TNIP1	9606.ENSP00000412237	9606.ENSP00000317891	0	0	0	0	0.062	0	0	0.267	0.283
IL10	IRF5	9606.ENSP00000412237	9606.ENSP00000349770	0	0	0	0	0.061	0	0	0.578	0.586
IL10	TGFBR2	9606.ENSP00000412237	9606.ENSP00000351905	0	0	0	0	0	0.060	0	0.450	0.460
IL10	PTPN22	9606.ENSP00000412237	9606.ENSP00000352833	0	0	0	0	0	0	0	0.469	0.469
IL10	IRF7	9606.ENSP00000412237	9606.ENSP00000380697	0	0	0	0	0	0	0	0.569	0.569
IL10	PTPRC	9606.ENSP00000412237	9606.ENSP00000411355	0	0	0	0	0.069	0	0	0.794	0.800
IL10	TNFAIP3	9606.ENSP00000412237	9606.ENSP00000481570	0	0	0	0	0.062	0	0	0.460	0.471
IL12A	IL12B	9606.ENSP00000303231	9606.ENSP00000231228	0	0	0	0	0	0.951	0.900	0.669	0.998
IL12A	TNFSF4	9606.ENSP00000303231	9606.ENSP00000281834	0	0	0	0	0	0	0	0.188	0.188
IL12A	IRF7	9606.ENSP00000303231	9606.ENSP00000380697	0	0	0	0	0	0	0	0.157	0.156
IL12A	TNIP1	9606.ENSP00000303231	9606.ENSP00000317891	0	0	0	0	0	0	0	0.204	0.204
IL12A	PTPRC	9606.ENSP00000303231	9606.ENSP00000411355	0	0	0	0	0.062	0	0	0.199	0.217
IL12A	IRF5	9606.ENSP00000303231	9606.ENSP00000349770	0	0	0	0	0	0	0	0.278	0.278
IRF5	TICAM1	9606.ENSP00000349770	9606.ENSP00000248244	0	0	0	0	0.088	0	0	0.358	0.389
IRF5	SLC15A4	9606.ENSP00000349770	9606.ENSP00000266771	0	0	0	0	0.066	0	0	0.402	0.417
IRF5	TNFSF4	9606.ENSP00000349770	9606.ENSP00000281834	0	0	0	0	0	0	0	0.543	0.543
IRF5	UBASH3A	9606.ENSP00000349770	9606.ENSP00000317327	0	0	0	0	0.077	0	0	0.125	0.158
IRF5	TNIP1	9606.ENSP00000349770	9606.ENSP00000317891	0	0	0	0	0.069	0	0	0.603	0.614
IRF5	NRROS	9606.ENSP00000349770	9606.ENSP00000328625	0	0	0	0	0.152	0	0	0	0.152
IRF5	PTPRC	9606.ENSP00000349770	9606.ENSP00000411355	0	0	0	0	0.160	0	0	0.343	0.424
IRF5	TNFAIP3	9606.ENSP00000349770	9606.ENSP00000481570	0	0	0	0	0.095	0	0	0.652	0.672
IRF5	PTPN22	9606.ENSP00000349770	9606.ENSP00000352833	0	0	0	0	0.107	0	0	0.685	0.706
IRF5	IRF7	9606.ENSP00000349770	9606.ENSP00000380697	0	0	0	0.678	0.117	0	0.900	0.973	0.936
IRF7	TICAM1	9606.ENSP00000380697	9606.ENSP00000248244	0	0	0	0	0.139	0.213	0.800	0.626	0.942
IRF7	SLC15A4	9606.ENSP00000380697	9606.ENSP00000266771	0	0	0	0	0.062	0	0	0.344	0.359
IRF7	TNFSF4	9606.ENSP00000380697	9606.ENSP00000281834	0	0	0	0	0.062	0	0	0.229	0.245
IRF7	PF4	9606.ENSP00000380697	9606.ENSP00000296029	0	0	0	0	0.065	0	0	0.149	0.171
IRF7	TNIP1	9606.ENSP00000380697	9606.ENSP00000317891	0	0	0	0	0.098	0	0	0.335	0.374
IRF7	PTPN22	9606.ENSP00000380697	9606.ENSP00000352833	0	0	0	0	0.069	0	0	0.294	0.314
IRF7	PTPRC	9606.ENSP00000380697	9606.ENSP00000411355	0	0	0	0	0.097	0	0	0.423	0.457
IRF7	TNFAIP3	9606.ENSP00000380697	9606.ENSP00000481570	0	0	0	0	0.111	0.270	0	0.455	0.615
MFHAS1	PTPRC	9606.ENSP00000276282	9606.ENSP00000411355	0	0	0	0	0	0.178	0	0.043	0.179
MFHAS1	TNFAIP3	9606.ENSP00000276282	9606.ENSP00000481570	0	0	0	0	0	0	0	0.203	0.203
NOV	TGFBR2	9606.ENSP00000259526	9606.ENSP00000351905	0	0	0	0	0.075	0	0	0.141	0.171
NRROS	TICAM1	9606.ENSP00000328625	9606.ENSP00000248244	0	0	0	0	0.083	0.060	0	0.108	0.163
NRROS	TGFBR2	9606.ENSP00000328625	9606.ENSP00000351905	0	0	0	0	0.084	0.089	0	0.090	0.175
NRROS	PTPN22	9606.ENSP00000328625	9606.ENSP00000352833	0	0	0	0	0.179	0.148	0	0.043	0.272
NRROS	PTPRC	9606.ENSP00000328625	9606.ENSP00000411355	0	0	0	0	0.281	0.178	0	0.098	0.420
NRROS	TNFAIP3	9606.ENSP00000328625	9606.ENSP00000481570	0	0	0	0	0.110	0	0	0.566	0.597
OTUD3	TNFAIP3	9606.ENSP00000364261	9606.ENSP00000481570	0	0	0	0	0	0	0	0.185	0.185
PF4	PTPRC	9606.ENSP00000296029	9606.ENSP00000411355	0	0	0	0	0.096	0	0	0.395	0.429
PIK3R2	PTPRC	9606.ENSP00000222254	9606.ENSP00000411355	0	0	0	0	0	0.095	0	0.106	0.156
PIK3R2	TGFBR2	9606.ENSP00000222254	9606.ENSP00000351905	0	0	0	0	0	0.867	0	0.148	0.882
PTPN22	SLC15A4	9606.ENSP00000352833	9606.ENSP00000266771	0	0	0	0	0.062	0	0	0.267	0.283
PTPN22	TNFSF4	9606.ENSP00000352833	9606.ENSP00000281834	0	0	0	0	0	0	0	0.469	0.469
PTPN22	UBASH3A	9606.ENSP00000352833	9606.ENSP00000317327	0	0	0	0	0.118	0	0	0.664	0.691
