#node	identifier	node_degree
BAD	9606.ENSP00000378040	3
BCL2L11	9606.ENSP00000376943	12
CEBPA	9606.ENSP00000427514	6
DNLZ	9606.ENSP00000360803	0
GZMB	9606.ENSP00000216341	10
HHEX	9606.ENSP00000282728	1
IL12A	9606.ENSP00000303231	3
IL12B	9606.ENSP00000231228	3
IL2RA	9606.ENSP00000369293	12
IL2RB	9606.ENSP00000216223	11
MMP9	9606.ENSP00000361405	11
NCR1	9606.ENSP00000291890	7
PLAU	9606.ENSP00000361850	8
PMPCA	9606.ENSP00000360782	0
RASGRP1	9606.ENSP00000310244	5
RNF186	9606.ENSP00000364263	0
SYK	9606.ENSP00000364907	12
TGFBR2	9606.ENSP00000351905	10
TRAF1	9606.ENSP00000362994	9
UBE2L3	9606.ENSP00000400906	1
