Trait,shorttrait
AAD_Eriksson_33574239_1,AAD_Eriksson
AAVMPO_Wong_up_1,AAVMPO_Wong
AAVPR3_Wong_up_1,AAVPR3_Wong
ALLERG_ASTHMA_FinnGen_FinnGenR5_1,ALLERG_ASTHMA FG
ASTAO_Ferreira_30929738_1,ASTAO_Ferreira
ASTCO_Ferreira_30929738_1,ASTCO_Ferreira
ASTHMA_CHILD_FinnGen_FinnGenR5_1,ASTHMA_CHILD FG
ASTHMA_EOSINOPHIL_SUGG_FinnGen_FinnGenR5_1,ASTHMA_EOSINOPHIL_SUGG FG
AST_Sakaue_doi1011012020102320213652_1,AST_Sakaue_doi1011012020102320213652_1
ATD_Paternoster_26482879_1,ATD_Paternoster
AUTOIMMUNE_HYPERTHYROIDISM_FinnGen_FinnGenR5_1,AUTOIMMUNE_HYPERTHYROIDISM FG
CHILDHOOD_ALLERGY_FinnGen_FinnGenR5_1,CHILDHOOD_ALLERGY FG
CHIRBIL_PRIM_FinnGen_FinnGenR5_1,CHIRBIL_PRIM FG
CREST_FinnGen_FinnGenR5_1,CREST FG
D3_SARCOIDOSIS_FinnGen_FinnGenR5_1,D3_SARCOIDOSIS FG
DERMATOPOLY_FG_FinnGen_FinnGenR5_1,DERMATOPOLY_FG FG
DMY_Miller_26291516_1,DMY_Miller
E4_HYTHYPOSTINF_FinnGen_FinnGenR5_1,E4_HYTHYPOSTINF FG
E4_THYROIDITAUTOIM_FinnGen_FinnGenR5_1,E4_THYROIDITAUTOIM FG
EGPAANCAn_Lyons_31719529_1,EGPAANCAn_Lyons
EGPAMPO_Lyons_31719529_1,EGPAMPO_Lyons
EGPA_Lyons_31719529_1,EGPA_Lyons
EOE_Kottyan_25017104_1,EOE_Kottyan
GOUT_FinnGen_FinnGenR5_1,GOUT FG
GRAVD_Kubo_BBJ_1,GRAVD_Kubo_BBJ_1
IGAD_Bronson_27723758_1,IGAD_Bronson
J10_ASTHMA_FinnGen_FinnGenR5_1,J10_ASTHMA FG
J10_COPD_FinnGen_FinnGenR5_1,J10_COPD FG
J10_NASALPOLYP_FinnGen_FinnGenR5_1,J10_NASALPOLYP FG
J10_VASOALLERRHIN_FinnGen_FinnGenR5_1,J10_VASOALLERRHIN FG
JDM_Miller_26291516_1,JDM_Miller
JIA_LopezIsac_33106285_1,JIA_LopezIsac
K11_CD_NOUC_FinnGen_FinnGenR5_1,K11_CD_NOUC FG
K11_COELIAC_FinnGen_FinnGenR5_1,K11_COELIAC FG
K11_CROHN_FinnGen_FinnGenR5_1,K11_CROHN FG
K11_ENERCOLNONINF_FinnGen_FinnGenR5_1,K11_ENERCOLNONINF FG
K11_PSC_COLITIS_FinnGen_FinnGenR5_1,K11_PSC_COLITIS FG
K11_ULCER_FinnGen_FinnGenR5_1,K11_ULCER FG
L12_ALLERGICCONTACT_FinnGen_FinnGenR5_1,L12_ALLERGICCONTACT FG
L12_ATOPIC_FinnGen_FinnGenR5_1,L12_ATOPIC FG
L12_DERMATHERP_FinnGen_FinnGenR5_1,L12_DERMATHERP FG
L12_DERMATITISECZEMA_FinnGen_FinnGenR5_1,L12_DERMATITISECZEMA FG
L12_LICHENPLANUS_FinnGen_FinnGenR5_1,L12_LICHENPLANUS FG
L12_LICHENSCLERATROPH_FinnGen_FinnGenR5_1,L12_LICHENSCLERATROPH FG
L12_LUPUS_FinnGen_FinnGenR5_1,L12_LUPUS FG
L12_PSORIASIS_FinnGen_FinnGenR5_1,L12_PSORIASIS FG
L12_PSORI_VULG_FinnGen_FinnGenR5_1,L12_PSORI_VULG FG
M13_ANKYLOSPON_FinnGen_FinnGenR5_1,M13_ANKYLOSPON FG
M13_JUVEARTH_FinnGen_FinnGenR5_1,M13_JUVEARTH FG
M13_JUVERHEU_FinnGen_FinnGenR5_1,M13_JUVERHEU FG
M13_PALINDROMIC_FinnGen_FinnGenR5_1,M13_PALINDROMIC FG
M13_POLYMYALGIA_FinnGen_FinnGenR5_1,M13_POLYMYALGIA FG
M13_SJOGREN_FinnGen_FinnGenR5_1,M13_SJOGREN FG
M13_SYSTSLCE_FinnGen_FinnGenR5_1,M13_SYSTSLCE FG
MYGEO_Renton_25643325_1,MYGEO_Renton
MYGLO_Renton_25643325_1,MYGLO_Renton
MYG_Renton_25643325_1,MYG_Renton
MYO_Miller_26291516_1,MYO_Miller
PM_Miller_26291516_1,PM_Miller
POLLENALLERG_FinnGen_FinnGenR5_1,POLLENALLERG FG
PSA_Aterido_30552173_2,PSA_Aterido_30552173_2
PSOR_ENTE_ARTHR_FinnGen_FinnGenR5_1,PSOR_ENTE_ARTHR FG
RHEUMA_SERONEG_FinnGen_FinnGenR5_1,RHEUMA_SERONEG FG
RHEUMA_SEROPOS_FinnGen_FinnGenR5_1,RHEUMA_SEROPOS FG
SLE_FG_FinnGen_FinnGenR5_1,SLE_FG FG
SPONDYLOARTHRITIS_FinnGen_FinnGenR5_1,SPONDYLOARTHRITIS FG
SSC_LopezIsac_31672989_1,SSC_LopezIsac
STILL_ADULT_FinnGen_FinnGenR5_1,STILL_ADULT FG
T1D_Chiou_34012112_1,T1D_Chiou
TAK_Renauer_25604533_1,TAK_Renauer
THYROIDITIS_FinnGen_FinnGenR5_1,THYROIDITIS FG
UC_Julia_25082827_1,UC_Julia
allergy/hypersensitivity/anaphylaxis (UKBB),anaphylaxis (UKBB)
asthma (UKBB),asthma (UKBB)
colitis/not crohns or ulcerative colitis (UKBB),colitis UKBB crohns or ulcerative colitis (UKBB)
crohns disease (UKBB),crohns disease (UKBB)
eczema/dermatitis (UKBB),dermatitis (UKBB)
hayfever/allergic rhinitis (UKBB),allergic rhinitis (UKBB)
malabsorption/coeliac disease (UKBB),coeliac disease (UKBB)
multiple sclerosis (UKBB),multiple sclerosis (UKBB)
nasal polyps (UKBB),nasal polyps (UKBB)
psoriasis (UKBB),psoriasis (UKBB)
rheumatoid arthritis (UKBB),rheumatoid arthritis (UKBB)
sjogren's syndrome/sicca syndrome (UKBB),sicca syndrome (UKBB)
systemic lupus erythematosis/sle (UKBB),sle (UKBB)
type 1 diabetes (UKBB),type 1 diabetes (UKBB)
ulcerative colitis (UKBB),ulcerative colitis (UKBB)
vitiligo (UKBB),vitiligo (UKBB)
