study	quant_method	tissue_label	condition_label	qtl_group	tissue_ontology_id	tissue_ontology_term	sample_size	ftp_path	ftp_paths_credible
Alasoo_2018	exon	macrophage	IFNg_18h	macrophage_IFNg	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/exon/Alasoo_2018_exon_macrophage_IFNg.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_exon_macrophage_IFNg.purity_filtered.txt.gz
Alasoo_2018	exon	macrophage	IFNg_18h+Salmonella_5h	macrophage_IFNg+Salmonella	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/exon/Alasoo_2018_exon_macrophage_IFNg+Salmonella.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_exon_macrophage_IFNg+Salmonella.purity_filtered.txt.gz
Alasoo_2018	exon	macrophage	Salmonella_5h	macrophage_Salmonella	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/exon/Alasoo_2018_exon_macrophage_Salmonella.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_exon_macrophage_Salmonella.purity_filtered.txt.gz
Alasoo_2018	exon	macrophage	naive	macrophage_naive	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/exon/Alasoo_2018_exon_macrophage_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_exon_macrophage_naive.purity_filtered.txt.gz
Alasoo_2018	ge	macrophage	IFNg_18h	macrophage_IFNg	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/ge/Alasoo_2018_ge_macrophage_IFNg.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_ge_macrophage_IFNg.purity_filtered.txt.gz
Alasoo_2018	ge	macrophage	IFNg_18h+Salmonella_5h	macrophage_IFNg+Salmonella	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/ge/Alasoo_2018_ge_macrophage_IFNg+Salmonella.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_ge_macrophage_IFNg+Salmonella.purity_filtered.txt.gz
Alasoo_2018	ge	macrophage	Salmonella_5h	macrophage_Salmonella	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/ge/Alasoo_2018_ge_macrophage_Salmonella.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_ge_macrophage_Salmonella.purity_filtered.txt.gz
Alasoo_2018	ge	macrophage	naive	macrophage_naive	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/ge/Alasoo_2018_ge_macrophage_naive.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_ge_macrophage_naive.purity_filtered.txt.gz
Alasoo_2018	tx	macrophage	IFNg_18h	macrophage_IFNg	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/tx/Alasoo_2018_tx_macrophage_IFNg.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_tx_macrophage_IFNg.purity_filtered.txt.gz
Alasoo_2018	tx	macrophage	IFNg_18h+Salmonella_5h	macrophage_IFNg+Salmonella	CL_0000235	macrophage	84	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/csv/Alasoo_2018/tx/Alasoo_2018_tx_macrophage_IFNg+Salmonella.all.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/credible_sets/Alasoo_2018_tx_macrophage_IFNg+Salmonella.purity_filtered.txt.gz
