Label	Trait	Trait_class	Trait_long	Delta_PC1	Delta_PC2	Delta_PC3	Delta_PC8	Delta_PC9	Delta_PC12	Delta_PC13	stars_PC1	stars_PC2	stars_PC3	stars_PC8	stars_PC9	stars_PC12	stars_PC13	DPMUnc
ANCA negative EGPA	EGPAANCAn_Lyons_31719529_1	IMD	ANCA negative EGPA	0.0244418287308232	-0.00242809233456412	-0.00126620161450611	-0.00121028149768304	-0.0249551480113851	0.0167578333789805	0.08939185541658	""	""	""	""	""	""	●	6
Adult-onset Asthma	ASTAO_Ferreira_30929738_1	IMD	Adult-onset Asthma	-0.00452129785373508	-0.0013635850745751	-0.00240605372998287	0.00297735385513918	-0.00727847807201694	0.00751732709253105	0.0289753320820102	●	""	""	○	●	●	●	2
Anaphylactic shock due to adverse effect of  [...]	ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE_FinnGen_FinnGenR7_1	IMD	Anaphylactic shock due to adverse effect of correct drug or medicament properly administered (FinnGen)	-0.0279769019526595	0.0131218209913561	-0.0372392399737974	-0.0105651690283296	-0.0301600132361373	0.00654672237585262	0.0309253098419961	""	""	○	""	""	""	○	2
Ankylosing spondylitis	M13_ANKYLOSPON_FinnGen_FinnGenR7_1	IMD	Ankylosing spondylitis (FinnGen)	-0.0198420182518062	0.00744722015845306	-0.017651521576503	0.00715502648853916	-1.86296937369065e-05	-0.00323008329932087	0.018253628932427	●	""	●	""	""	""	●	5
Arthropathic psoriasis	L12_PSORI_ARTHRO_FinnGen_FinnGenR7_1	IMD	Arthropathic psoriasis (FinnGen)	0.0106295414547069	0.00697690877716794	-0.0113206493424006	-0.00760252221411241	-0.00213989735489754	-0.0103837567719377	0.0132140604939539	○	""	○	""	""	○	●	5
Asthma	ph495_PanUKBB_PanUKBBR2_1	IMD	Asthma (UKBB)	-0.00448617826369816	0.000784162750753056	-0.00567158612811689	0.00217342466537221	-0.0082600281490194	0.0085254203142121	0.0315313043638225	●	""	●	""	●	●	●	2
Atopic Dermatitis	ATD_Paternoster_26482879_1	IMD	Atopic Dermatitis	-0.00756901429166398	0.0117376119971368	-0.0026337298636892	0.00601539888196055	0.00150216539656664	0.00611199225869535	0.019055488548596	○	●	""	○	""	○	●	2
Autoimmune Addison's disease	AAD_Eriksson_33574239_1	IMD	Autoimmune Addison's disease	0.0558506365948349	-0.0245804429939736	-0.0298559627071679	-0.0350176769989746	0.0101309265552862	-0.0286934090507481	0.0220957182241984	●	●	●	●	""	●	●	3
Autoimmune Thyroid disease	AITD_Saevarsdottir_32581359_1	IMD	Autoimmune Thyroid disease	0.0351980133534583	-0.0111756877684188	-0.0257012581426631	-0.0179471459704833	-0.00453549808269976	-0.0162075502203953	0.0155667967884763	●	●	●	●	●	●	●	1
Autoimmune thyroiditis	E4_THYROIDITAUTOIM_FinnGen_FinnGenR7_1	IMD	Autoimmune thyroiditis (FinnGen)	0.0562263806153745	-0.0268330321625736	-0.036079925536477	-0.0218876379804582	-0.00921928482830659	-0.0392351488480333	0.017707088245278	●	""	●	""	""	●	""	1
