"File_ID"	"First_Author"	"Year"	"Reference"	"Trait_ID_2.0"	"Trait_long"	"Trait_class"	"N0"	"N1"	"N"	"URL"	"Chip"	"Population"	"Collection"	"Retrieval_date"	"Public"	"Notes"	"Trait"
"FGFB_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"FGFB"	"Basic fibroblast growth factor (FGFBasic) levels"	"BMK"	7565	0	7565	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"FGFB_AholaOlli_27989323_1"
"bNGF_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"bNGF"	"Beta nerve growth factor (bNGF) levels"	"BMK"	3531	0	3531	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"bNGF_AholaOlli_27989323_1"
"EOT1_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"EOT1"	"C-C motif chemokine 11 (CCL11, Eotaxin-1) levels"	"BMK"	8153	0	8153	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"EOT1_AholaOlli_27989323_1"
"IP10_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IP10"	"C-X-C motif chemokine 10, Interferon gamma-induced protein 10 (CXCL10, IP-10) levels"	"BMK"	3685	0	3685	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IP10_AholaOlli_27989323_1"
"GROA_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"GROA"	"C-X-C motif chemokine, Growth regulated oncogene-α (CXCL1, GROa) levels"	"BMK"	3505	0	3505	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"GROA_AholaOlli_27989323_1"
"CTACK_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"CTACK"	"Cutaneous T-cell attracting (CCL27, CTACK) levels"	"BMK"	3631	0	3631	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"CTACK_AholaOlli_27989323_1"
"GCSF_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"GCSF"	"Granulocyte colony-stimulating factor (GCSF) levels"	"BMK"	7904	0	7904	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"GCSF_AholaOlli_27989323_1"
"HGF_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"HGF"	"Hepatocyte growth factor (HGF, SF) levels"	"BMK"	8292	0	8292	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"HGF_AholaOlli_27989323_1"
"IFNG_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IFNG"	"Interferon-gamma (IFNg) levels"	"BMK"	7701	0	7701	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IFNG_AholaOlli_27989323_1"
"IL1RA_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL1RA"	"Interleukin-1 receptor antagonist (IL1ra) levels"	"BMK"	3638	0	3638	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL1RA_AholaOlli_27989323_1"
"IL1B_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL1B"	"Interleukin-1-beta (IL1b) levels"	"BMK"	3309	0	3309	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL1B_AholaOlli_27989323_1"
"IL10_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL10"	"Interleukin-10 (IL10, CSIF) levels"	"BMK"	7681	0	7681	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL10_AholaOlli_27989323_1"
"IL12_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL12"	"Interleukin-12 (IL-12) levels"	"BMK"	8270	0	8270	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL12_AholaOlli_27989323_1"
"IL13_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL13"	"Interleukin-13 (IL13) levels"	"BMK"	3557	0	3557	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL13_AholaOlli_27989323_1"
"IL16_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL16"	"Interleukin-16 (IL16) levels"	"BMK"	3483	0	3483	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL16_AholaOlli_27989323_1"
"IL17_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL17"	"Interleukin-17 (IL17) levels"	"BMK"	7760	0	7760	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL17_AholaOlli_27989323_1"
"IL18_AholaOlli_27989323_1-hg38.tsv.gz"	"AholaOlli"	2017	27989323	"IL18"	"Interleukin-18 (IL18) levels"	"BMK"	3636	0	3636	"http://computationalmedicine.fi/data#Cytokine_GWAS"	"Multiple (Meta-analysis)"	"European (Finnish)"	"Ahola-Olli"	2019-10-24T00:00:00Z	"Y"	NA	"IL18_AholaOlli_27989323_1"
