#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BLK	MMP9	9606.ENSP00000259089	9606.ENSP00000361405	0	0	0	0	0.063	0	0	0.131	0.151
BLK	ITGA4	9606.ENSP00000259089	9606.ENSP00000380227	0	0	0	0	0.097	0.075	0	0.071	0.156
BLK	IL23R	9606.ENSP00000259089	9606.ENSP00000321345	0	0	0	0	0	0	0	0.242	0.241
BLK	IL10	9606.ENSP00000259089	9606.ENSP00000412237	0	0	0	0	0	0.060	0	0.247	0.261
BLK	NOD2	9606.ENSP00000259089	9606.ENSP00000300589	0	0	0	0	0.089	0	0	0.249	0.286
BLK	IRF7	9606.ENSP00000259089	9606.ENSP00000380697	0	0	0	0	0.070	0.056	0	0.268	0.301
BLK	CTLA4	9606.ENSP00000259089	9606.ENSP00000303939	0	0	0	0	0.101	0.056	0	0.335	0.386
BLK	SLC15A4	9606.ENSP00000259089	9606.ENSP00000266771	0	0	0	0	0	0.056	0	0.556	0.563
BLK	PTPN22	9606.ENSP00000259089	9606.ENSP00000352833	0	0	0	0	0.260	0.078	0	0.634	0.729
BLK	PDGFB	9606.ENSP00000259089	9606.ENSP00000330382	0	0	0	0	0	0	0.900	0.067	0.902
CCL11	CCL2	9606.ENSP00000302234	9606.ENSP00000225831	0	0	0	0.966	0.112	0.286	0	0.865	0.358
CCL11	IL12B	9606.ENSP00000302234	9606.ENSP00000231228	0	0	0	0	0	0	0	0.406	0.406
CCL11	NOD2	9606.ENSP00000302234	9606.ENSP00000300589	0	0	0	0	0.062	0	0	0.220	0.237
CCL11	IL23R	9606.ENSP00000302234	9606.ENSP00000321345	0	0	0	0	0	0	0	0.156	0.155
CCL11	TNFSF15	9606.ENSP00000302234	9606.ENSP00000363157	0	0	0	0	0.063	0	0	0.137	0.156
CCL11	PDGFB	9606.ENSP00000302234	9606.ENSP00000330382	0	0	0	0	0	0	0	0.233	0.232
CCL11	ITGA4	9606.ENSP00000302234	9606.ENSP00000380227	0	0	0	0	0	0	0	0.236	0.236
CCL11	JAK2	9606.ENSP00000302234	9606.ENSP00000371067	0	0	0	0	0	0	0	0.242	0.241
CCL11	IRF7	9606.ENSP00000302234	9606.ENSP00000380697	0	0	0	0	0.092	0	0	0.204	0.246
CCL11	CTLA4	9606.ENSP00000302234	9606.ENSP00000303939	0	0	0	0	0.064	0	0	0.404	0.418
CCL11	MMP9	9606.ENSP00000302234	9606.ENSP00000361405	0	0	0	0	0.062	0	0	0.474	0.485
