#node	identifier	node_degree
BCL2L11	9606.ENSP00000376943	19
BMP8A	9606.ENSP00000327440	1
CASP7	9606.ENSP00000358327	14
CCL11	9606.ENSP00000302234	17
CCL2	9606.ENSP00000225831	25
CCL7	9606.ENSP00000367832	14
CD2	9606.ENSP00000358490	20
CD244	9606.ENSP00000357012	18
CUL1	9606.ENSP00000326804	9
CXCR1	9606.ENSP00000295683	19
CXCR2	9606.ENSP00000319635	19
CYP24A1	9606.ENSP00000216862	5
DRD4	9606.ENSP00000176183	3
EDN3	9606.ENSP00000337128	2
FGF21	9606.ENSP00000471477	11
GATA3	9606.ENSP00000368632	25
GNAS	9606.ENSP00000360141	13
GPR65	9606.ENSP00000267549	9
GRB2	9606.ENSP00000376345	18
IL10	9606.ENSP00000412237	30
IL2RB	9606.ENSP00000216223	25
IRF1	9606.ENSP00000245414	21
IRF7	9606.ENSP00000380697	19
ITGA4	9606.ENSP00000380227	16
JAK2	9606.ENSP00000371067	33
LACC1	9606.ENSP00000391747	5
NDFIP1	9606.ENSP00000253814	3
NOD2	9606.ENSP00000300589	23
PARK7	9606.ENSP00000418770	7
PDGFB	9606.ENSP00000330382	14
PIK3R2	9606.ENSP00000222254	10
POLR2E	9606.ENSP00000478303	1
PRKD2	9606.ENSP00000393978	1
PTPN22	9606.ENSP00000352833	21
PTPRC	9606.ENSP00000411355	29
RORC	9606.ENSP00000327025	14
SLC26A3	9606.ENSP00000345873	2
SLC9A4	9606.ENSP00000295269	2
SPRED2	9606.ENSP00000348753	6
SSTR3	9606.ENSP00000480971	1
STAT3	9606.ENSP00000264657	30
TGFBR2	9606.ENSP00000351905	21
TH	9606.ENSP00000370571	11
THADA	9606.ENSP00000385995	2
TMPRSS3	9606.ENSP00000291532	3
TMPRSS6	9606.ENSP00000371211	3
UBE2L3	9606.ENSP00000400906	8
