#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABI1	PIK3R2	9606.ENSP00000365312	9606.ENSP00000222254	0	0	0	0	0	0.184	0	0.065	0.205
ABI1	BLK	9606.ENSP00000365312	9606.ENSP00000259089	0	0	0	0	0	0.143	0	0.052	0.153
ABI1	STAT3	9606.ENSP00000365312	9606.ENSP00000264657	0	0	0	0	0	0	0	0.178	0.178
ABI1	CDK2	9606.ENSP00000365312	9606.ENSP00000266970	0	0	0	0	0.062	0.134	0	0	0.152
ABI1	ERBB3	9606.ENSP00000365312	9606.ENSP00000267101	0	0	0	0	0	0.155	0	0	0.154
ABI1	UBASH3B	9606.ENSP00000365312	9606.ENSP00000284273	0	0	0	0	0.062	0	0	0.142	0.160
ABI1	RASGRP1	9606.ENSP00000365312	9606.ENSP00000310244	0	0	0	0	0.062	0.105	0	0.159	0.232
ABI1	SPRED2	9606.ENSP00000365312	9606.ENSP00000348753	0	0	0	0	0.065	0.145	0	0.067	0.188
ABI1	SPTA1	9606.ENSP00000365312	9606.ENSP00000357129	0	0	0	0	0.065	0.297	0	0.092	0.351
ABI1	SYK	9606.ENSP00000365312	9606.ENSP00000364907	0	0	0	0	0	0.143	0	0.170	0.258
ABI1	PTPRC	9606.ENSP00000365312	9606.ENSP00000411355	0	0	0	0	0.055	0.120	0	0.070	0.159
ABI1	ITK	9606.ENSP00000365312	9606.ENSP00000398655	0	0	0	0	0	0.220	0	0.115	0.281
ABI1	JAK2	9606.ENSP00000365312	9606.ENSP00000371067	0	0	0	0	0.062	0.143	0	0.263	0.356
ABI1	GRB2	9606.ENSP00000365312	9606.ENSP00000376345	0	0	0	0.621	0.062	0.128	0.600	0.429	0.698
ABI3	CDK2	9606.ENSP00000225941	9606.ENSP00000266970	0	0	0	0	0.087	0.114	0	0	0.156
ABI3	CLECL1	9606.ENSP00000225941	9606.ENSP00000483624	0	0	0	0	0.142	0	0	0.061	0.159
