#node	identifier	node_degree
BLK	9606.ENSP00000259089	10
CCL11	9606.ENSP00000302234	12
CCL2	9606.ENSP00000225831	15
CTLA4	9606.ENSP00000303939	13
DRD4	9606.ENSP00000176183	1
FUT1	9606.ENSP00000312021	1
FUT2	9606.ENSP00000387498	7
IL10	9606.ENSP00000412237	17
IL12B	9606.ENSP00000231228	7
IL23R	9606.ENSP00000321345	14
IRF7	9606.ENSP00000380697	10
ITGA4	9606.ENSP00000380227	9
JAK2	9606.ENSP00000371067	14
MMP9	9606.ENSP00000361405	15
NOD2	9606.ENSP00000300589	14
PARK7	9606.ENSP00000418770	3
PDGFB	9606.ENSP00000330382	8
PTPN22	9606.ENSP00000352833	12
SLC15A4	9606.ENSP00000266771	4
TH	9606.ENSP00000370571	6
TNFSF15	9606.ENSP00000363157	12
WISP1	9606.ENSP00000250160	2
