Trait	nSNP	overall_p	mscomp
20002_1065_Neale_UKBB_1	558	6.09774335286215e-10	PC2 (3e-05)
20002_1065_PanUKBB_PanUKBBR2_1	566	8.16747619772409e-15	PC2 (8e-07)
20002_1066_Neale_UKBB_1	558	0.805500576644592	PC3 (1e-01)
20002_1066_PanUKBB_PanUKBBR2_1	566	0.475957297154424	PC3 (3e-02)
20002_1067_Neale_UKBB_1	558	0.295733312088187	PC1 (3e-02)
20002_1067_PanUKBB_PanUKBBR2_1	566	0.112248729508868	PC11 (5e-02)
20002_1072_Neale_UKBB_1	558	0.203329761917472	PC10 (2e-02)
20002_1072_PanUKBB_PanUKBBR2_1	566	0.383698337907117	PC5 (6e-02)
20002_1074_Neale_UKBB_1	558	0.0647268467775762	PC12 (1e-02)
20002_1074_PanUKBB_PanUKBBR2_1	566	0.0654161606488798	PC12 (6e-03)
20002_1075_Neale_UKBB_1	558	0.387520016552752	PC1 (1e-02)
20002_1075_PanUKBB_PanUKBBR2_1	566	0.070991641068102	PC1 (2e-03)
20002_1076_Neale_UKBB_1	558	0.612605840537153	PC12 (7e-02)
20002_1076_PanUKBB_PanUKBBR2_1	566	0.491237037852517	PC5 (4e-02)
20002_1077_Neale_UKBB_1	558	0.476051197354102	PC2 (8e-02)
20002_1077_PanUKBB_PanUKBBR2_1	566	0.603804904162332	PC8 (2e-01)
20002_1078_Neale_UKBB_1	558	0.185084004274031	PC13 (1e-01)
20002_1078_PanUKBB_PanUKBBR2_1	566	0.103011831029002	PC1 (9e-03)
20002_1079_Neale_UKBB_1	558	0.928427941151962	PC6 (2e-01)
20002_1079_PanUKBB_PanUKBBR2_1	566	0.403333964375283	PC6 (4e-02)
20002_1080_Neale_UKBB_1	558	0.89177460840007	PC9 (2e-01)
20002_1080_PanUKBB_PanUKBBR2_1	566	0.97019898457885	PC8 (3e-01)
20002_1081_Neale_UKBB_1	558	0.137026118148468	PC5 (2e-03)
20002_1081_PanUKBB_PanUKBBR2_1	566	0.115377465544087	PC5 (2e-03)
20002_1082_Neale_UKBB_1	558	0.209337034787636	PC4 (2e-02)
20002_1082_PanUKBB_PanUKBBR2_1	566	0.305090464918243	PC8 (2e-02)
20002_1083_Neale_UKBB_1	558	0.983376591548328	PC7 (2e-01)
20002_1083_PanUKBB_PanUKBBR2_1	566	0.775840493162789	PC7 (4e-02)
20002_1086_Neale_UKBB_1	558	0.643431269452492	PC9 (5e-02)
20002_1086_PanUKBB_PanUKBBR2_1	566	0.328995257438299	PC9 (2e-02)
20002_1087_Neale_UKBB_1	558	0.835860926108483	PC3 (4e-02)
20002_1087_PanUKBB_PanUKBBR2_1	564	0.836526273048304	PC3 (9e-02)
20002_1093_Neale_UKBB_1	558	0.42952029918262	PC11 (5e-02)
20002_1093_PanUKBB_PanUKBBR2_1	566	0.645030099985808	PC13 (1e-01)
20002_1094_Neale_UKBB_1	558	0.0667580228062557	PC8 (2e-02)
20002_1094_PanUKBB_PanUKBBR2_1	566	0.0226751816971884	PC8 (1e-03)
20002_1111_Neale_UKBB_1	558	1.51678153273263e-321	PC13 (6e-253)
20002_1111_PanUKBB_PanUKBBR2_1	566	0	PC13 (5e-272)
20002_1112_Neale_UKBB_1	558	0.0061851800969514	PC13 (8e-05)
20002_1112_PanUKBB_PanUKBBR2_1	566	0.00154836283099984	PC13 (1e-05)
20002_1113_Neale_UKBB_1	558	0.000332837928560003	PC4 (3e-03)
20002_1113_PanUKBB_PanUKBBR2_1	566	5.8872144829169e-05	PC13 (9e-05)
20002_1114_Neale_UKBB_1	558	0.012638380267795	PC13 (5e-04)
20002_1114_PanUKBB_PanUKBBR2_1	566	0.000602321106599793	PC13 (4e-05)
20002_1115_Neale_UKBB_1	558	0.702711417611866	PC12 (8e-02)
20002_1115_PanUKBB_PanUKBBR2_1	566	0.904013899013067	PC6 (1e-01)
20002_1117_Neale_UKBB_1	558	0.241932752102527	PC11 (2e-02)
20002_1117_PanUKBB_PanUKBBR2_1	566	0.314718931847196	PC12 (7e-02)
20002_1120_Neale_UKBB_1	558	0.487377089939157	PC8 (3e-02)
20002_1120_PanUKBB_PanUKBBR2_1	566	0.267086275985817	PC11 (1e-02)
20002_1121_PanUKBB_PanUKBBR2_1	566	0.0488727001385058	PC11 (4e-02)
20002_1123_Neale_UKBB_1	558	0.246234379022363	PC1 (4e-02)
20002_1123_PanUKBB_PanUKBBR2_1	566	0.366223989901889	PC1 (3e-02)
20002_1125_Neale_UKBB_1	558	0.128852578460591	PC13 (2e-02)
20002_1125_PanUKBB_PanUKBBR2_1	566	0.270954763304533	PC9 (6e-02)
20002_1126_Neale_UKBB_1	558	0.132726190467357	PC2 (2e-02)
20002_1126_PanUKBB_PanUKBBR2_1	566	0.0879801833201611	PC2 (8e-03)
20002_1134_Neale_UKBB_1	558	0.97339433179772	PC8 (2e-01)
20002_1134_PanUKBB_PanUKBBR2_1	566	0.789964278228685	PC2 (6e-02)
20002_1135_Neale_UKBB_1	558	0.0629430024585868	PC12 (7e-04)
20002_1135_PanUKBB_PanUKBBR2_1	566	0.0787673792255084	PC12 (1e-03)
20002_1136_Neale_UKBB_1	558	0.0498533807637742	PC10 (5e-03)
20002_1136_PanUKBB_PanUKBBR2_1	566	0.0171224173530099	PC10 (5e-03)
20002_1137_Neale_UKBB_1	558	0.351190796783279	PC8 (5e-02)
20002_1137_PanUKBB_PanUKBBR2_1	566	0.410683136711798	PC8 (5e-02)
20002_1138_Neale_UKBB_1	558	0.00320250339366218	PC6 (2e-02)
20002_1138_PanUKBB_PanUKBBR2_1	566	0.00510627444900864	PC11 (4e-02)
20002_1139_Neale_UKBB_1	558	0.0903645438472263	PC6 (4e-02)
20002_1139_PanUKBB_PanUKBBR2_1	566	0.0677011179654573	PC2 (4e-02)
20002_1142_Neale_UKBB_1	558	0.0234748637162043	PC4 (7e-04)
20002_1142_PanUKBB_PanUKBBR2_1	566	0.0101036282556959	PC10 (9e-03)
20002_1143_Neale_UKBB_1	558	0.254825018920982	PC12 (7e-02)
20002_1143_PanUKBB_PanUKBBR2_1	566	0.360826582253192	PC6 (4e-02)
20002_1154_Neale_UKBB_1	558	0.396140092869629	PC3 (3e-02)
20002_1154_PanUKBB_PanUKBBR2_1	566	0.531290020398931	PC5 (1e-01)
20002_1155_Neale_UKBB_1	558	0.505828571004178	PC1 (8e-02)
