IMD.focus	sig.snps
ALLERG_RHINITIS_FinnGen_FinnGenR5_1	4
D3_SARCOIDOSIS_FinnGen_FinnGenR5_1	5
E4_HYTHY_AI_STRICT_FinnGen_FinnGenR5_1	60
H7_ALLERGICCONJUNCTIVITIS_FinnGen_FinnGenR5_1	3
J10_COPD_FinnGen_FinnGenR5_1	3
J10_NASALPOLYP_FinnGen_FinnGenR5_1	7
K11_ENERCOLNONINF_FinnGen_FinnGenR5_1	9
L12_ATOPIC_FinnGen_FinnGenR5_1	22
L12_DERMATITISECZEMA_FinnGen_FinnGenR5_1	16
L12_PSORIASIS_FinnGen_FinnGenR5_1	12
M13_SJOGREN_FinnGen_FinnGenR5_1	2
POLLENALLERG_FinnGen_FinnGenR5_1	3
RHEU_ARTHRITIS_OTH_FinnGen_FinnGenR5_1	2
RX_RHEUMA_BIOLOGICAL_FinnGen_FinnGenR5_1	3
SPONDYLOARTHRITIS_FinnGen_FinnGenR5_1	3
