T1	T2	bhat.dist
Emphysema/Chronic Bronchitis	Emphysema/Chronic Bronchitis	0
Emphysema/Chronic Bronchitis	Hyperthyroidism/Thyrotoxicosis	37.6755117437775
Emphysema/Chronic Bronchitis	Hayfever/Allergic Rhinitis	20.8014547617573
Emphysema/Chronic Bronchitis	Autoimmune Addison's disease	39.3901974280825
Emphysema/Chronic Bronchitis	MPO+ AAV	22.1405845308393
Emphysema/Chronic Bronchitis	PR3+ AAV	11.3080056278901
Emphysema/Chronic Bronchitis	Adult-onset Asthma	22.3686183508634
Emphysema/Chronic Bronchitis	Childhood-onset Asthma	85.3416041378136
Emphysema/Chronic Bronchitis	Atopic Dermatitis	17.7423206403983
Emphysema/Chronic Bronchitis	Primary biliary cholangitis	28.8797905368616
Emphysema/Chronic Bronchitis	CR(E)ST syndrome	13.9968250128106
Emphysema/Chronic Bronchitis	Idiopathic thrombocytopenic purpura	12.1266760113798
Emphysema/Chronic Bronchitis	Sarcoidosis	15.4220739358695
Emphysema/Chronic Bronchitis	Dermatomyositis (Miller)	11.575824613456
Emphysema/Chronic Bronchitis	Dermatomyositis (Rothwell)	13.7810294757289
Emphysema/Chronic Bronchitis	Type 1 diabetes	67.2576088969298
Emphysema/Chronic Bronchitis	Hypothyroidism, strict autoimmune	52.6199663340635
Emphysema/Chronic Bronchitis	ANCA negative EGPA	27.7313156263734
Emphysema/Chronic Bronchitis	MPO+ EGPA	16.2263783701626
Emphysema/Chronic Bronchitis	Eosinophilic Granulomatosis with Polyangiitis	29.8843279280366
Emphysema/Chronic Bronchitis	Eosinophilic Esophagitis	18.039283333251
Emphysema/Chronic Bronchitis	Felty syndrome	15.8899861648959
Emphysema/Chronic Bronchitis	Multiple Sclerosis	38.6942296231607
Emphysema/Chronic Bronchitis	Gout	10.294341947038
Emphysema/Chronic Bronchitis	IgA deficiency	25.5257293693284
Emphysema/Chronic Bronchitis	IIM (Rothwell)	28.7880645400243
Emphysema/Chronic Bronchitis	Nasal polyp	35.9953599382535
Emphysema/Chronic Bronchitis	Juvenile Dermatomyositis (Miller)	11.9680575847218
Emphysema/Chronic Bronchitis	Juvenile Dermatomyositis (Rothwell)	12.8658511242053
Emphysema/Chronic Bronchitis	Juvenile Idiopathic Arthritis	47.8094393874297
Emphysema/Chronic Bronchitis	Jo1+ Myositis (Rothwell)	17.3904550598879
Emphysema/Chronic Bronchitis	Primary sclerosing cholangitis	10.088113978279
Emphysema/Chronic Bronchitis	Coeliac disease	42.7852623786861
Emphysema/Chronic Bronchitis	Crohn disease	72.4526068545338
Emphysema/Chronic Bronchitis	Inflammatory bowel disease	98.442924035805
Emphysema/Chronic Bronchitis	Ulcerative colitis	95.1610017232267
Emphysema/Chronic Bronchitis	Erythema nodosum	11.8255846795306
Emphysema/Chronic Bronchitis	Lichen planus	17.3364909146405
Emphysema/Chronic Bronchitis	Lichen sclerosus et atrophicus	10.0765995100293
Emphysema/Chronic Bronchitis	Localized scleroderma [morphea]	11.7042557701533
Emphysema/Chronic Bronchitis	Psoriasis	16.8050780336172
Emphysema/Chronic Bronchitis	Arthropathic psoriasis	13.550185008334
Emphysema/Chronic Bronchitis	Rosacea	11.7604983914323
Emphysema/Chronic Bronchitis	Vitiligo	18.5405976231281
Emphysema/Chronic Bronchitis	Ankylosing spondylitis	17.8025835219488
Emphysema/Chronic Bronchitis	Palindromic rheumatism	14.3387253558509
Emphysema/Chronic Bronchitis	Polymyalgia rheumatica	7.54535620969834
Emphysema/Chronic Bronchitis	Rheumatoid arthritis	53.8033692621012
Emphysema/Chronic Bronchitis	Systemic lupus erythematosus	36.7431040508352
Emphysema/Chronic Bronchitis	Wegener granulomatosis	11.6374095842656
Emphysema/Chronic Bronchitis	Early-onset Myastenia Gravis	20.652103974994
Emphysema/Chronic Bronchitis	Late-onset Myastenia Gravis	20.9728599385985
Emphysema/Chronic Bronchitis	Myastenia Gravis	25.1363594333164
Emphysema/Chronic Bronchitis	IIM (Miller)	17.5597616945325
Emphysema/Chronic Bronchitis	Glomerulonephritis	9.2198680187517
Emphysema/Chronic Bronchitis	IgG+ Neuromyelitis Optica	15.8443408243371
Emphysema/Chronic Bronchitis	Polymyositis (Miller)	14.9733953605396
Emphysema/Chronic Bronchitis	Polymyositis (Rothwell)	16.7093149567873
Emphysema/Chronic Bronchitis	Sjögren's syndrome	49.5459998997686
Emphysema/Chronic Bronchitis	Systemic Sclerosis	53.0132385010374
Emphysema/Chronic Bronchitis	Inflammation of eyelids	11.3460514936462
Emphysema/Chronic Bronchitis	Asthma	25.7811818188829
Hyperthyroidism/Thyrotoxicosis	Emphysema/Chronic Bronchitis	37.6755117437775
Hyperthyroidism/Thyrotoxicosis	Hyperthyroidism/Thyrotoxicosis	0
Hyperthyroidism/Thyrotoxicosis	Hayfever/Allergic Rhinitis	78.5329518876998
Hyperthyroidism/Thyrotoxicosis	Autoimmune Addison's disease	12.068395170092
Hyperthyroidism/Thyrotoxicosis	MPO+ AAV	8.03708980640528
Hyperthyroidism/Thyrotoxicosis	PR3+ AAV	15.3415677414006
Hyperthyroidism/Thyrotoxicosis	Adult-onset Asthma	69.5574734469019
Hyperthyroidism/Thyrotoxicosis	Childhood-onset Asthma	126.091821882593
Hyperthyroidism/Thyrotoxicosis	Atopic Dermatitis	60.4582287782738
Hyperthyroidism/Thyrotoxicosis	Primary biliary cholangitis	19.0946438836293
Hyperthyroidism/Thyrotoxicosis	CR(E)ST syndrome	13.5172009942236
Hyperthyroidism/Thyrotoxicosis	Idiopathic thrombocytopenic purpura	11.8977516905655
Hyperthyroidism/Thyrotoxicosis	Sarcoidosis	15.8088420623159
Hyperthyroidism/Thyrotoxicosis	Dermatomyositis (Miller)	7.73679083137635
Hyperthyroidism/Thyrotoxicosis	Dermatomyositis (Rothwell)	8.2802331290072
Hyperthyroidism/Thyrotoxicosis	Type 1 diabetes	21.4856368912038
Hyperthyroidism/Thyrotoxicosis	Hypothyroidism, strict autoimmune	14.5144416600903
Hyperthyroidism/Thyrotoxicosis	ANCA negative EGPA	26.5739916167116
Hyperthyroidism/Thyrotoxicosis	MPO+ EGPA	13.0347750088269
Hyperthyroidism/Thyrotoxicosis	Eosinophilic Granulomatosis with Polyangiitis	27.5845127178272
Hyperthyroidism/Thyrotoxicosis	Eosinophilic Esophagitis	46.0765578417206
Hyperthyroidism/Thyrotoxicosis	Felty syndrome	11.9331215895518
Hyperthyroidism/Thyrotoxicosis	Multiple Sclerosis	45.7378690981282
Hyperthyroidism/Thyrotoxicosis	Gout	41.3102438636663
Hyperthyroidism/Thyrotoxicosis	IgA deficiency	15.9696634711825
Hyperthyroidism/Thyrotoxicosis	IIM (Rothwell)	16.9159317813486
Hyperthyroidism/Thyrotoxicosis	Nasal polyp	53.0345766027389
Hyperthyroidism/Thyrotoxicosis	Juvenile Dermatomyositis (Miller)	8.15933619679771
Hyperthyroidism/Thyrotoxicosis	Juvenile Dermatomyositis (Rothwell)	12.0110105684712
Hyperthyroidism/Thyrotoxicosis	Juvenile Idiopathic Arthritis	14.6607801713963
Hyperthyroidism/Thyrotoxicosis	Jo1+ Myositis (Rothwell)	11.6924969932101
Hyperthyroidism/Thyrotoxicosis	Primary sclerosing cholangitis	18.891748584583
Hyperthyroidism/Thyrotoxicosis	Coeliac disease	37.2579631823707
Hyperthyroidism/Thyrotoxicosis	Crohn disease	75.1431623582909
Hyperthyroidism/Thyrotoxicosis	Inflammatory bowel disease	92.1063370029129
Hyperthyroidism/Thyrotoxicosis	Ulcerative colitis	87.9734008403536
Hyperthyroidism/Thyrotoxicosis	Erythema nodosum	12.0954656471438
Hyperthyroidism/Thyrotoxicosis	Lichen planus	20.2046963733805
Hyperthyroidism/Thyrotoxicosis	Lichen sclerosus et atrophicus	18.282757047855
Hyperthyroidism/Thyrotoxicosis	Localized scleroderma [morphea]	10.3746348382599
