T1	T2	bhat.dist
Hyperthyroidism/Thyrotoxicosis	Hyperthyroidism/Thyrotoxicosis	0
Hyperthyroidism/Thyrotoxicosis	Hayfever/Allergic Rhinitis	71.4117395911266
Hyperthyroidism/Thyrotoxicosis	Autoimmune Addison's disease	8.24991028643984
Hyperthyroidism/Thyrotoxicosis	MPO+ AAV	5.03893999380381
Hyperthyroidism/Thyrotoxicosis	PR3+ AAV	11.0452269725894
Hyperthyroidism/Thyrotoxicosis	Autoimmune Thyroid disease	6.22970254139555
Hyperthyroidism/Thyrotoxicosis	Anaphylactic shock due to adverse effect of correct drug or medicament properly administered	9.60674464473963
Hyperthyroidism/Thyrotoxicosis	Adult-onset Asthma	61.4624934724344
Hyperthyroidism/Thyrotoxicosis	Childhood-onset Asthma	105.014526656459
Hyperthyroidism/Thyrotoxicosis	Atopic Dermatitis	53.4334733388025
Hyperthyroidism/Thyrotoxicosis	Crohn's Disease	211.870169650074
Hyperthyroidism/Thyrotoxicosis	Primary biliary cholangitis	10.8163825153792
Hyperthyroidism/Thyrotoxicosis	CR(E)ST syndrome	10.7381736429793
Hyperthyroidism/Thyrotoxicosis	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	39.505056504023
Hyperthyroidism/Thyrotoxicosis	Other and unspecified disorders involving the immune mechanism, not elsewhere classified	12.4701727941606
Hyperthyroidism/Thyrotoxicosis	Certain disorders involving the immune mechanism	18.9582143792653
Hyperthyroidism/Thyrotoxicosis	Idiopathic thrombocytopenic purpura	10.3668223991084
Hyperthyroidism/Thyrotoxicosis	Sarcoidosis	13.8692597313874
Hyperthyroidism/Thyrotoxicosis	Dermatomyositis (Miller)	5.56855135166454
Hyperthyroidism/Thyrotoxicosis	Dermatomyositis (Rothwell)	6.10535744348665
Hyperthyroidism/Thyrotoxicosis	Diabetic nephropathy	9.74780739799467
Hyperthyroidism/Thyrotoxicosis	Peripheral atherosclerosis	38.0517416626891
Hyperthyroidism/Thyrotoxicosis	Diabetic retinopathy	27.2250384144548
Hyperthyroidism/Thyrotoxicosis	Type 2 diabetes	47.6340355453363
Hyperthyroidism/Thyrotoxicosis	Autoimmune thyroiditis	4.20874978514675
Hyperthyroidism/Thyrotoxicosis	ANCA negative EGPA	17.0959239497932
Hyperthyroidism/Thyrotoxicosis	MPO+ EGPA	7.22896405199299
Hyperthyroidism/Thyrotoxicosis	Eosinophilic Granulomatosis with Polyangiitis	17.1634713892278
Hyperthyroidism/Thyrotoxicosis	Eosinophilic Esophagitis	36.171213420559
Hyperthyroidism/Thyrotoxicosis	Felty syndrome	6.99389229719308
Hyperthyroidism/Thyrotoxicosis	Diabethic neuropathy	6.83757239808469
Hyperthyroidism/Thyrotoxicosis	Multiple Sclerosis	40.1198468702238
Hyperthyroidism/Thyrotoxicosis	Gout	38.8597111522001
Hyperthyroidism/Thyrotoxicosis	Hypothyroidism (congenital or acquired)	11.3103630879772
Hyperthyroidism/Thyrotoxicosis	Inflammatory Bowel Disease	199.022050720725
Hyperthyroidism/Thyrotoxicosis	IgA deficiency	6.10125615876551
Hyperthyroidism/Thyrotoxicosis	IIM (Rothwell)	15.3510031238313
