Trait	PC	Delta	Var.Delta	P	First_Author	Trait_ID_2.0	Trait_long	Trait_class	Population	Label	FDR.PC	stars
20002_1113_PanUKBB_PanUKBBR2_1	PC1	0.00511147593514914	8.38024780805624e-06	0.0774455288382569	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.16208923824662	""
20002_1113_PanUKBB_PanUKBBR2_1	PC2	3.92521753524271e-05	7.77638849162684e-06	0.988769464204058	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.999432946584658	""
20002_1113_PanUKBB_PanUKBBR2_1	PC3	-0.00195125881988537	7.36524956820703e-06	0.472148819958015	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.636665264305992	""
20002_1113_PanUKBB_PanUKBBR2_1	PC4	-0.00721453345932531	7.64337994413311e-06	0.00906615469299288	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.0581435602040477	""
20002_1113_PanUKBB_PanUKBBR2_1	PC5	0.00282042707508602	6.66263479737264e-06	0.27453556524044	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.504551849631079	""
20002_1113_PanUKBB_PanUKBBR2_1	PC6	0.00101250714452435	6.57170752320348e-06	0.692868469403546	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.86790892483181	""
20002_1113_PanUKBB_PanUKBBR2_1	PC7	-0.00171397271078537	6.27761513305004e-06	0.493924982224124	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.783694305128944	""
20002_1113_PanUKBB_PanUKBBR2_1	PC8	-0.0036798215076572	7.24988604486837e-06	0.171731230272365	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.337785395081181	""
20002_1113_PanUKBB_PanUKBBR2_1	PC9	-0.000281811573542649	7.26839643199907e-06	0.91674903500576	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.991755774233504	""
20002_1113_PanUKBB_PanUKBBR2_1	PC10	0.00421509098941348	8.9114599244965e-06	0.157952040388227	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.475855514080988	""
20002_1113_PanUKBB_PanUKBBR2_1	PC11	0.00596642127159187	6.71857390828861e-06	0.0213441274538009	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.13274469631476	""
20002_1113_PanUKBB_PanUKBBR2_1	PC12	0.00557799113932313	6.65347148697802e-06	0.030580594925993	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.0786740154519176	""
20002_1113_PanUKBB_PanUKBBR2_1	PC13	0.010616553499095	7.38507230830907e-06	9.35787326854834e-05	PanUKBB	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	Trans-ethnic (CSA,EUR)	Emphysema/Chronic Bronchitis	0.000294989912306557	●
20002_1225_PanUKBB_PanUKBBR2_1	PC1	0.0362657708831385	1.46885455881793e-05	3.00565376094915e-21	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	2.55480569680678e-20	●
20002_1225_PanUKBB_PanUKBBR2_1	PC2	-0.0120945863396323	1.34040489963888e-05	0.000954893249197758	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	0.00658737951620482	●
20002_1225_PanUKBB_PanUKBBR2_1	PC3	-0.0305222532711601	1.27037836324017e-05	1.09515373226633e-17	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	9.47805775561406e-17	●
20002_1225_PanUKBB_PanUKBBR2_1	PC4	-0.00841052444944853	1.33379595612706e-05	0.0212834855014793	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	0.104442671120661	""
20002_1225_PanUKBB_PanUKBBR2_1	PC5	-0.00676372447007153	1.14591357018782e-05	0.0457094320608006	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	0.14314269513777	""
20002_1225_PanUKBB_PanUKBBR2_1	PC6	-0.00258312585684441	1.13197117950247e-05	0.442627261456054	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	0.7315645015732	""
20002_1225_PanUKBB_PanUKBBR2_1	PC7	0.00147725681076837	1.08618733220482e-05	0.65398519261991	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	0.858962004063387	""
20002_1225_PanUKBB_PanUKBBR2_1	PC8	-0.00975281339593894	1.24885168139386e-05	0.0057840274873823	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	0.0252586888439814	○
20002_1225_PanUKBB_PanUKBBR2_1	PC9	-0.012852120157254	1.26197106668903e-05	0.000297065039960558	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	0.00282805918042451	●
20002_1225_PanUKBB_PanUKBBR2_1	PC10	0.00800554539558888	1.53269567869059e-05	0.0408689510591297	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	0.213776051693909	""
20002_1225_PanUKBB_PanUKBBR2_1	PC11	0.00294852553719451	1.15704350201696e-05	0.386039409833668	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	0.693414185210664	""
20002_1225_PanUKBB_PanUKBBR2_1	PC12	-0.0215126947308154	1.15106498891447e-05	2.28556973250324e-10	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	2.86297682281985e-09	●
20002_1225_PanUKBB_PanUKBBR2_1	PC13	0.0247831216789696	1.27293088740678e-05	3.74988322501353e-12	PanUKBB	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	Trans-ethnic (AFR,CSA,EUR)	Hyperthyroidism/Thyrotoxicosis	1.96147737923785e-11	●
20002_1387_PanUKBB_PanUKBBR2_1	PC1	-0.00906855336645292	2.10231414580212e-06	3.98916226253688e-10	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	2.28776052646693e-09	●
20002_1387_PanUKBB_PanUKBBR2_1	PC2	0.00235263905162959	1.94505789122375e-06	0.0916228080876984	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	0.326659827511463	""
20002_1387_PanUKBB_PanUKBBR2_1	PC3	-0.000576837305932741	1.83945549924431e-06	0.670608489770554	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	0.810176754139045	""
20002_1387_PanUKBB_PanUKBBR2_1	PC4	-0.00130095858634769	1.91514352953499e-06	0.347178753079751	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	0.674518720269231	""
20002_1387_PanUKBB_PanUKBBR2_1	PC5	-0.000528720355778067	1.66401458694908e-06	0.681900389160149	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	0.858815152824929	""
20002_1387_PanUKBB_PanUKBBR2_1	PC6	0.00537776622386454	1.64196740398762e-06	2.70696858682948e-05	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	0.000368147727808809	●
20002_1387_PanUKBB_PanUKBBR2_1	PC7	-0.002230414719358	1.57266026576401e-06	0.0753121656761682	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	0.325896280562328	""
20002_1387_PanUKBB_PanUKBBR2_1	PC8	0.00555957795038169	1.8100578176462e-06	3.59095368255319e-05	PanUKBB	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Hayfever/Allergic Rhinitis	0.000284882325482553	●
