Trait	nSNP	overall_p	mscomp	First_Author	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	Population	Public	Label
20002_1111_PanUKBB_PanUKBBR2_1	566	0	PC13 (5e-272)	PanUKBB	PanUKBBR2	20002_1111	Asthma (UKBB)	IMD	389965	51263	441228	Trans-ethnic (AFR,CSA,EUR)	Y	Asthma
20002_1112_PanUKBB_PanUKBBR2_1	566	0.00154836283099984	PC13 (1e-05)	PanUKBB	PanUKBBR2	20002_1112	Chronic Obstructive Airways Disease/Copd (UKBB)	IMD	418967	1506	420473	European (EUR)	Y	Chronic Obstructive Airways Disease/Copd
20002_1113_PanUKBB_PanUKBBR2_1	566	5.8872144829169e-05	PC13 (9e-05)	PanUKBB	PanUKBBR2	20002_1113	Emphysema/Chronic Bronchitis (UKBB)	IMD	423411	5911	429322	Trans-ethnic (CSA,EUR)	Y	Emphysema/Chronic Bronchitis
20002_1154_PanUKBB_PanUKBBR2_1	566	0.531290020398931	PC5 (1e-01)	PanUKBB	PanUKBBR2	20002_1154	Irritable Bowel Syndrome (UKBB)	IMD	425748	10198	435946	Trans-ethnic (AFR,CSA,EUR)	Y	Irritable Bowel Syndrome
20002_1157_PanUKBB_PanUKBBR2_1	566	0.978396973848411	PC3 (1e-01)	PanUKBB	PanUKBBR2	20002_1157	Non-Infective Hepatitis (UKBB)	IMD	420040	433	420473	European (EUR)	Y	Non-Infective Hepatitis
20002_1222_PanUKBB_PanUKBBR2_1	566	3.18757672821323e-08	PC3 (5e-05)	PanUKBB	PanUKBBR2	20002_1222	Type 1 Diabetes (UKBB)	IMD	420110	363	420473	European (EUR)	Y	Type 1 Diabetes
20002_1225_PanUKBB_PanUKBBR2_1	566	1.22304131991929e-50	PC1 (3e-21)	PanUKBB	PanUKBBR2	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	432615	3331	435946	Trans-ethnic (AFR,CSA,EUR)	Y	Hyperthyroidism/Thyrotoxicosis
20002_1226_PanUKBB_PanUKBBR2_1	566	0	PC1 (2e-145)	PanUKBB	PanUKBBR2	20002_1226	Hypothyroidism/Myxoedema (UKBB)	IMD	414705	21241	435946	Trans-ethnic (CSA,EUR)	Y	Hypothyroidism/Myxoedema
20002_1234_PanUKBB_PanUKBBR2_1	566	0.000212792463728426	PC3 (2e-03)	PanUKBB	PanUKBBR2	20002_1234	Adrenocortical Insufficiency/Addison'S Disease (UKBB)	IMD	420310	163	420473	European (EUR)	Y	Adrenocortical Insufficiency/Addison'S Disease
20002_1256_PanUKBB_PanUKBBR2_1	566	0.741907898315197	PC4 (5e-02)	PanUKBB	PanUKBBR2	20002_1256	Acute Infective Polyneuritis/Guillain-Barre Syndrome (UKBB)	IMD	420299	174	420473	European (EUR)	Y	Acute Infective Polyneuritis/Guillain-Barre Syndrome
20002_1261_PanUKBB_PanUKBBR2_1	566	3.16619431144659e-33	PC12 (2e-11)	PanUKBB	PanUKBBR2	20002_1261	Multiple Sclerosis (UKBB)	IMD	418938	1535	420473	European (EUR)	Y	Multiple Sclerosis
20002_1313_PanUKBB_PanUKBBR2_1	566	0.0464567898916557	PC1 (2e-02)	PanUKBB	PanUKBBR2	20002_1313	Ankylosing Spondylitis (UKBB)	IMD	419276	1185	420461	European (EUR)	Y	Ankylosing Spondylitis
20002_1322_PanUKBB_PanUKBBR2_1	566	0.296611306285545	PC8 (6e-02)	PanUKBB	PanUKBBR2	20002_1322	Myositis/Myopathy (UKBB)	IMD	420321	152	420473	European (EUR)	Y	Myositis/Myopathy (UKBB)
20002_1372_PanUKBB_PanUKBBR2_1	566	0.0349305817108292	PC9 (1e-02)	PanUKBB	PanUKBBR2	20002_1372	Vasculitis (UKBB)	IMD	420305	168	420473	European (EUR)	Y	Vasculitis
20002_1374_PanUKBB_PanUKBBR2_1	566	2.43932463687321e-05	PC13 (8e-05)	PanUKBB	PanUKBBR2	20002_1374	Allergy/Hypersensitivity/Anaphylaxis (UKBB)	IMD	417480	2993	420473	European (EUR)	Y	Allergy/Hypersensitivity/Anaphylaxis
20002_1377_PanUKBB_PanUKBBR2_1	566	0.0748617396909978	PC8 (7e-03)	PanUKBB	PanUKBBR2	20002_1377	Polymyalgia Rheumatica (UKBB)	IMD	419588	885	420473	European (EUR)	Y	Polymyalgia Rheumatica
20002_1381_PanUKBB_PanUKBBR2_1	566	2.23191778071571e-13	PC2 (2e-12)	PanUKBB	PanUKBBR2	20002_1381	Systemic Lupus Erythematosis/Sle (UKBB)	IMD	420002	471	420473	European (EUR)	Y	Systemic Lupus Erythematosis/Sle
20002_1382_PanUKBB_PanUKBBR2_1	566	0.00313059209807278	PC1 (5e-03)	PanUKBB	PanUKBBR2	20002_1382	Sjogren'S Syndrome/Sicca Syndrome (UKBB)	IMD	420089	384	420473	European (EUR)	Y	Sjogren'S Syndrome/Sicca Syndrome
20002_1384_PanUKBB_PanUKBBR2_1	566	0.0166163904586798	PC2 (6e-03)	PanUKBB	PanUKBBR2	20002_1384	Scleroderma/Systemic Sclerosis (UKBB)	IMD	420346	127	420473	European (EUR)	Y	Scleroderma/Systemic Sclerosis
20002_1385_PanUKBB_PanUKBBR2_1	566	0.0109942866923532	PC13 (8e-04)	PanUKBB	PanUKBBR2	20002_1385	Allergy Or Anaphylactic Reaction To Food (UKBB)	IMD	418598	1875	420473	European (EUR)	Y	Allergy Or Anaphylactic Reaction To Food
20002_1386_PanUKBB_PanUKBBR2_1	566	0.267066732456558	PC1 (3e-02)	PanUKBB	PanUKBBR2	20002_1386	Allergy Or Anaphylactic Reaction To Drug (UKBB)	IMD	416766	3707	420473	European (EUR)	Y	Allergy Or Anaphylactic Reaction To Drug
20002_1387_PanUKBB_PanUKBBR2_1	566	1.10242451339839e-91	PC13 (2e-67)	PanUKBB	PanUKBBR2	20002_1387	Hayfever/Allergic Rhinitis (UKBB)	IMD	416137	25091	441228	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	Y	Hayfever/Allergic Rhinitis
20002_1417_PanUKBB_PanUKBBR2_1	566	6.65904031185859e-20	PC13 (5e-18)	PanUKBB	PanUKBBR2	20002_1417	Nasal Polyps (UKBB)	IMD	418630	1843	420473	European (EUR)	Y	Nasal Polyps
20002_1428_PanUKBB_PanUKBBR2_1	566	0.0491838442958546	PC8 (8e-03)	PanUKBB	PanUKBBR2	20002_1428	Thyroiditis (UKBB)	IMD	420272	201	420473	European (EUR)	Y	Thyroiditis
20002_1435_PanUKBB_PanUKBBR2_1	566	0.210378840699243	PC4 (3e-02)	PanUKBB	PanUKBBR2	20002_1435	Optic Neuritis (UKBB)	IMD	420342	131	420473	European (EUR)	Y	Optic Neuritis
20002_1437_PanUKBB_PanUKBBR2_1	566	0.656699511611252	PC1 (2e-02)	PanUKBB	PanUKBBR2	20002_1437	Myasthenia Gravis (UKBB)	IMD	420357	116	420473	European (EUR)	Y	Myasthenia Gravis
20002_1448_PanUKBB_PanUKBBR2_1	566	0.739027023151301	PC11 (1e-01)	PanUKBB	PanUKBBR2	20002_1448	neutropenia/lymphopenia (UKBB)	IMD	420362	111	420473	European (EUR)	Y	neutropenia/lymphopenia
20002_1452_PanUKBB_PanUKBBR2_1	566	7.02063634589113e-17	PC13 (1e-12)	PanUKBB	PanUKBBR2	20002_1452	Eczema/Dermatitis (UKBB)	IMD	427501	11152	438653	Trans-ethnic (AFR,CSA,EAS,EUR)	Y	Eczema/Dermatitis
20002_1453_PanUKBB_PanUKBBR2_1	566	1.23026906311779e-06	PC5 (8e-05)	PanUKBB	PanUKBBR2	20002_1453	Psoriasis (UKBB)	IMD	424412	4898	429310	Trans-ethnic (CSA,EUR)	Y	Psoriasis
20002_1454_PanUKBB_PanUKBBR2_1	566	0.413013433193643	PC12 (1e-02)	PanUKBB	PanUKBBR2	20002_1454	Blistering/Desquamating Skin Disorder (UKBB)	IMD	419809	664	420473	European (EUR)	Y	Blistering/Desquamating Skin Disorder
20002_1456_PanUKBB_PanUKBBR2_1	566	4.3982741097586e-43	PC7 (1e-16)	PanUKBB	PanUKBBR2	20002_1456	Malabsorption/Coeliac Disease (UKBB)	IMD	418634	1827	420461	European (EUR)	Y	Malabsorption/Coeliac Disease
20002_1458_PanUKBB_PanUKBBR2_1	566	0.184733411188085	PC1 (2e-02)	PanUKBB	PanUKBBR2	20002_1458	Diverticular Disease/Diverticulitis (UKBB)	IMD	415692	4781	420473	European (EUR)	Y	Diverticular Disease/Diverticulitis
20002_1459_PanUKBB_PanUKBBR2_1	566	2.41054554282591e-31	PC1 (4e-13)	PanUKBB	PanUKBBR2	20002_1459	Colitis/Not Crohns Or Ulcerative Colitis (UKBB)	IMD	419384	1089	420473	European (EUR)	Y	Colitis/Not Crohns Or Ulcerative Colitis
20002_1461_PanUKBB_PanUKBBR2_1	566	0.245801125056074	PC6 (1e-02)	PanUKBB	PanUKBBR2	20002_1461	Inflammatory Bowel Disease (UKBB)	IMD	420314	159	420473	European (EUR)	Y	Inflammatory Bowel Disease
20002_1462_PanUKBB_PanUKBBR2_1	566	3.15959703468305e-83	PC1 (2e-37)	PanUKBB	PanUKBBR2	20002_1462	Crohns Disease (UKBB)	IMD	419198	1275	420473	European (EUR)	Y	Crohns Disease
20002_1463_PanUKBB_PanUKBBR2_1	566	1.13401444051192e-96	PC10 (2e-30)	PanUKBB	PanUKBBR2	20002_1463	Ulcerative Colitis (UKBB)	IMD	427055	2267	429322	Trans-ethnic (CSA,EUR)	Y	Ulcerative Colitis
20002_1464_PanUKBB_PanUKBBR2_1	566	9.38697793125407e-40	PC9 (3e-14)	PanUKBB	PanUKBBR2	20002_1464	Rheumatoid Arthritis (UKBB)	IMD	431030	4916	435946	Trans-ethnic (AFR,CSA,EUR)	Y	Rheumatoid Arthritis
20002_1466_PanUKBB_PanUKBBR2_1	566	0.0100965353098714	PC5 (5e-03)	PanUKBB	PanUKBBR2	20002_1466	Gout (UKBB)	IMD	423213	6109	429322	Trans-ethnic (CSA,EUR)	Y	Gout
20002_1477_PanUKBB_PanUKBBR2_1	566	0.000428756320286082	PC1 (5e-03)	PanUKBB	PanUKBBR2	20002_1477	Psoriatic Arthropathy (UKBB)	IMD	419662	811	420473	European (EUR)	Y	Psoriatic Arthropathy
20002_1530_PanUKBB_PanUKBBR2_1	566	0.802261325723466	PC6 (2e-01)	PanUKBB	PanUKBBR2	20002_1530	Iritis (UKBB)	IMD	420294	179	420473	European (EUR)	Y	Iritis
20002_1538_PanUKBB_PanUKBBR2_1	566	0.750534158525946	PC2 (1e-01)	PanUKBB	PanUKBBR2	20002_1538	Arthritis (Nos) (UKBB)	IMD	432490	3456	435946	Trans-ethnic (AFR,CSA,EUR)	Y	Arthritis (Nos)
20002_1549_PanUKBB_PanUKBBR2_1	566	0.268698680600799	PC1 (7e-03)	PanUKBB	PanUKBBR2	20002_1549	Lichen Planus (UKBB)	IMD	420309	164	420473	European (EUR)	Y	Lichen Planus
20002_1550_PanUKBB_PanUKBBR2_1	566	0.464953446881704	PC3 (3e-02)	PanUKBB	PanUKBBR2	20002_1550	Lichen Sclerosis (UKBB)	IMD	420343	130	420473	European (EUR)	Y	Lichen Sclerosis
20002_1608_PanUKBB_PanUKBBR2_1	566	0.0463311292185	PC7 (5e-03)	PanUKBB	PanUKBBR2	20002_1608	Nephritis (UKBB)	IMD	420351	122	420473	European (EUR)	Y	Nephritis
20002_1660_PanUKBB_PanUKBBR2_1	566	0.233913776305087	PC12 (5e-02)	PanUKBB	PanUKBBR2	20002_1660	Rosacea (UKBB)	IMD	419802	671	420473	European (EUR)	Y	Rosacea
20002_1661_PanUKBB_PanUKBBR2_1	566	1.36580026500146e-07	PC1 (7e-07)	PanUKBB	PanUKBBR2	20002_1661	Vitiligo (UKBB)	IMD	420353	120	420473	European (EUR)	Y	Vitiligo
20002_1668_PanUKBB_PanUKBBR2_1	566	0.107858291362353	PC4 (2e-02)	PanUKBB	PanUKBBR2	20002_1668	Allergy To House Dust Mite (UKBB)	IMD	420249	224	420473	European (EUR)	Y	Allergy To House Dust Mite
AAD_Eriksson_33574239_1	541	2.3127387823675e-35	PC1 (1e-15)	Eriksson	33574239	AAD	Autoimmune Addison's disease	IMD	4097	1223	5320	European (Finnish + Norwegian)	Y	Autoimmune Addison's disease
AAVMPO_Wong_up_1	566	4.10274938841573e-14	PC1 (6e-09)	Wong	doi:10.17863/CAM.51022	AAVMPO	MPO+ AAV	IMD	6717	609	7326	?	N	MPO+ AAV
AAVPR3_Wong_up_1	566	2.23512834041992e-07	PC9 (3e-05)	Wong	doi:10.17863/CAM.51022	AAVPR3	PR3+ AAV	IMD	6717	1142	7859	?	N	PR3+ AAV
ACGLONEPH_Sakaue_doi1011012020102320213652_1	534	0.666645938066121	PC4 (4e-01)	Sakaue	doi1011012020102320213652	ACGLONEPH	Acute glomerulonephritis	IMD	174345	443	174788	East Asian (Japanese)	Y	Acute glomerulonephritis
AIHEP_Sakaue_doi1011012020102320213652_1	534	0.922609348018277	PC9 (7e-01)	Sakaue	doi1011012020102320213652	AIHEP	Autoimmune Hepatitis	IMD	166529	85	166614	East Asian (Japanese)	Y	Autoimmune Hepatitis
AITD_Saevarsdottir_32581359_1	552	0	PC1 (6e-156)	Saevarsdottir	32581359	AITD	Autoimmune Thyroid disease	IMD	725172	30234	755406	European (Iceland + UK)	Y	Autoimmune Thyroid disease
ALCON_Sakaue_doi1011012020102320213652_1	534	0.278260670299511	PC6 (2e-01)	Sakaue	doi1011012020102320213652	ALCON	Allergic conjunctivitis	IMD	174719	3900	178619	East Asian (Japanese)	Y	Allergic conjunctivitis
ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN_FinnGen_FinnGenR7_1	562	0.688967043554558	PC9 (5e-02)	FinnGen	FinnGenR7	ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN	Allergic contact dermatitis due to drugs in contact with skin (FinnGen)	IMD	308706	448	309154	European (Finnish)	Y	Allergic contact dermatitis due to drugs in contact with skin
ALLERG_ASTHMA_EXMORE_FinnGen_FinnGenR7_1	562	2.74586274004936e-68	PC13 (2e-55)	FinnGen	FinnGenR7	ALLERG_ASTHMA_EXMORE	Allergic asthma (mode) (more controls excluded) (FinnGen)	IMD	175182	10877	186059	European (Finnish)	Y	Allergic asthma (mode) (more controls excluded)
ALLERG_ASTHMA_FinnGen_FinnGenR7_1	562	1.79403648881579e-68	PC13 (8e-56)	FinnGen	FinnGenR7	ALLERG_ASTHMA	Allergic asthma (FinnGen)	IMD	180942	10877	191819	European (Finnish)	Y	Allergic asthma
ALLERG_RHINITIS_FinnGen_FinnGenR7_1	562	1.52738927552395e-33	PC13 (4e-30)	FinnGen	FinnGenR7	ALLERG_RHINITIS	Allergic rhinitis (FinnGen)	IMD	298829	8430	307259	European (Finnish)	Y	Allergic rhinitis
ALR_Ishigaki_doi101101795948_1	529	0.843126696632542	PC8 (1e-01)	Ishigaki	doi101101795948	ALR	Allergic rhinitis	IMD	206707	5746	212453	East Asian (Japanese)	Y	Allergic rhinitis
ALR_Kubo_BBJ_1	529	0.843126687409909	PC8 (1e-01)	Kubo	BBJ	ALR	Allergic rhinitis	IMD	206707	5746	212453	East Asian (Japanese)	Y	Allergic rhinitis
ALR_Sakaue_doi1011012020102320213652_1	534	0.191364087169066	PC13 (3e-01)	Sakaue	doi1011012020102320213652	ALR	Allergic rhinitis	IMD	153666	7897	161563	East Asian (Japanese)	Y	Allergic rhinitis
ANS_Li_30946743_1	564	0.0730170303371374	PC12 (2e-02)	Li	30946743	ANS	Ankylosing Spondylitis	IMD	1841	1480	3321	Asian (Turkish + Iranian)	Y	Ankylosing Spondylitis
ANS_Li_30946743_2	563	0.0126958546426646	PC10 (1e-03)	Li	30946743	ANS	Ankylosing Spondylitis	IMD	830	479	1309	Asian (Iranian)	Y	Ankylosing Spondylitis
ANS_Li_30946743_3	563	0.00946091661793159	PC12 (7e-03)	Li	30946743	ANS	Ankylosing Spondylitis	IMD	1011	1001	2012	Asian (Turkish)	Y	Ankylosing Spondylitis
APAP_Sakaue_33589587_1	515	0.0142485284338108	PC2 (4e-02)	Sakaue	33589587	APAP	Autoimmune pulmonary alveolar proteinosis	IMD	395	198	593	East Asian (Japanese)	Y	Autoimmune pulmonary alveolar proteinosis
ARTRHO_POSTDYSENTERIC_FinnGen_FinnGenR7_1	562	0.233870580338835	PC6 (4e-02)	FinnGen	FinnGenR7	ARTRHO_POSTDYSENTERIC	Postydysenteric arthropathy (FinnGen)	IMD	307448	200	307648	European (Finnish)	Y	Postydysenteric arthropathy
ASTAO_Ferreira_30929738_1	565	5.79817431066696e-155	PC13 (4e-131)	Ferreira	30929738	ASTAO	Adult-onset Asthma	IMD	300671	26582	327253	European	Y	Adult-onset Asthma
ASTB_Kubo_BBJ_1	529	2.10674394548039e-06	PC4 (9e-03)	Kubo	BBJ	ASTB	Bronchial Asthma	IMD	201592	8216	209808	East Asian (Japanese)	Y	Bronchial Asthma
ASTCO_Ferreira_30929738_1	565	0	PC13 (6e-228)	Ferreira	30929738	ASTCO	Childhood-onset Asthma	IMD	300671	13962	314633	European	Y	Childhood-onset Asthma
ASTCO_Sakaue_doi1011012020102320213652_1	534	0.0604095380776147	PC13 (2e-02)	Sakaue	doi1011012020102320213652	ASTCO	Childhood-onset Asthma	IMD	161803	547	162350	East Asian (Japanese)	Y	Childhood-onset Asthma
ASTER_Ferreira_29083406_1	565	3.15393870002832e-93	PC13 (2e-66)	Ferreira	29083406	ASTER	Asthma and/or Eczema and/or Rhinitis	IMD	34934	83335	118269	European	N	Asthma and/or Eczema and/or Rhinitis
ASTHMA_ALLERG_EXMORE_FinnGen_FinnGenR7_1	562	1.84941330710257e-34	PC13 (2e-26)	FinnGen	FinnGenR7	ASTHMA_ALLERG_EXMORE	Asthma and allergy (more controls excluded) (FinnGen)	IMD	175182	4512	179694	European (Finnish)	Y	Asthma and allergy (more controls excluded)
ASTHMA_ALLERG_FinnGen_FinnGenR7_1	562	1.33471184854001e-34	PC13 (2e-26)	FinnGen	FinnGenR7	ASTHMA_ALLERG	Asthma and allergy (FinnGen)	IMD	180942	4512	185454	European (Finnish)	Y	Asthma and allergy
ASTHMA_CHILD_EXMORE_FinnGen_FinnGenR7_1	562	4.80937050131867e-35	PC13 (3e-28)	FinnGen	FinnGenR7	ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more controls excluded) (FinnGen)	IMD	175182	4549	179731	European (Finnish)	Y	Childhood asthma (age<16) (more controls excluded)
ASTHMA_CHILD_FinnGen_FinnGenR7_1	562	5.28509832122116e-35	PC13 (3e-28)	FinnGen	FinnGenR7	ASTHMA_CHILD	Childhood asthma (age<16) (FinnGen)	IMD	180942	4549	185491	European (Finnish)	Y	Childhood asthma (age<16)
ASTHMA_EOSINOPHIL_SUGG_FinnGen_FinnGenR7_1	562	7.36179387933711e-47	PC13 (1e-35)	FinnGen	FinnGenR7	ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma (FinnGen)	IMD	276803	1884	278687	European (Finnish)	Y	Suggestive for eosinophilic asthma
ASTHMA_HOSPITAL_MAIN_FinnGen_FinnGenR7_1	562	9.93504534240792e-98	PC13 (3e-85)	FinnGen	FinnGenR7	ASTHMA_HOSPITAL_MAIN	Asthma, hospital admissions , main diagnosis only (FinnGen)	IMD	282796	26358	309154	European (Finnish)	Y	Asthma, hospital admissions , main diagnosis only
ASTHMA_MIXED_EXMORE_FinnGen_FinnGenR7_1	562	1.35749681493949e-16	PC13 (7e-20)	FinnGen	FinnGenR7	ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more controls excluded) (FinnGen)	IMD	175182	2836	178018	European (Finnish)	Y	Asthma mixed form (mode) (more controls excluded)
ASTHMA_MIXED_FinnGen_FinnGenR7_1	562	1.0236952814444e-16	PC13 (6e-20)	FinnGen	FinnGenR7	ASTHMA_MIXED	Asthma mixed form (FinnGen)	IMD	180942	2836	183778	European (Finnish)	Y	Asthma mixed form
ASTHMA_MODE_FinnGen_FinnGenR7_1	562	2.7433259243854e-117	PC13 (2e-102)	FinnGen	FinnGenR7	ASTHMA_MODE	Asthma (mode) (FinnGen)	IMD	181596	32351	213947	European (Finnish)	Y	Asthma (mode)
ASTHMA_NAS_EXMORE_FinnGen_FinnGenR7_1	562	2.84387389010883e-65	PC13 (3e-64)	FinnGen	FinnGenR7	ASTHMA_NAS_EXMORE	Asthma, unspecified (mode) (more controls excluded) (FinnGen)	IMD	175182	20883	196065	European (Finnish)	Y	Asthma, unspecified (mode) (more controls excluded)
