query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	evidence_codes	intersection	intersection_genes	PC	ncopies
query_1	TRUE	1.14206557152766e-11	2118	150	57	0.38	0.0269121813031161	GO:0006955	GO:BP	immune response	16592	2901	GO:0002376|GO:0050896	TAS,TAS,ISS,IBA,TAS,IDA TAS,IDA ISS TAS,TAS,IDA IMP,TAS,ISS,IMP TAS,IDA IEP ISS TAS,TAS,IDA TAS,IBA,TAS,IBA,TAS,IMP,IMP,TAS,TAS,TAS,ISS IBA,IDA IBA TAS NAS IC,IDA,IBA TAS,TAS,IBA TAS,ISS,IMP ISS IBA,IDA ISS TAS,IDA IGI TAS NAS,NAS,TAS,TAS,IBA,TAS,IBA TAS,IBA NAS,IDA IEP TAS,ISS IBA,IMP IBA,IBA,IBA,IBA TAS,IDA IBA,TAS,ISS IBA TAS,IDA,IDA ISS TAS,ISS NAS,IMP,ISS TAS,IDA IBA TAS,IMP	ENSG00000136754,ENSG00000134460,ENSG00000107485,ENSG00000160683,ENSG00000070031,ENSG00000185507,ENSG00000139370,ENSG00000111540,ENSG00000100453,ENSG00000170345,ENSG00000156127,ENSG00000172575,ENSG00000103811,ENSG00000140678,ENSG00000140968,ENSG00000073605,ENSG00000172057,ENSG00000167914,ENSG00000177885,ENSG00000141655,ENSG00000105401,ENSG00000105647,ENSG00000105649,ENSG00000216490,ENSG00000127666,ENSG00000134242,ENSG00000160856,ENSG00000143226,ENSG00000173110,ENSG00000203747,ENSG00000117586,ENSG00000213047,ENSG00000081237,ENSG00000136634,ENSG00000142224,ENSG00000101307,ENSG00000159128,ENSG00000160185,ENSG00000100321,ENSG00000115009,ENSG00000121594,ENSG00000168811,ENSG00000174004,ENSG00000163508,ENSG00000163734,ENSG00000163735,ENSG00000163736,ENSG00000163737,ENSG00000081059,ENSG00000113263,ENSG00000135077,ENSG00000113302,ENSG00000118503,ENSG00000112182,ENSG00000128604,ENSG00000136573,ENSG00000147324	ABI1, IL2RA, GATA3, CXCR5, SCT, IRF7, SLC15A4, RAB5B, GZMB, BATF, FOS, RASGRP1, CTSH, ITGAX, IRF8, GSDMB, GSDMA, ORMDL3, GRB2, TNFRSF11A, CDC37, PIK3R2, RAB3A, IFI30, TICAM1, PTPN22, FCRL3, FCGR2A, HSPA6, FCGR3A, TNFSF4, DENND1B, PTPRC, IL10, IL19, SIRPB1, IFNGR2, UBASH3A, SYNGR1, CCL20, CD80, IL12A, NRROS, EOMES, CXCL3, CXCL5, PPBP, PF4, TCF7, ITK, HAVCR2, IL12B, TNFAIP3, BACH2, IRF5, BLK, MFHAS1	PC2	4
query_1	TRUE	5.65006661525295e-11	2831	150	65	0.433333333333333	0.0229600847756976	GO:0002376	GO:BP	immune system process	16592	1038	GO:0008150	TAS,IMP TAS,IDA ISS IBA TAS,IBA,TAS,IDA IBA TAS,IDA ISS TAS,IMP TAS,TAS,IDA IMP,TAS,ISS,IMP TAS,IDA IEP ISS TAS,TAS,IDA ISS IBA TAS,IBA,ISS,TAS,IBA,TAS,IMP IBA NAS,IMP,TAS,TAS,ISS TAS,ISS IBA,IDA IMP ISS IBA TAS NAS IC,TAS NAS,IDA,IBA TAS,TAS,IBA TAS,ISS IBA,IMP ISS IBA,IDA IMP ISS TAS,IDA IGI TAS NAS,NAS,IDA IBA TAS,IBA TAS,TAS,IBA,TAS,TAS,IDA ISS IBA TAS,IBA TAS NAS,IDA IMP IEP TAS,ISS IBA,IMP IBA,IDA ISS,ISS IBA,IBA,IBA TAS,IDA IBA TAS,ISS TAS,ISS IBA TAS,IDA IMP,IDA ISS TAS IC,IMP ISS NAS,IMP,ISS IBA TAS,IMP,IDA IBA TAS,IMP,IMP	ENSG00000136754,ENSG00000134460,ENSG00000107485,ENSG00000160683,ENSG00000070031,ENSG00000185507,ENSG00000139370,ENSG00000111540,ENSG00000123374,ENSG00000100453,ENSG00000170345,ENSG00000156127,ENSG00000172575,ENSG00000103811,ENSG00000140678,ENSG00000140968,ENSG00000073605,ENSG00000161405,ENSG00000172057,ENSG00000167914,ENSG00000177885,ENSG00000141655,ENSG00000105401,ENSG00000105647,ENSG00000105649,ENSG00000216490,ENSG00000127666,ENSG00000134242,ENSG00000116824,ENSG00000160856,ENSG00000143226,ENSG00000173110,ENSG00000203747,ENSG00000117586,ENSG00000213047,ENSG00000081237,ENSG00000136634,ENSG00000142224,ENSG00000089012,ENSG00000101307,ENSG00000159128,ENSG00000160185,ENSG00000100023,ENSG00000100321,ENSG00000115009,ENSG00000121594,ENSG00000168811,ENSG00000174004,ENSG00000163508,ENSG00000163513,ENSG00000163734,ENSG00000163735,ENSG00000163736,ENSG00000163737,ENSG00000081059,ENSG00000113263,ENSG00000135077,ENSG00000113302,ENSG00000118503,ENSG00000112182,ENSG00000128604,ENSG00000185811,ENSG00000136573,ENSG00000136999,ENSG00000147324	ABI1, IL2RA, GATA3, CXCR5, SCT, IRF7, SLC15A4, RAB5B, CDK2, GZMB, BATF, FOS, RASGRP1, CTSH, ITGAX, IRF8, GSDMB, IKZF3, GSDMA, ORMDL3, GRB2, TNFRSF11A, CDC37, PIK3R2, RAB3A, IFI30, TICAM1, PTPN22, CD2, FCRL3, FCGR2A, HSPA6, FCGR3A, TNFSF4, DENND1B, PTPRC, IL10, IL19, SIRPG, SIRPB1, IFNGR2, UBASH3A, PPIL2, SYNGR1, CCL20, CD80, IL12A, NRROS, EOMES, TGFBR2, CXCL3, CXCL5, PPBP, PF4, TCF7, ITK, HAVCR2, IL12B, TNFAIP3, BACH2, IRF5, IKZF1, BLK, CCN3, MFHAS1	PC2	4
query_1	TRUE	1.0278135377158e-10	392	150	24	0.16	0.0612244897959184	GO:0002521	GO:BP	leukocyte differentiation	16592	1175	GO:0030097|GO:0030154	TAS,IDA ISS,TAS,TAS,ISS,ISS,ISS,IMP IBA,ISS IBA,NAS,IDA,ISS,ISS TAS,IGI NAS,NAS,ISS,IMP IBA,ISS,IDA,ISS,IBA,IDA ISS,IMP,IBA	ENSG00000134460,ENSG00000107485,ENSG00000185507,ENSG00000123374,ENSG00000156127,ENSG00000140968,ENSG00000161405,ENSG00000141655,ENSG00000134242,ENSG00000116824,ENSG00000160856,ENSG00000117586,ENSG00000081237,ENSG00000136634,ENSG00000121594,ENSG00000174004,ENSG00000163508,ENSG00000163513,ENSG00000163737,ENSG00000081059,ENSG00000113263,ENSG00000113302,ENSG00000185811,ENSG00000136573	IL2RA, GATA3, IRF7, CDK2, BATF, IRF8, IKZF3, TNFRSF11A, PTPN22, CD2, FCRL3, TNFSF4, PTPRC, IL10, CD80, NRROS, EOMES, TGFBR2, PF4, TCF7, ITK, IL12B, IKZF1, BLK	PC2	4
query_1	TRUE	1.0278135377158e-10	1545	150	46	0.306666666666667	0.0297734627831715	GO:0006952	GO:BP	defense response	16592	2898	GO:0006950	IBA,IMP TAS,NAS,TAS,IDA TAS,IDA,IDA IMP,TAS,ISS,IMP,IDA TAS,IBA,IBA,ISS,IMP,TAS,ISS IBA,IDA IBA,IBA IC,TAS,TAS,IDA ISS IBA,ISS TAS,IDA TAS NAS,TAS,TAS,TAS,IBA TAS,TAS,ISS IBA,IDA IEP,ISS,IMP,IBA,IBA,IBA,IDA IBA,ISS TAS,TAS,IDA ISS IC,ISS NAS,ISS TAS,IBA,ISS,IDA,IMP	ENSG00000134460,ENSG00000107485,ENSG00000069696,ENSG00000070031,ENSG00000185507,ENSG00000139370,ENSG00000100453,ENSG00000170345,ENSG00000156127,ENSG00000172575,ENSG00000140968,ENSG00000073605,ENSG00000167914,ENSG00000141655,ENSG00000105401,ENSG00000216490,ENSG00000127666,ENSG00000141965,ENSG00000134242,ENSG00000143226,ENSG00000203747,ENSG00000117586,ENSG00000081237,ENSG00000136634,ENSG00000162891,ENSG00000101307,ENSG00000159128,ENSG00000115009,ENSG00000079263,ENSG00000115226,ENSG00000168811,ENSG00000174004,ENSG00000168297,ENSG00000163734,ENSG00000163735,ENSG00000163736,ENSG00000163737,ENSG00000145901,ENSG00000113263,ENSG00000113302,ENSG00000118503,ENSG00000128604,ENSG00000136573,ENSG00000136999,ENSG00000104415,ENSG00000147324	IL2RA, GATA3, DRD4, SCT, IRF7, SLC15A4, GZMB, BATF, FOS, RASGRP1, IRF8, GSDMB, GSDMA, TNFRSF11A, CDC37, IFI30, TICAM1, FEM1A, PTPN22, FCGR2A, FCGR3A, TNFSF4, PTPRC, IL10, IL20, SIRPB1, IFNGR2, CCL20, SP140, FNDC4, IL12A, NRROS, PXK, CXCL3, CXCL5, PPBP, PF4, TNIP1, ITK, IL12B, TNFAIP3, IRF5, BLK, CCN3, CCN4, MFHAS1	PC2	4
query_1	TRUE	1.46836334964333e-10	764	150	32	0.213333333333333	0.0418848167539267	GO:0019221	GO:BP	cytokine-mediated signaling pathway	16592	6495	GO:0007166|GO:0071345	TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,IMP ISS IBA TAS,IMP,TAS,TAS,TAS,ISS,TAS,TAS,TAS,IBA TAS,IBA TAS,IDA IMP TAS,IBA TAS,TAS,TAS,IBA,IBA,IBA,IDA IBA,IBA TAS,IBA TAS,TAS,IDA TAS,TAS	ENSG00000134460,ENSG00000107485,ENSG00000185507,ENSG00000170345,ENSG00000156127,ENSG00000140678,ENSG00000140968,ENSG00000177885,ENSG00000141655,ENSG00000105401,ENSG00000216490,ENSG00000117560,ENSG00000117586,ENSG00000081237,ENSG00000136634,ENSG00000142224,ENSG00000162891,ENSG00000081985,ENSG00000159128,ENSG00000100385,ENSG00000115009,ENSG00000121594,ENSG00000168811,ENSG00000163734,ENSG00000163735,ENSG00000163736,ENSG00000163737,ENSG00000113302,ENSG00000164485,ENSG00000118503,ENSG00000128604,ENSG00000181634	IL2RA, GATA3, IRF7, BATF, FOS, ITGAX, IRF8, GRB2, TNFRSF11A, CDC37, IFI30, FASLG, TNFSF4, PTPRC, IL10, IL19, IL20, IL12RB2, IFNGR2, IL2RB, CCL20, CD80, IL12A, CXCL3, CXCL5, PPBP, PF4, IL12B, IL22RA2, TNFAIP3, IRF5, TNFSF15	PC2	4
query_1	TRUE	4.46849584520387e-10	912	150	34	0.226666666666667	0.037280701754386	GO:0071345	GO:BP	cellular response to cytokine stimulus	16592	19430	GO:0034097|GO:0071310	TAS,IEP TAS,TAS,TAS,TAS,TAS,IDA TAS,TAS,IMP ISS IBA TAS,IMP,TAS,TAS,TAS,ISS,TAS,TAS,TAS,IBA TAS,IBA TAS,IDA IMP TAS,IBA TAS,IDA,TAS,TAS,IBA,IBA,IBA,IDA IBA,IDA,IBA TAS,IBA TAS,TAS,IDA TAS,TAS	ENSG00000134460,ENSG00000107485,ENSG00000185507,ENSG00000170345,ENSG00000156127,ENSG00000140678,ENSG00000140968,ENSG00000177885,ENSG00000141655,ENSG00000105401,ENSG00000216490,ENSG00000117560,ENSG00000117586,ENSG00000081237,ENSG00000136634,ENSG00000142224,ENSG00000162891,ENSG00000081985,ENSG00000159128,ENSG00000100385,ENSG00000115009,ENSG00000138035,ENSG00000121594,ENSG00000168811,ENSG00000163734,ENSG00000163735,ENSG00000163736,ENSG00000163737,ENSG00000081059,ENSG00000113302,ENSG00000164485,ENSG00000118503,ENSG00000128604,ENSG00000181634	IL2RA, GATA3, IRF7, BATF, FOS, ITGAX, IRF8, GRB2, TNFRSF11A, CDC37, IFI30, FASLG, TNFSF4, PTPRC, IL10, IL19, IL20, IL12RB2, IFNGR2, IL2RB, CCL20, PNPT1, CD80, IL12A, CXCL3, CXCL5, PPBP, PF4, TCF7, IL12B, IL22RA2, TNFAIP3, IRF5, TNFSF15	PC2	4
query_1	TRUE	4.46849584520387e-10	1135	150	38	0.253333333333333	0.0334801762114537	GO:0045321	GO:BP	leukocyte activation	16592	13259	GO:0001775|GO:0002376	TAS,IDA ISS,ISS TAS,TAS,ISS,IMP,TAS,TAS,ISS,ISS,TAS,TAS,TAS,IBA,IDA IMP ISS IBA,TAS NAS,IDA,TAS,TAS,ISS IBA,IMP ISS TAS,IDA IGI NAS,IDA IBA,IBA TAS,TAS,IBA TAS NAS,IDA,IMP IBA,IDA ISS,TAS,ISS,ISS IBA TAS,IDA IMP,IDA ISS IC,ISS,IMP,IBA,IMP	ENSG00000134460,ENSG00000107485,ENSG00000139370,ENSG00000111540,ENSG00000156127,ENSG00000172575,ENSG00000103811,ENSG00000140678,ENSG00000140968,ENSG00000161405,ENSG00000172057,ENSG00000177885,ENSG00000105649,ENSG00000127666,ENSG00000134242,ENSG00000116824,ENSG00000160856,ENSG00000143226,ENSG00000173110,ENSG00000117586,ENSG00000081237,ENSG00000136634,ENSG00000089012,ENSG00000101307,ENSG00000100321,ENSG00000121594,ENSG00000168811,ENSG00000163508,ENSG00000163513,ENSG00000163736,ENSG00000081059,ENSG00000113263,ENSG00000135077,ENSG00000113302,ENSG00000118503,ENSG00000185811,ENSG00000136573,ENSG00000147324	IL2RA, GATA3, SLC15A4, RAB5B, BATF, RASGRP1, CTSH, ITGAX, IRF8, IKZF3, ORMDL3, GRB2, RAB3A, TICAM1, PTPN22, CD2, FCRL3, FCGR2A, HSPA6, TNFSF4, PTPRC, IL10, SIRPG, SIRPB1, SYNGR1, CD80, IL12A, EOMES, TGFBR2, PPBP, TCF7, ITK, HAVCR2, IL12B, TNFAIP3, IKZF1, BLK, MFHAS1	PC2	4
query_1	TRUE	1.04590716742804e-09	587	150	27	0.18	0.0459965928449745	GO:0046649	GO:BP	lymphocyte activation	16592	14309	GO:0045321	TAS,IDA ISS,ISS,ISS,IMP,ISS,TAS,IBA,IDA IMP ISS IBA,TAS NAS,IDA,ISS IBA,IMP ISS TAS,IDA IGI NAS,IDA IBA,IBA,IBA TAS NAS,IDA,IMP IBA,IDA ISS,ISS,ISS IBA TAS,IDA,IDA ISS IC,ISS,IMP,IBA	ENSG00000134460,ENSG00000107485,ENSG00000139370,ENSG00000156127,ENSG00000172575,ENSG00000161405,ENSG00000177885,ENSG00000127666,ENSG00000134242,ENSG00000116824,ENSG00000160856,ENSG00000117586,ENSG00000081237,ENSG00000136634,ENSG00000089012,ENSG00000101307,ENSG00000121594,ENSG00000168811,ENSG00000163508,ENSG00000163513,ENSG00000081059,ENSG00000113263,ENSG00000135077,ENSG00000113302,ENSG00000118503,ENSG00000185811,ENSG00000136573	IL2RA, GATA3, SLC15A4, BATF, RASGRP1, IKZF3, GRB2, TICAM1, PTPN22, CD2, FCRL3, TNFSF4, PTPRC, IL10, SIRPG, SIRPB1, CD80, IL12A, EOMES, TGFBR2, TCF7, ITK, HAVCR2, IL12B, TNFAIP3, IKZF1, BLK	PC2	4
query_1	TRUE	1.20469137018568e-09	301	150	20	0.133333333333333	0.0664451827242525	GO:1903131	GO:BP	mononuclear cell differentiation	16592	26209	GO:0002521	TAS,IDA ISS,TAS,ISS,ISS,ISS,ISS IBA,NAS,IDA,ISS,ISS TAS,IGI NAS,NAS,IMP IBA,ISS,ISS,IBA,IDA ISS,IMP,IBA	ENSG00000134460,ENSG00000107485,ENSG00000185507,ENSG00000156127,ENSG00000140968,ENSG00000161405,ENSG00000134242,ENSG00000116824,ENSG00000160856,ENSG00000117586,ENSG00000081237,ENSG00000136634,ENSG00000121594,ENSG00000163508,ENSG00000163513,ENSG00000081059,ENSG00000113263,ENSG00000113302,ENSG00000185811,ENSG00000136573	IL2RA, GATA3, IRF7, BATF, IRF8, IKZF3, PTPN22, CD2, FCRL3, TNFSF4, PTPRC, IL10, CD80, EOMES, TGFBR2, TCF7, ITK, IL12B, IKZF1, BLK	PC2	4
query_1	TRUE	2.18780677256453e-09	978	150	34	0.226666666666667	0.0347648261758691	GO:0034097	GO:BP	response to cytokine	16592	9696	GO:0010033	TAS,IEP TAS,TAS,TAS,TAS,TAS,IDA TAS,TAS,IMP ISS IBA TAS,IMP,TAS,TAS,TAS,ISS,TAS,TAS,TAS,IBA TAS,IBA TAS,IDA IMP TAS,IBA TAS,IDA,TAS,TAS,IBA,IBA,IBA,IDA IBA,IDA,IBA TAS,IBA TAS,TAS,IDA TAS,TAS	ENSG00000134460,ENSG00000107485,ENSG00000185507,ENSG00000170345,ENSG00000156127,ENSG00000140678,ENSG00000140968,ENSG00000177885,ENSG00000141655,ENSG00000105401,ENSG00000216490,ENSG00000117560,ENSG00000117586,ENSG00000081237,ENSG00000136634,ENSG00000142224,ENSG00000162891,ENSG00000081985,ENSG00000159128,ENSG00000100385,ENSG00000115009,ENSG00000138035,ENSG00000121594,ENSG00000168811,ENSG00000163734,ENSG00000163735,ENSG00000163736,ENSG00000163737,ENSG00000081059,ENSG00000113302,ENSG00000164485,ENSG00000118503,ENSG00000128604,ENSG00000181634	IL2RA, GATA3, IRF7, BATF, FOS, ITGAX, IRF8, GRB2, TNFRSF11A, CDC37, IFI30, FASLG, TNFSF4, PTPRC, IL10, IL19, IL20, IL12RB2, IFNGR2, IL2RB, CCL20, PNPT1, CD80, IL12A, CXCL3, CXCL5, PPBP, PF4, TCF7, IL12B, IL22RA2, TNFAIP3, IRF5, TNFSF15	PC2	4
