Label	First_Author	Reference	N0	N1	N	FDR.overall
Dermatomyositis (Miller)	Miller	26291516	4724	705	5429	0.000339746184398376
IIM (Miller)	Miller	26291516	4724	1711	6435	1.88027750125184e-12
Juvenile Dermatomyositis (Miller)	Miller	26291516	4724	473	5197	0.00805681166195242
Polymyositis (Miller)	Miller	26291516	4724	533	5257	6.86874333127727e-07
Dermatomyositis (Rothwell)	Rothwell	36580032	3268	817	4085	1.19002718388315e-05
IIM (Rothwell)	Rothwell	36580032	10260	2565	12825	6.31320789274853e-29
Inclusion Body Myositis (Rothwell)	Rothwell	36580032	1008	252	1260	0.0302488265360906
Jo1+ Myositis (Rothwell)	Rothwell	36580032	1244	310	1554	4.45564717290156e-07
Juvenile Dermatomyositis (Rothwell)	Rothwell	36580032	2032	508	2540	0.00832630878694068
Polymyositis (Rothwell)	Rothwell	36580032	3612	903	4515	5.49309094655313e-11
