Trait	nSNP	overall_p	mscomp	File_ID	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	Chip	Population	Collection	sig_overall
20002_1065_Neale_UKBB_1	558	6.09774335286237e-10	PC2 (3e-05)	20002_1065_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1065	hypertension (UKBB)	OTH	267581	93560	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	Yes
20002_1065_PanUKBB_PanUKBBR1_1	566	2.6874066903256e-15	PC2 (8e-07)	20002_1065_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1065	hypertension (UKBB)	OTH	325698	126196	451894		Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	PanUKBB	Yes
20002_1066_Neale_UKBB_1	558	0.805500576644593	PC3 (1e-01)	20002_1066_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1066	heart/cardiac problem (UKBB)	OTH	359965	1176	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1066_PanUKBB_PanUKBBR1_1	566	0.475957297154423	PC3 (3e-02)	20002_1066_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1066	heart/cardiac problem (UKBB)	OTH	419120	1541	420661		European (EUR)	PanUKBB	No
20002_1067_Neale_UKBB_1	558	0.295733312088188	PC1 (3e-02)	20002_1067_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1067	peripheral vascular disease (UKBB)	OTH	360477	664	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1067_PanUKBB_PanUKBBR1_1	566	0.112248729508868	PC11 (5e-02)	20002_1067_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1067	peripheral vascular disease (UKBB)	OTH	419688	889	420577		European (EUR)	PanUKBB	No
20002_1072_Neale_UKBB_1	558	0.203329761917472	PC10 (2e-02)	20002_1072_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1072	essential hypertension (UKBB)	OTH	359483	1658	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1072_PanUKBB_PanUKBBR1_1	566	0.383698337907117	PC5 (6e-02)	20002_1072_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1072	essential hypertension (UKBB)	OTH	433897	2286	436183		Trans-ethnic (AFR,CSA,EUR)	PanUKBB	No
20002_1074_Neale_UKBB_1	558	0.0647268467775769	PC12 (1e-02)	20002_1074_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1074	angina (UKBB)	OTH	349771	11370	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1074_PanUKBB_PanUKBBR1_1	566	0.077702328941473	PC12 (1e-02)	20002_1074_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1074	angina (UKBB)	OTH	423417	15537	438954		Trans-ethnic (AFR,CSA,EUR,MID)	PanUKBB	No
20002_1075_Neale_UKBB_1	558	0.387520016552753	PC1 (1e-02)	20002_1075_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1075	heart attack/myocardial infarction (UKBB)	OTH	352902	8239	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1075_PanUKBB_PanUKBBR1_1	566	0.0838051251702319	PC1 (3e-03)	20002_1075_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1075	heart attack/myocardial infarction (UKBB)	OTH	425809	11076	436885		Trans-ethnic (AFR,CSA,EUR)	PanUKBB	No
20002_1076_Neale_UKBB_1	558	0.612605840537153	PC12 (7e-02)	20002_1076_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1076	heart failure/pulmonary odema (UKBB)	OTH	360894	247	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1076_PanUKBB_PanUKBBR1_1	566	0.491237037852517	PC5 (4e-02)	20002_1076_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1076	heart failure/pulmonary odema (UKBB)	OTH	420213	301	420514		European (EUR)	PanUKBB	No
20002_1077_Neale_UKBB_1	558	0.476051197354102	PC2 (8e-02)	20002_1077_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1077	heart arrhythmia (UKBB)	OTH	359128	2013	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1077_PanUKBB_PanUKBBR1_1	566	0.603804904162332	PC8 (2e-01)	20002_1077_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1077	heart arrhythmia (UKBB)	OTH	418152	2597	420749		European (EUR)	PanUKBB	No
20002_1078_Neale_UKBB_1	558	0.18508400427403	PC13 (1e-01)	20002_1078_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1078	heart valve problem/heart murmur (UKBB)	OTH	358688	2453	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1078_PanUKBB_PanUKBBR1_1	566	0.103011831029003	PC1 (9e-03)	20002_1078_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1078	heart valve problem/heart murmur (UKBB)	OTH	417607	3239	420846		European (EUR)	PanUKBB	No
20002_1079_Neale_UKBB_1	558	0.928427941151962	PC6 (2e-01)	20002_1079_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1079	cardiomyopathy (UKBB)	OTH	360830	311	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1079_PanUKBB_PanUKBBR1_1	566	0.403333964375282	PC6 (4e-02)	20002_1079_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1079	cardiomyopathy (UKBB)	OTH	420127	396	420523		European (EUR)	PanUKBB	No
20002_1080_Neale_UKBB_1	558	0.891774608400071	PC9 (2e-01)	20002_1080_Neale_UKBB_1-hg38.tsv.gz	Neale	2018	UKBB	20002_1080	pericardial problem (UKBB)	OTH	360939	202	361141	Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	UKBB	No
20002_1080_PanUKBB_PanUKBBR1_1	566	0.97019898457885	PC8 (3e-01)	20002_1080_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	PanUKBB	2020	PanUKBBR1	20002_1080	pericardial problem (UKBB)	OTH	420241	256	420497		European (EUR)	PanUKBB	No
