query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	evidence_codes	intersection	intersection_genes	PC
query_1	TRUE	3.50564240966752e-08	764	107	25	0.233644859813084	0.0327225130890052	GO:0019221	GO:BP	cytokine-mediated signaling pathway	16592	6495	GO:0007166|GO:0071345	TAS,TAS,TAS,TAS,TAS,TAS,IBA,IDA IBA TAS,IBA TAS,IMP ISS IBA TAS,IDA NAS,ISS,TAS,TAS,TAS,TAS,IDA IMP TAS,IDA,IDA IMP,IBA TAS,IMP IBA TAS,IDA TAS,TAS,IDA ISS IBA TAS,IBA TAS	ENSG00000134460,ENSG00000185507,ENSG00000170345,ENSG00000140678,ENSG00000167207,ENSG00000140968,ENSG00000108688,ENSG00000108691,ENSG00000172156,ENSG00000141655,ENSG00000245848,ENSG00000081237,ENSG00000136634,ENSG00000142224,ENSG00000162891,ENSG00000100985,ENSG00000100385,ENSG00000100311,ENSG00000178623,ENSG00000113302,ENSG00000145623,ENSG00000128604,ENSG00000181634,ENSG00000096968,ENSG00000162594	IL2RA, IRF7, FOS, ITGAX, NOD2, IRF8, CCL7, CCL2, CCL11, TNFRSF11A, CEBPA, PTPRC, IL10, IL19, IL20, IL23R, MMP9, IL2RB, PDGFB, GPR35, IL12B, OSMR, IRF5, TNFSF15, JAK2	PC1
query_1	TRUE	8.3801850431912e-08	1545	107	34	0.317757009345794	0.0220064724919094	GO:0006952	GO:BP	defense response	16592	2898	GO:0006950	IBA,NAS,TAS,IDA TAS,ISS,IDA,ISS,TAS,IMP,IDA IBA TAS NAS IC,IDA TAS,IBA,IDA IEP ISS IBA,IBA TAS,ISS,ISS,ISS IBA,IDA IBA,IBA IC,TAS,TAS,ISS TAS,IDA TAS NAS,TAS,TAS,IDA ISS IC,IC,ISS TAS,IBA,IDA,TAS,IDA TAS,IDA ISS IC,ISS	ENSG00000134460,ENSG00000069696,ENSG00000070031,ENSG00000185507,ENSG00000135148,ENSG00000139370,ENSG00000179630,ENSG00000170345,ENSG00000172575,ENSG00000167207,ENSG00000140968,ENSG00000108688,ENSG00000108691,ENSG00000172156,ENSG00000141655,ENSG00000245848,ENSG00000127666,ENSG00000141965,ENSG00000134242,ENSG00000143226,ENSG00000203747,ENSG00000081237,ENSG00000136634,ENSG00000162891,ENSG00000100985,ENSG00000113302,ENSG00000145623,ENSG00000128604,ENSG00000136573,ENSG00000104415,ENSG00000187796,ENSG00000096968,ENSG00000162594,ENSG00000116288	IL2RA, DRD4, SCT, IRF7, TRAFD1, SLC15A4, LACC1, FOS, RASGRP1, NOD2, IRF8, CCL7, CCL2, CCL11, TNFRSF11A, CEBPA, TICAM1, FEM1A, PTPN22, FCGR2A, FCGR3A, PTPRC, IL10, IL20, IL23R, PARK7, MMP9, IL12B, OSMR, IRF5, BLK, CCN4, CARD9, JAK2	PC1
query_1	TRUE	8.3801850431912e-08	1060	107	28	0.261682242990654	0.0264150943396226	GO:0032101	GO:BP	regulation of response to external stimulus	16592	8566	GO:0009605|GO:0048583	TAS,ISS,IDA,ISS,IMP,IC,IDA,IDA,ISS,ISS,IDA IBA,IBA IC,TAS,TAS,TAS,IDA TAS NAS,TAS,TAS,IDA,IC,TAS,IDA ISS IC,IC,IDA,TAS,IDA TAS,IDA ISS,ISS	ENSG00000070031,ENSG00000135148,ENSG00000139370,ENSG00000179630,ENSG00000172575,ENSG00000167207,ENSG00000108688,ENSG00000108691,ENSG00000141655,ENSG00000245848,ENSG00000141965,ENSG00000134242,ENSG00000143226,ENSG00000203747,ENSG00000081237,ENSG00000136634,ENSG00000162891,ENSG00000100985,ENSG00000100311,ENSG00000078098,ENSG00000130561,ENSG00000113302,ENSG00000145623,ENSG00000104415,ENSG00000187796,ENSG00000096968,ENSG00000162594,ENSG00000116288	SCT, TRAFD1, SLC15A4, LACC1, RASGRP1, NOD2, CCL7, CCL2, TNFRSF11A, CEBPA, FEM1A, PTPN22, FCGR2A, FCGR3A, PTPRC, IL10, IL20, IL23R, PARK7, MMP9, PDGFB, FAP, SAG, IL12B, OSMR, CCN4, CARD9, JAK2	PC1
query_1	TRUE	1.63065108044303e-07	735	107	23	0.214953271028037	0.0312925170068027	GO:0006954	GO:BP	inflammatory response	16592	2900	GO:0006952	IBA,TAS,ISS,TAS,IDA IC,IBA,IDA IBA,IBA TAS,ISS,ISS,ISS IBA,IDA IBA,TAS,TAS,TAS,IDA TAS NAS,TAS,TAS,IC,IC,IDA,IDA,ISS	ENSG00000134460,ENSG00000070031,ENSG00000179630,ENSG00000170345,ENSG00000167207,ENSG00000108688,ENSG00000108691,ENSG00000172156,ENSG00000141655,ENSG00000245848,ENSG00000127666,ENSG00000141965,ENSG00000143226,ENSG00000203747,ENSG00000081237,ENSG00000136634,ENSG00000162891,ENSG00000100985,ENSG00000113302,ENSG00000145623,ENSG00000104415,ENSG00000096968,ENSG00000116288	IL2RA, SCT, LACC1, FOS, NOD2, CCL7, CCL2, CCL11, TNFRSF11A, CEBPA, TICAM1, FEM1A, FCGR2A, FCGR3A, PTPRC, IL10, IL20, PARK7, MMP9, IL12B, OSMR, CCN4, JAK2	PC1
query_1	TRUE	2.49493083618771e-07	1319	107	30	0.280373831775701	0.0227445034116755	GO:0042127	GO:BP	regulation of cell population proliferation	16592	11585	GO:0008283|GO:0050794	TAS,IDA,IDA IBA,IMP,ISS,IMP,IDA,TAS,IDA ISS,IBA,ISS,ISS,IDA IBA,IMP ISS,IDA ISS NAS,IMP,IMP ISS,TAS,IDA IBA,TAS,ISS,IMP,IMP,IDA IMP IGI,IGI IBA,IBA,ISS,ISS,IDA IBA,IC	ENSG00000136754,ENSG00000152804,ENSG00000123374,ENSG00000140678,ENSG00000167207,ENSG00000108691,ENSG00000172156,ENSG00000141655,ENSG00000245848,ENSG00000105550,ENSG00000174951,ENSG00000176920,ENSG00000134242,ENSG00000081237,ENSG00000136634,ENSG00000100985,ENSG00000198026,ENSG00000278195,ENSG00000100311,ENSG00000183864,ENSG00000078098,ENSG00000115232,ENSG00000163599,ENSG00000113302,ENSG00000145623,ENSG00000136573,ENSG00000104415,ENSG00000096968,ENSG00000065361,ENSG00000162594	ABI1, HHEX, ERBB3, CDK2, ITGAX, NOD2, CCL2, CCL11, TNFRSF11A, CEBPA, FGF21, FUT1, FUT2, PTPN22, PTPRC, IL10, IL23R, MMP9, ZNF335, SSTR3, PDGFB, TOB2, FAP, ITGA4, CTLA4, IL12B, OSMR, BLK, CCN4, JAK2	PC1
query_1	TRUE	2.49493083618771e-07	912	107	25	0.233644859813084	0.0274122807017544	GO:0071345	GO:BP	cellular response to cytokine stimulus	16592	19430	GO:0034097|GO:0071310	TAS,TAS,TAS,TAS,TAS,IDA TAS,IBA,IDA IEP ISS IBA TAS,IBA TAS,IMP ISS IBA TAS,IDA NAS,ISS,TAS,TAS,TAS,TAS,IDA IMP TAS,IDA,IDA IMP,IBA TAS,IMP IBA TAS,IDA TAS,TAS,IDA ISS IBA TAS,IBA TAS	ENSG00000134460,ENSG00000185507,ENSG00000170345,ENSG00000140678,ENSG00000167207,ENSG00000140968,ENSG00000108688,ENSG00000108691,ENSG00000172156,ENSG00000141655,ENSG00000245848,ENSG00000081237,ENSG00000136634,ENSG00000142224,ENSG00000162891,ENSG00000100985,ENSG00000100385,ENSG00000100311,ENSG00000178623,ENSG00000113302,ENSG00000145623,ENSG00000128604,ENSG00000181634,ENSG00000096968,ENSG00000162594	IL2RA, IRF7, FOS, ITGAX, NOD2, IRF8, CCL7, CCL2, CCL11, TNFRSF11A, CEBPA, PTPRC, IL10, IL19, IL20, IL23R, MMP9, IL2RB, PDGFB, GPR35, IL12B, OSMR, IRF5, TNFSF15, JAK2	PC1
query_1	TRUE	2.49493083618771e-07	773	107	23	0.214953271028037	0.0297542043984476	GO:0031347	GO:BP	regulation of defense response	16592	8304	GO:0006952|GO:0080134	TAS,ISS,IDA,ISS,IMP,IC,ISS,ISS,IDA IBA,IBA IC,TAS,TAS,TAS,IDA TAS NAS,TAS,TAS,IDA ISS IC,IC,IDA,TAS,IDA TAS,IDA ISS,ISS	ENSG00000070031,ENSG00000135148,ENSG00000139370,ENSG00000179630,ENSG00000172575,ENSG00000167207,ENSG00000141655,ENSG00000245848,ENSG00000141965,ENSG00000134242,ENSG00000143226,ENSG00000203747,ENSG00000081237,ENSG00000136634,ENSG00000162891,ENSG00000100985,ENSG00000113302,ENSG00000145623,ENSG00000104415,ENSG00000187796,ENSG00000096968,ENSG00000162594,ENSG00000116288	SCT, TRAFD1, SLC15A4, LACC1, RASGRP1, NOD2, TNFRSF11A, CEBPA, FEM1A, PTPN22, FCGR2A, FCGR3A, PTPRC, IL10, IL20, IL23R, PARK7, MMP9, IL12B, OSMR, CCN4, CARD9, JAK2	PC1
query_1	TRUE	4.99410495877061e-07	2118	107	38	0.355140186915888	0.0179414542020774	GO:0006955	GO:BP	immune response	16592	2901	GO:0002376|GO:0050896	TAS,TAS,TAS,IDA TAS,ISS,IDA ISS TAS,TAS,IDA,TAS,IMP TAS,TAS,IDA IMP IBA NAS,IDA TAS,IBA,IEP ISS IBA TAS,IBA,IMP,ISS IBA,IDA IBA TAS NAS IC,IBA TAS,TAS,IBA TAS,IDA ISS TAS,IDA IGI TAS NAS,NAS,TAS,IBA,TAS,IMP IBA TAS,TAS,IDA ISS TAS,IMP,ISS TAS,IDA IBA TAS,TAS,TAS,IDA ISS IC,ISS	ENSG00000136754,ENSG00000134460,ENSG00000070031,ENSG00000185507,ENSG00000135148,ENSG00000139370,ENSG00000111540,ENSG00000179630,ENSG00000170345,ENSG00000172575,ENSG00000140678,ENSG00000167207,ENSG00000140968,ENSG00000108688,ENSG00000108691,ENSG00000172156,ENSG00000141655,ENSG00000127666,ENSG00000134242,ENSG00000143226,ENSG00000173110,ENSG00000203747,ENSG00000081237,ENSG00000136634,ENSG00000142224,ENSG00000100985,ENSG00000160185,ENSG00000115232,ENSG00000163599,ENSG00000164062,ENSG00000113302,ENSG00000112182,ENSG00000128604,ENSG00000136573,ENSG00000187796,ENSG00000096968,ENSG00000162594,ENSG00000116288	ABI1, IL2RA, SCT, IRF7, TRAFD1, SLC15A4, RAB5B, LACC1, FOS, RASGRP1, ITGAX, NOD2, IRF8, CCL7, CCL2, CCL11, TNFRSF11A, TICAM1, PTPN22, FCGR2A, HSPA6, FCGR3A, PTPRC, IL10, IL19, IL23R, PARK7, MMP9, UBASH3A, ITGA4, CTLA4, APEH, IL12B, BACH2, IRF5, BLK, CARD9, JAK2	PC1
query_1	TRUE	6.32696454836732e-07	1478	107	31	0.289719626168224	0.0209742895805142	GO:0008283	GO:BP	cell population proliferation	16592	3580	GO:0009987	TAS,IDA,IDA IBA,IMP,IMP,ISS,IMP,IDA,TAS,IDA ISS,IBA,ISS,ISS,IDA IBA,IMP ISS,IDA ISS NAS,IMP,IMP ISS,TAS,IDA IBA,TAS,ISS,IMP,IMP,IDA IMP IGI,IGI IBA,IBA,ISS,ISS,IDA IBA,IC	ENSG00000136754,ENSG00000152804,ENSG00000123374,ENSG00000172575,ENSG00000140678,ENSG00000167207,ENSG00000108691,ENSG00000172156,ENSG00000141655,ENSG00000245848,ENSG00000105550,ENSG00000174951,ENSG00000176920,ENSG00000134242,ENSG00000081237,ENSG00000136634,ENSG00000100985,ENSG00000198026,ENSG00000278195,ENSG00000100311,ENSG00000183864,ENSG00000078098,ENSG00000115232,ENSG00000163599,ENSG00000113302,ENSG00000145623,ENSG00000136573,ENSG00000104415,ENSG00000096968,ENSG00000065361,ENSG00000162594	ABI1, HHEX, ERBB3, CDK2, RASGRP1, ITGAX, NOD2, CCL2, CCL11, TNFRSF11A, CEBPA, FGF21, FUT1, FUT2, PTPN22, PTPRC, IL10, IL23R, MMP9, ZNF335, SSTR3, PDGFB, TOB2, FAP, ITGA4, CTLA4, IL12B, OSMR, BLK, CCN4, JAK2	PC1
query_1	TRUE	6.32696454836732e-07	978	107	25	0.233644859813084	0.0255623721881391	GO:0034097	GO:BP	response to cytokine	16592	9696	GO:0010033	TAS,TAS,TAS,TAS,TAS,IDA TAS,IBA,IDA IEP ISS IBA TAS,IBA TAS,IMP ISS IBA TAS,IDA NAS,ISS,TAS,TAS,TAS,TAS,IDA IMP TAS,IDA,IDA IMP,IBA TAS,IDA IMP IBA TAS,IDA TAS,TAS,IDA ISS IBA TAS,IDA IBA TAS	ENSG00000134460,ENSG00000185507,ENSG00000170345,ENSG00000140678,ENSG00000167207,ENSG00000140968,ENSG00000108688,ENSG00000108691,ENSG00000172156,ENSG00000141655,ENSG00000245848,ENSG00000081237,ENSG00000136634,ENSG00000142224,ENSG00000162891,ENSG00000100985,ENSG00000100385,ENSG00000100311,ENSG00000178623,ENSG00000113302,ENSG00000145623,ENSG00000128604,ENSG00000181634,ENSG00000096968,ENSG00000162594	IL2RA, IRF7, FOS, ITGAX, NOD2, IRF8, CCL7, CCL2, CCL11, TNFRSF11A, CEBPA, PTPRC, IL10, IL19, IL20, IL23R, MMP9, IL2RB, PDGFB, GPR35, IL12B, OSMR, IRF5, TNFSF15, JAK2	PC1
