query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	evidence_codes	intersection	intersection_genes	PC	ncopies
query_1	TRUE	4.86898589310351e-05	21	150	5	0.0333333333333333	0.238095238095238	GO:0002507	GO:BP	tolerance induction	16592	1161	GO:0002376|GO:0002520	IMP,ISS,IMP,IMP,IBA	ENSG00000134460,ENSG00000163513,ENSG00000135077,ENSG00000118503,ENSG00000136573	IL2RA, TGFBR2, HAVCR2, TNFAIP3, BLK	PC2	2
query_1	TRUE	0.000151485128276785	73	150	7	0.0466666666666667	0.0958904109589041	GO:0034121	GO:BP	regulation of toll-like receptor signaling pathway	16592	9717	GO:0002224|GO:0062207	ISS,IMP,TAS,IMP IBA,IDA,IDA NAS,IMP	ENSG00000185507,ENSG00000139370,ENSG00000127666,ENSG00000134242,ENSG00000160856,ENSG00000118503,ENSG00000147324	IRF7, SLC15A4, TICAM1, PTPN22, FCRL3, TNFAIP3, MFHAS1	PC2	2
query_1	TRUE	0.000265972889916354	278	150	12	0.08	0.0431654676258993	GO:0002460	GO:BP	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	16592	1115	GO:0002250	ISS,ISS,ISS,ISS,IMP,ISS,NAS,NAS,IDA,IDA ISS TAS,ISS,IMP	ENSG00000139370,ENSG00000156127,ENSG00000103811,ENSG00000117586,ENSG00000213047,ENSG00000081237,ENSG00000136634,ENSG00000121594,ENSG00000168811,ENSG00000113302,ENSG00000118503,ENSG00000112182	SLC15A4, BATF, CTSH, TNFSF4, DENND1B, PTPRC, IL10, CD80, IL12A, IL12B, TNFAIP3, BACH2	PC2	2
query_1	TRUE	0.000474750919888583	125	150	8	0.0533333333333333	0.064	GO:0032479	GO:BP	regulation of type I interferon production	16592	8810	GO:0001817|GO:0032606	IDA IMP TAS,ISS,IMP,NAS,TAS,IDA,TAS,IDA IC	ENSG00000185507,ENSG00000140968,ENSG00000134242,ENSG00000136634,ENSG00000100413,ENSG00000135077,ENSG00000118503,ENSG00000128604	IRF7, IRF8, PTPN22, IL10, POLR3H, HAVCR2, TNFAIP3, IRF5	PC2	2
query_1	TRUE	0.000474750919888583	125	150	8	0.0533333333333333	0.064	GO:0032606	GO:BP	type I interferon production	16592	8879	GO:0001816	IDA IMP TAS,ISS,IMP,NAS,TAS,IDA,TAS,IDA IC	ENSG00000185507,ENSG00000140968,ENSG00000134242,ENSG00000136634,ENSG00000100413,ENSG00000135077,ENSG00000118503,ENSG00000128604	IRF7, IRF8, PTPN22, IL10, POLR3H, HAVCR2, TNFAIP3, IRF5	PC2	2
query_1	TRUE	0.000930962338148642	69	150	6	0.04	0.0869565217391304	GO:0002377	GO:BP	immunoglobulin production	16592	1039	GO:0002440	ISS,ISS,IDA,ISS,IMP,IGI NAS	ENSG00000139370,ENSG00000156127,ENSG00000160856,ENSG00000117586,ENSG00000081237,ENSG00000136634	SLC15A4, BATF, FCRL3, TNFSF4, PTPRC, IL10	PC2	2
query_1	TRUE	0.000963957017305244	102	150	7	0.0466666666666667	0.0686274509803922	GO:0062207	GO:BP	regulation of pattern recognition receptor signaling pathway	16592	18636	GO:0002221|GO:0009966	ISS,IMP ISS,TAS,IMP IBA,IDA,IDA NAS,IMP	ENSG00000185507,ENSG00000139370,ENSG00000127666,ENSG00000134242,ENSG00000160856,ENSG00000118503,ENSG00000147324	IRF7, SLC15A4, TICAM1, PTPN22, FCRL3, TNFAIP3, MFHAS1	PC2	1
query_1	TRUE	0.000983741516155808	140	150	8	0.0533333333333333	0.0571428571428571	GO:0002695	GO:BP	negative regulation of leukocyte activation	16592	1345	GO:0002683|GO:0002694|GO:0045321|GO:0050866	IMP IBA,ISS,TAS,IDA NAS,IBA,IDA IMP,ISS,IBA	ENSG00000134242,ENSG00000117586,ENSG00000081237,ENSG00000136634,ENSG00000121594,ENSG00000135077,ENSG00000118503,ENSG00000136573	PTPN22, TNFSF4, PTPRC, IL10, CD80, HAVCR2, TNFAIP3, BLK	PC2	2
query_1	TRUE	0.00117800575735752	281	150	11	0.0733333333333333	0.0391459074733096	GO:0002449	GO:BP	lymphocyte mediated immunity	16592	1104	GO:0002443	ISS,IDA IMP,ISS,IMP,ISS,ISS,IMP,ISS,NAS,IDA,IDA ISS	ENSG00000139370,ENSG00000100453,ENSG00000156127,ENSG00000172575,ENSG00000103811,ENSG00000117586,ENSG00000213047,ENSG00000081237,ENSG00000136634,ENSG00000168811,ENSG00000113302	SLC15A4, GZMB, BATF, RASGRP1, CTSH, TNFSF4, DENND1B, PTPRC, IL10, IL12A, IL12B	PC2	2
query_1	TRUE	0.00133673716026545	46	150	5	0.0333333333333333	0.108695652173913	GO:0002637	GO:BP	regulation of immunoglobulin production	16592	1290	GO:0002377|GO:0002700	ISS,IDA,ISS,IMP,IGI NAS	ENSG00000139370,ENSG00000160856,ENSG00000117586,ENSG00000081237,ENSG00000136634	SLC15A4, FCRL3, TNFSF4, PTPRC, IL10	PC2	1
query_1	TRUE	0.00138410728157568	1647	150	31	0.206666666666667	0.0188221007893139	GO:0048585	GO:BP	negative regulation of response to stimulus	16592	14942	GO:0048519|GO:0048583|GO:0050896	IMP ISS,TAS,TAS,IMP,TAS,IDA IBA,IMP IBA,IDA IMP IBA,IDA,TAS,TAS,TAS,ISS,ISS TAS,IDA IMP,IDA IMP ISS TAS NAS,IBA,IC,ISS IBA,IGI,ISS,TAS,IDA,IDA IBA,IDA,IGI,IDA IMP ISS NAS,IMP ISS,IMP,IMP IBA,IDA	ENSG00000107485,ENSG00000070031,ENSG00000177885,ENSG00000105647,ENSG00000127666,ENSG00000141965,ENSG00000105538,ENSG00000134242,ENSG00000160856,ENSG00000143226,ENSG00000203747,ENSG00000117560,ENSG00000117586,ENSG00000081237,ENSG00000169914,ENSG00000136634,ENSG00000160185,ENSG00000078098,ENSG00000115226,ENSG00000168811,ENSG00000174004,ENSG00000163513,ENSG00000163737,ENSG00000145901,ENSG00000135077,ENSG00000113302,ENSG00000118503,ENSG00000136999,ENSG00000147324,ENSG00000149212,ENSG00000065361	GATA3, SCT, SESN3, ERBB3, GRB2, PIK3R2, TICAM1, FEM1A, RASIP1, PTPN22, FCRL3, FCGR2A, FCGR3A, FASLG, TNFSF4, PTPRC, OTUD3, IL10, UBASH3A, FAP, FNDC4, IL12A, NRROS, TGFBR2, PF4, TNIP1, HAVCR2, IL12B, TNFAIP3, CCN3, MFHAS1	PC2	1
query_1	TRUE	0.00155252524575369	151	150	8	0.0533333333333333	0.0529801324503311	GO:0002224	GO:BP	toll-like receptor signaling pathway	16592	890	GO:0002221	ISS TAS,IMP,IMP ISS IBA TAS,IMP IBA,IDA,ISS,IDA NAS,IMP	ENSG00000185507,ENSG00000139370,ENSG00000127666,ENSG00000134242,ENSG00000160856,ENSG00000145901,ENSG00000118503,ENSG00000147324	IRF7, SLC15A4, TICAM1, PTPN22, FCRL3, TNIP1, TNFAIP3, MFHAS1	PC2	1
query_1	TRUE	0.00155252524575369	77	150	6	0.04	0.0779220779220779	GO:0045621	GO:BP	positive regulation of lymphocyte differentiation	16592	13395	GO:0030098|GO:0045619|GO:0051251|GO:1902107	ISS,ISS,IGI,NAS,ISS,ISS	ENSG00000107485,ENSG00000117586,ENSG00000136634,ENSG00000121594,ENSG00000163513,ENSG00000113302	GATA3, TNFSF4, IL10, CD80, TGFBR2, IL12B	PC2	2
query_1	TRUE	0.0016507979019495	114	150	7	0.0466666666666667	0.0614035087719298	GO:0051250	GO:BP	negative regulation of lymphocyte activation	16592	15751	GO:0002695|GO:0046649|GO:0051249	IMP IBA,ISS,IDA NAS,IBA,IDA,ISS,IBA	ENSG00000134242,ENSG00000117586,ENSG00000136634,ENSG00000121594,ENSG00000135077,ENSG00000118503,ENSG00000136573	PTPN22, TNFSF4, IL10, CD80, HAVCR2, TNFAIP3, BLK	PC2	2
query_1	TRUE	0.00167652112991275	26	150	4	0.0266666666666667	0.153846153846154	GO:0032647	GO:BP	regulation of interferon-alpha production	16592	8920	GO:0032479|GO:0032607	IDA TAS,NAS,IDA,IC	ENSG00000185507,ENSG00000136634,ENSG00000135077,ENSG00000128604	IRF7, IL10, HAVCR2, IRF5	PC2	1
query_1	TRUE	0.00167652112991275	26	150	4	0.0266666666666667	0.153846153846154	GO:0032607	GO:BP	interferon-alpha production	16592	8880	GO:0032606	IDA TAS,NAS,IDA,IC	ENSG00000185507,ENSG00000136634,ENSG00000135077,ENSG00000128604	IRF7, IL10, HAVCR2, IRF5	PC2	1
query_1	TRUE	0.00167652112991275	26	150	4	0.0266666666666667	0.153846153846154	GO:0042092	GO:BP	type 2 immune response	16592	11567	GO:0006955	ISS,ISS,IMP,TAS	ENSG00000156127,ENSG00000117586,ENSG00000213047,ENSG00000136634	BATF, TNFSF4, DENND1B, IL10	PC2	1
query_1	TRUE	0.00188799765235612	158	150	8	0.0533333333333333	0.0506329113924051	GO:0050866	GO:BP	negative regulation of cell activation	16592	15431	GO:0001775|GO:0048523|GO:0050865	IMP IBA,ISS,TAS,IDA NAS,IBA,IDA IMP,ISS,IBA	ENSG00000134242,ENSG00000117586,ENSG00000081237,ENSG00000136634,ENSG00000121594,ENSG00000135077,ENSG00000118503,ENSG00000136573	PTPN22, TNFSF4, PTPRC, IL10, CD80, HAVCR2, TNFAIP3, BLK	PC2	2
query_1	TRUE	0.00213986711300716	84	150	6	0.04	0.0714285714285714	GO:0002456	GO:BP	T cell mediated immunity	16592	1111	GO:0002449|GO:0002460	ISS,ISS,IMP,ISS,IDA,ISS	ENSG00000103811,ENSG00000117586,ENSG00000213047,ENSG00000081237,ENSG00000168811,ENSG00000113302	CTSH, TNFSF4, DENND1B, PTPRC, IL12A, IL12B	PC2	2
query_1	TRUE	0.00214470987662284	11	150	3	0.02	0.272727272727273	GO:0034163	GO:BP	regulation of toll-like receptor 9 signaling pathway	16592	9759	GO:0034121|GO:0034162	IMP,IBA,IDA	ENSG00000139370,ENSG00000134242,ENSG00000160856	SLC15A4, PTPN22, FCRL3	PC2	2
query_1	TRUE	0.00226041008420792	11223	150	122	0.813333333333333	0.0108705337253854	GO:0065007	GO:BP	biological regulation	16592	18663	GO:0008150	TAS,IMP TAS,IDA IMP ISS IBA TAS,IMP IBA TAS,ISS,IDA IMP ISS IBA TAS IC,ISS IBA TAS NAS,IMP,IDA IMP ISS IBA TAS,IDA IMP ISS,IBA,IDA IEP IBA TAS,IBA TAS,IDA TAS,IDA TAS,IDA IMP IGI ISS IBA TAS,ISS IBA TAS,IDA IMP TAS,IDA IMP ISS,IMP ISS TAS,IDA ISS IBA TAS,IMP ISS IBA TAS,IDA IMP IBA,IPI IMP TAS,IDA IMP ISS IBA TAS,IDA IBA TAS,IMP IBA TAS,IDA IMP ISS IBA TAS,IMP ISS IBA TAS,TAS,IMP,HMP TAS,IDA ISO IBA TAS,IBA,IMP HMP ISS IBA TAS,IDA ISS IBA,IDA IMP ISS IBA,IDA ISS IBA TAS NAS,IMP ISS,IBA,ISS,TAS,IDA IMP IBA TAS NAS IC,IDA IMP TAS NAS,IDA IBA,IBA TAS,IBA TAS,IDA IMP IGI IEP IBA TAS,IDA ISS IBA TAS,IMP ISS IBA,IDA IMP IGI ISS IBA TAS NAS,IDA IMP IBA,IMP IBA,IDA IMP IGI ISS TAS NAS,TAS NAS,TAS,IDA IBA TAS,IDA IBA TAS,IBA TAS,IBA TAS,IDA,IBA,IDA IMP IGI HMP,IDA IMP TAS,IBA TAS,TAS,ISS,IBA TAS,IBA TAS,ISS,TAS,IBA,IDA ISS IC,IBA NAS,IDA IBA TAS,IBA,IBA,IDA IMP IBA TAS,ISS IBA,IDA IBA TAS,IDA IMP IBA,IDA IMP ISS IBA,IMP ISS IBA,IDA IMP IBA,IDA IBA TAS NAS,IBA,IBA,IDA IMP IGI ISO TAS,IBA,IBA,ISS,IDA ISS IBA,IDA IMP ISS ISO IBA TAS IC,ISS IBA,IBA TAS,IBA TAS,IBA TAS,IDA IBA TAS,ISS IBA TAS,IDA IMP HMP IBA,IDA ISS IBA TAS,ISS IBA TAS,IDA IMP,IDA IBA TAS,IDA IMP IGI ISS IBA TAS IC,IBA,ISS IBA TAS,IDA IMP ISS IBA TAS NAS,IBA,ISS,IDA IMP IBA TAS IC,IMP ISS IBA,IDA IMP ISS IBA,IDA IMP IBA TAS,IDA IMP ISS IBA,IDA IMP ISS IBA TAS,IMP,IDA IBA,IDA IBA TAS NAS,IDA TAS,IMP IBA,IDA IMP ISS IBA TAS	ENSG00000136754,ENSG00000134460,ENSG00000107485,ENSG00000160683,ENSG00000180176,ENSG00000069696,ENSG00000070031,ENSG00000099834,ENSG00000185507,ENSG00000139370,ENSG00000111540,ENSG00000123374,ENSG00000123411,ENSG00000197728,ENSG00000100453,ENSG00000170345,ENSG00000156127,ENSG00000172575,ENSG00000103811,ENSG00000140678,ENSG00000140968,ENSG00000161405,ENSG00000172057,ENSG00000177885,ENSG00000141655,ENSG00000079999,ENSG00000105401,ENSG00000105647,ENSG00000105649,ENSG00000216490,ENSG00000254858,ENSG00000011485,ENSG00000124440,ENSG00000105355,ENSG00000127666,ENSG00000141965,ENSG00000105538,ENSG00000105550,ENSG00000174951,ENSG00000176909,ENSG00000176920,ENSG00000162694,ENSG00000134242,ENSG00000116824,ENSG00000160856,ENSG00000143226,ENSG00000203747,ENSG00000117560,ENSG00000117586,ENSG00000213047,ENSG00000081237,ENSG00000169914,ENSG00000178828,ENSG00000136634,ENSG00000142224,ENSG00000162891,ENSG00000081985,ENSG00000089012,ENSG00000101307,ENSG00000159128,ENSG00000160183,ENSG00000160185,ENSG00000185651,ENSG00000100385,ENSG00000278195,ENSG00000100316,ENSG00000100321,ENSG00000167074,ENSG00000183864,ENSG00000100410,ENSG00000100413,ENSG00000172346,ENSG00000078098,ENSG00000138386,ENSG00000115009,ENSG00000079263,ENSG00000135899,ENSG00000084734,ENSG00000115226,ENSG00000075426,ENSG00000213626,ENSG00000138035,ENSG00000163389,ENSG00000176142,ENSG00000121594,ENSG00000144843,ENSG00000151967,ENSG00000168811,ENSG00000085274,ENSG00000188306,ENSG00000174004,ENSG00000163508,ENSG00000163513,ENSG00000168297,ENSG00000163734,ENSG00000163735,ENSG00000163736,ENSG00000163737,ENSG00000081059,ENSG00000131507,ENSG00000145901,ENSG00000113263,ENSG00000135077,ENSG00000155868,ENSG00000113302,ENSG00000164611,ENSG00000164485,ENSG00000118503,ENSG00000112182,ENSG00000091138,ENSG00000128604,ENSG00000185811,ENSG00000083307,ENSG00000136573,ENSG00000136999,ENSG00000104415,ENSG00000147324,ENSG00000173281,ENSG00000181634,ENSG00000110367,ENSG00000149212,ENSG00000065361	ABI1, IL2RA, GATA3, DDX6, CXCR5, TH, DRD4, SCT, CDHR5, IRF7, SESN3, SLC15A4, ERBB3, RAB5B, CDK2, IKZF4, RPS26, GZMB, BATF, FOS, RASGRP1, CTSH, ITGAX, IRF8, IKZF3, ORMDL3, GRB2, TNFRSF11A, KEAP1, CDC37, PIK3R2, RAB3A, IFI30, MPV17L2, PPP5C, HIF3A, PLIN3, TICAM1, FEM1A, RASIP1, FGF21, FUT1, MAMSTR, FUT2, EXTL2, PTPN22, CD2, FCRL3, FCGR2A, FCGR3A, FASLG, TNFSF4, DENND1B, PTPRC, OTUD3, RNF186, IL10, IL19, IL20, IL12RB2, SIRPG, SIRPB1, IFNGR2, TMPRSS3, UBASH3A, UBE2L3, IL2RB, SSTR3, RPL3, SYNGR1, PHF5A, POLR3H, TEF, CSDC2, TOB2, FAP, NAB1, CCL20, SP140, SP110, GCKR, FNDC4, FOSL2, LBH, PNPT1, CD80, ADPRH, POGLUT1, TMEM39A, SCHIP1, IL12A, MYNN, LRRIQ4, NRROS, EOMES, TGFBR2, PXK, CXCL3, CXCL5, PPBP, PF4, TCF7, NDFIP1, TNIP1, ITK, HAVCR2, MED7, IL12B, PTTG1, IL22RA2, TNFAIP3, BACH2, SLC26A3, IRF5, IKZF1, GRHL2, BLK, CCN3, CCN4, MFHAS1, PPP1R3B, TNFSF15	PC2	2
query_1	TRUE	0.00227438214375674	164	150	8	0.0533333333333333	0.0487804878048781	GO:0050864	GO:BP	regulation of B cell activation	16592	15429	GO:0042113|GO:0051249	ISS,ISS,IDA,ISS,IMP,IDA IGI NAS,ISS,IBA	ENSG00000139370,ENSG00000161405,ENSG00000160856,ENSG00000117586,ENSG00000081237,ENSG00000136634,ENSG00000118503,ENSG00000136573	SLC15A4, IKZF3, FCRL3, TNFSF4, PTPRC, IL10, TNFAIP3, BLK	PC2	2
query_1	TRUE	0.00263066239575364	490	150	14	0.0933333333333333	0.0285714285714286	GO:0002768	GO:BP	immune response-regulating cell surface receptor signaling pathway	16592	1412	GO:0002764|GO:0007166	TAS,ISS,TAS,TAS,TAS,IDA IBA TAS NAS,IDA,TAS,TAS,IMP IBA,IDA ISS TAS,IBA,ISS IBA TAS,IDA IBA TAS	ENSG00000136754,ENSG00000107485,ENSG00000170345,ENSG00000177885,ENSG00000105647,ENSG00000134242,ENSG00000160856,ENSG00000143226,ENSG00000203747,ENSG00000213047,ENSG00000081237,ENSG00000160185,ENSG00000113263,ENSG00000136573	ABI1, GATA3, FOS, GRB2, PIK3R2, PTPN22, FCRL3, FCGR2A, FCGR3A, DENND1B, PTPRC, UBASH3A, ITK, BLK	PC2	2
query_1	TRUE	0.00274815546408538	89	150	6	0.04	0.0674157303370787	GO:0002286	GO:BP	T cell activation involved in immune response	16592	950	GO:0002285|GO:0042110	ISS,ISS,NAS,IMP IBA,IDA,IDA ISS	ENSG00000156127,ENSG00000117586,ENSG00000121594,ENSG00000163508,ENSG00000135077,ENSG00000113302	BATF, TNFSF4, CD80, EOMES, HAVCR2, IL12B	PC2	2
query_1	TRUE	0.00285926075475617	57	150	5	0.0333333333333333	0.087719298245614	GO:0050854	GO:BP	regulation of antigen receptor-mediated signaling pathway	16592	15419	GO:0009966|GO:0050776|GO:0050851	IDA NAS,IDA,ISS,IBA,IBA TAS	ENSG00000134242,ENSG00000160856,ENSG00000081237,ENSG00000160185,ENSG00000136573	PTPN22, FCRL3, PTPRC, UBASH3A, BLK	PC2	2
query_1	TRUE	0.00295222617018194	322	150	11	0.0733333333333333	0.0341614906832298	GO:0050728	GO:BP	negative regulation of inflammatory response	16592	15325	GO:0006954|GO:0031348|GO:0032102|GO:0050727	IMP,TAS,IDA IBA,TAS,TAS,TAS,IDA TAS NAS,ISS IBA,ISS,ISS,IMP	ENSG00000107485,ENSG00000070031,ENSG00000141965,ENSG00000143226,ENSG00000203747,ENSG00000081237,ENSG00000136634,ENSG00000115226,ENSG00000118503,ENSG00000136999,ENSG00000147324	GATA3, SCT, FEM1A, FCGR2A, FCGR3A, PTPRC, IL10, FNDC4, TNFAIP3, CCN3, MFHAS1	PC2	2
query_1	TRUE	0.00321838245695587	32	150	4	0.0266666666666667	0.125	GO:0002204	GO:BP	somatic recombination of immunoglobulin genes involved in immune response	16592	874	GO:0002208|GO:0016447	ISS,ISS,ISS,NAS	ENSG00000139370,ENSG00000156127,ENSG00000117586,ENSG00000136634	SLC15A4, BATF, TNFSF4, IL10	PC2	2
query_1	TRUE	0.00321838245695587	32	150	4	0.0266666666666667	0.125	GO:0045190	GO:BP	isotype switching	16592	13209	GO:0002204|GO:0002312	ISS,ISS,ISS,NAS	ENSG00000139370,ENSG00000156127,ENSG00000117586,ENSG00000136634	SLC15A4, BATF, TNFSF4, IL10	PC2	2
query_1	TRUE	0.00321838245695587	32	150	4	0.0266666666666667	0.125	GO:0002208	GO:BP	somatic diversification of immunoglobulins involved in immune response	16592	878	GO:0002381|GO:0016445	ISS,ISS,ISS,NAS	ENSG00000139370,ENSG00000156127,ENSG00000117586,ENSG00000136634	SLC15A4, BATF, TNFSF4, IL10	PC2	2
query_1	TRUE	0.00352245077730943	33	150	4	0.0266666666666667	0.121212121212121	GO:0097028	GO:BP	dendritic cell differentiation	16592	21662	GO:1903131	ISS,ISS,ISS,IBA	ENSG00000156127,ENSG00000140968,ENSG00000163513,ENSG00000136573	BATF, IRF8, TGFBR2, BLK	PC2	2
query_1	TRUE	0.00352245077730943	33	150	4	0.0266666666666667	0.121212121212121	GO:2000516	GO:BP	positive regulation of CD4-positive, alpha-beta T cell activation	16592	29707	GO:0035710|GO:0046635|GO:2000514	ISS,NAS,IDA,ISS	ENSG00000117586,ENSG00000121594,ENSG00000163513,ENSG00000113302	TNFSF4, CD80, TGFBR2, IL12B	PC2	1
query_1	TRUE	0.00388138723430595	34	150	4	0.0266666666666667	0.117647058823529	GO:0002381	GO:BP	immunoglobulin production involved in immunoglobulin-mediated immune response	16592	1040	GO:0002377|GO:0016064	ISS,ISS,ISS,NAS	ENSG00000139370,ENSG00000156127,ENSG00000117586,ENSG00000136634	SLC15A4, BATF, TNFSF4, IL10	PC2	2
query_1	TRUE	0.00388138723430595	34	150	4	0.0266666666666667	0.117647058823529	GO:0001913	GO:BP	T cell mediated cytotoxicity	16592	655	GO:0001909|GO:0002456	ISS,ISS,IDA,ISS	ENSG00000103811,ENSG00000081237,ENSG00000168811,ENSG00000113302	CTSH, PTPRC, IL12A, IL12B	PC2	1
query_1	TRUE	0.00388138723430595	3	150	2	0.0133333333333333	0.666666666666667	GO:0030885	GO:BP	regulation of myeloid dendritic cell activation	16592	8063	GO:0001773|GO:0002694	NAS,IMP	ENSG00000116824,ENSG00000135077	CD2, HAVCR2	PC2	2
query_1	TRUE	0.00395696144893646	516	150	14	0.0933333333333333	0.0271317829457364	GO:0002683	GO:BP	negative regulation of immune system process	16592	1333	GO:0002376|GO:0002682|GO:0048519	TAS,IDA IMP IBA,IDA,TAS,TAS,ISS,ISS TAS,IDA TAS NAS,IBA,IBA,IDA IMP,ISS,IBA,IMP	ENSG00000070031,ENSG00000134242,ENSG00000160856,ENSG00000143226,ENSG00000203747,ENSG00000117586,ENSG00000081237,ENSG00000136634,ENSG00000160185,ENSG00000121594,ENSG00000135077,ENSG00000118503,ENSG00000136573,ENSG00000136999	SCT, PTPN22, FCRL3, FCGR2A, FCGR3A, TNFSF4, PTPRC, IL10, UBASH3A, CD80, HAVCR2, TNFAIP3, BLK, CCN3	PC2	1
query_1	TRUE	0.00423584663958444	458	150	13	0.0866666666666667	0.0283842794759825	GO:0002757	GO:BP	immune response-activating signal transduction	16592	1401	GO:0002253|GO:0002764	TAS,ISS,TAS,TAS,IDA IBA TAS NAS,IDA,TAS,TAS,IMP IBA,IDA ISS TAS,IBA,ISS IBA TAS,IDA IBA TAS	ENSG00000136754,ENSG00000107485,ENSG00000177885,ENSG00000105647,ENSG00000134242,ENSG00000160856,ENSG00000143226,ENSG00000203747,ENSG00000213047,ENSG00000081237,ENSG00000160185,ENSG00000113263,ENSG00000136573	ABI1, GATA3, GRB2, PIK3R2, PTPN22, FCRL3, FCGR2A, FCGR3A, DENND1B, PTPRC, UBASH3A, ITK, BLK	PC2	1
query_1	TRUE	0.00423584663958444	458	150	13	0.0866666666666667	0.0283842794759825	GO:0002429	GO:BP	immune response-activating cell surface receptor signaling pathway	16592	1084	GO:0002757|GO:0002768	TAS,ISS,TAS,TAS,IDA IBA TAS NAS,IDA,TAS,TAS,IMP IBA,IDA ISS TAS,IBA,ISS IBA TAS,IDA IBA TAS	ENSG00000136754,ENSG00000107485,ENSG00000177885,ENSG00000105647,ENSG00000134242,ENSG00000160856,ENSG00000143226,ENSG00000203747,ENSG00000213047,ENSG00000081237,ENSG00000160185,ENSG00000113263,ENSG00000136573	ABI1, GATA3, GRB2, PIK3R2, PTPN22, FCRL3, FCGR2A, FCGR3A, DENND1B, PTPRC, UBASH3A, ITK, BLK	PC2	1
query_1	TRUE	0.00441837551647539	140	150	7	0.0466666666666667	0.05	GO:0002431	GO:BP	Fc receptor mediated stimulatory signaling pathway	16592	1086	GO:0002429	TAS,TAS,TAS,TAS,TAS,ISS,IBA	ENSG00000136754,ENSG00000177885,ENSG00000105647,ENSG00000143226,ENSG00000203747,ENSG00000081237,ENSG00000136573	ABI1, GRB2, PIK3R2, FCGR2A, FCGR3A, PTPRC, BLK	PC2	2
query_1	TRUE	0.00457423356281976	15	150	3	0.02	0.2	GO:0001783	GO:BP	B cell apoptotic process	16592	569	GO:0070227	IMP,IDA,IBA	ENSG00000172057,ENSG00000136634,ENSG00000136573	ORMDL3, IL10, BLK	PC2	2
