query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	evidence_codes	intersection	intersection_genes	PC	ncopies
query_1	TRUE	4.86898589310351e-05	21	150	5	0.0333333333333333	0.238095238095238	GO:0002507	GO:BP	tolerance induction	16592	1161	GO:0002376|GO:0002520	IMP,ISS,IMP,IMP,IBA	ENSG00000134460,ENSG00000163513,ENSG00000135077,ENSG00000118503,ENSG00000136573	IL2RA, TGFBR2, HAVCR2, TNFAIP3, BLK	PC2	2
query_1	TRUE	0.000151485128276785	73	150	7	0.0466666666666667	0.0958904109589041	GO:0046632	GO:BP	alpha-beta T cell differentiation	16592	14292	GO:0030217|GO:0046631	ISS,ISS,NAS,IMP IBA,ISS,IBA,IDA ISS	ENSG00000156127,ENSG00000117586,ENSG00000121594,ENSG00000163508,ENSG00000163513,ENSG00000113263,ENSG00000113302	BATF, TNFSF4, CD80, EOMES, TGFBR2, ITK, IL12B	PC2	2
query_1	TRUE	0.000151485128276785	73	150	7	0.0466666666666667	0.0958904109589041	GO:0034121	GO:BP	regulation of toll-like receptor signaling pathway	16592	9717	GO:0002224|GO:0062207	ISS,IMP,TAS,IMP IBA,IDA,IDA NAS,IMP	ENSG00000185507,ENSG00000139370,ENSG00000127666,ENSG00000134242,ENSG00000160856,ENSG00000118503,ENSG00000147324	IRF7, SLC15A4, TICAM1, PTPN22, FCRL3, TNFAIP3, MFHAS1	PC2	2
query_1	TRUE	0.000221335335931068	145	150	9	0.06	0.0620689655172414	GO:0032680	GO:BP	regulation of tumor necrosis factor production	16592	8953	GO:0032640|GO:1903555	IMP,IMP IBA,IDA,ISS,TAS,IDA,IMP,IMP,ISS	ENSG00000172575,ENSG00000134242,ENSG00000116824,ENSG00000081237,ENSG00000136634,ENSG00000163737,ENSG00000135077,ENSG00000113302,ENSG00000118503	RASGRP1, PTPN22, CD2, PTPRC, IL10, PF4, HAVCR2, IL12B, TNFAIP3	PC2	2
query_1	TRUE	0.000221335335931068	145	150	9	0.06	0.0620689655172414	GO:0032640	GO:BP	tumor necrosis factor production	16592	8913	GO:0071706	IMP,IMP IBA,IDA,ISS,TAS,IDA,IMP,IMP,ISS	ENSG00000172575,ENSG00000134242,ENSG00000116824,ENSG00000081237,ENSG00000136634,ENSG00000163737,ENSG00000135077,ENSG00000113302,ENSG00000118503	RASGRP1, PTPN22, CD2, PTPRC, IL10, PF4, HAVCR2, IL12B, TNFAIP3	PC2	2
query_1	TRUE	0.000265972889916354	278	150	12	0.08	0.0431654676258993	GO:0002460	GO:BP	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	16592	1115	GO:0002250	ISS,ISS,ISS,ISS,IMP,ISS,NAS,NAS,IDA,IDA ISS TAS,ISS,IMP	ENSG00000139370,ENSG00000156127,ENSG00000103811,ENSG00000117586,ENSG00000213047,ENSG00000081237,ENSG00000136634,ENSG00000121594,ENSG00000168811,ENSG00000113302,ENSG00000118503,ENSG00000112182	SLC15A4, BATF, CTSH, TNFSF4, DENND1B, PTPRC, IL10, CD80, IL12A, IL12B, TNFAIP3, BACH2	PC2	2
query_1	TRUE	0.000312246282449348	16	150	4	0.0266666666666667	0.25	GO:0046641	GO:BP	positive regulation of alpha-beta T cell proliferation	16592	14301	GO:0042102|GO:0046633|GO:0046635|GO:0046640	IBA,ISS,IDA,IDA	ENSG00000134242,ENSG00000117586,ENSG00000163513,ENSG00000113302	PTPN22, TNFSF4, TGFBR2, IL12B	PC2	2
query_1	TRUE	0.000380188692679222	10612	150	120	0.8	0.0113079532604599	GO:0050789	GO:BP	regulation of biological process	16592	15367	GO:0008150|GO:0065007	TAS,IMP TAS,IDA IMP ISS IBA TAS,IMP IBA TAS,ISS,IDA IMP ISS IBA TAS IC,ISS IBA TAS,IMP,IDA IMP ISS IBA TAS,IDA IMP ISS,IBA,IDA IEP IBA TAS,IBA TAS,IDA TAS,IDA TAS,IDA IMP IGI ISS IBA TAS,ISS IBA TAS,IDA IMP TAS,IDA ISS,IMP ISS TAS,IDA ISS IBA TAS,IMP ISS IBA TAS,IDA IMP IBA,IPI IMP TAS,IDA IMP ISS IBA TAS,IDA IBA TAS,IMP TAS,IDA IMP ISS IBA TAS,IMP ISS IBA TAS,TAS,IMP,HMP TAS,IDA ISO IBA TAS,IBA,IMP HMP ISS IBA TAS,IDA IBA,IMP IBA,IDA ISS IBA TAS NAS,IMP ISS,IBA,ISS,TAS,IDA IMP IBA TAS NAS IC,IDA IMP TAS NAS,IDA IBA,IBA TAS,IBA TAS,IDA IMP IGI IEP IBA TAS,IDA ISS IBA TAS,IMP ISS IBA,IDA IMP IGI ISS IBA TAS NAS,IDA IMP,IMP IBA,IDA IMP IGI ISS TAS NAS,TAS NAS,TAS,IDA IBA TAS,IDA IBA TAS,IBA TAS,IBA TAS,IBA,IDA IMP IGI HMP,IDA IMP TAS,IBA TAS,TAS,ISS,IBA TAS,IBA TAS,ISS,TAS,IBA,IDA ISS IC,IBA NAS,IDA IBA TAS,IBA,IBA,IDA IBA TAS,ISS IBA,IDA IBA TAS,IDA IMP IBA,IDA IMP ISS IBA,IMP ISS IBA,IDA IMP IBA,IDA IBA TAS NAS,IBA,IBA,IDA IMP IGI ISO TAS,IBA,IBA,ISS,IDA ISS IBA,IDA IMP ISS ISO IBA TAS IC,ISS IBA,IBA TAS,IBA TAS,IBA TAS,IDA IBA TAS,ISS IBA TAS,IDA IMP HMP IBA,IDA ISS IBA TAS,ISS IBA TAS,IDA IMP,IDA IBA TAS,IDA IMP IGI ISS IBA TAS IC,IBA,ISS IBA TAS,IDA IMP ISS IBA TAS NAS,IBA,IDA IMP IBA TAS IC,ISS IBA,IDA IMP ISS IBA,IDA IMP IBA TAS,IDA IMP ISS IBA,IDA IMP ISS IBA TAS,IMP,IDA IBA,IDA IBA TAS NAS,IDA TAS,IMP IBA,IDA IMP ISS IBA TAS	ENSG00000136754,ENSG00000134460,ENSG00000107485,ENSG00000160683,ENSG00000180176,ENSG00000069696,ENSG00000070031,ENSG00000099834,ENSG00000185507,ENSG00000139370,ENSG00000111540,ENSG00000123374,ENSG00000123411,ENSG00000197728,ENSG00000100453,ENSG00000170345,ENSG00000156127,ENSG00000172575,ENSG00000103811,ENSG00000140678,ENSG00000140968,ENSG00000161405,ENSG00000172057,ENSG00000177885,ENSG00000141655,ENSG00000079999,ENSG00000105401,ENSG00000105647,ENSG00000105649,ENSG00000216490,ENSG00000254858,ENSG00000011485,ENSG00000124440,ENSG00000105355,ENSG00000127666,ENSG00000141965,ENSG00000105538,ENSG00000105550,ENSG00000174951,ENSG00000176909,ENSG00000176920,ENSG00000162694,ENSG00000134242,ENSG00000116824,ENSG00000160856,ENSG00000143226,ENSG00000203747,ENSG00000117560,ENSG00000117586,ENSG00000213047,ENSG00000081237,ENSG00000169914,ENSG00000178828,ENSG00000136634,ENSG00000142224,ENSG00000162891,ENSG00000081985,ENSG00000089012,ENSG00000101307,ENSG00000159128,ENSG00000160185,ENSG00000185651,ENSG00000100385,ENSG00000278195,ENSG00000100316,ENSG00000100321,ENSG00000167074,ENSG00000183864,ENSG00000100410,ENSG00000100413,ENSG00000172346,ENSG00000078098,ENSG00000138386,ENSG00000115009,ENSG00000079263,ENSG00000135899,ENSG00000084734,ENSG00000115226,ENSG00000075426,ENSG00000213626,ENSG00000138035,ENSG00000163389,ENSG00000176142,ENSG00000121594,ENSG00000144843,ENSG00000151967,ENSG00000168811,ENSG00000085274,ENSG00000188306,ENSG00000174004,ENSG00000163508,ENSG00000163513,ENSG00000168297,ENSG00000163734,ENSG00000163735,ENSG00000163736,ENSG00000163737,ENSG00000081059,ENSG00000131507,ENSG00000145901,ENSG00000113263,ENSG00000135077,ENSG00000155868,ENSG00000113302,ENSG00000164611,ENSG00000164485,ENSG00000118503,ENSG00000112182,ENSG00000128604,ENSG00000185811,ENSG00000083307,ENSG00000136573,ENSG00000136999,ENSG00000104415,ENSG00000147324,ENSG00000173281,ENSG00000181634,ENSG00000110367,ENSG00000149212,ENSG00000065361	ABI1, IL2RA, GATA3, DDX6, CXCR5, TH, DRD4, SCT, CDHR5, IRF7, SESN3, SLC15A4, ERBB3, RAB5B, CDK2, IKZF4, RPS26, GZMB, BATF, FOS, RASGRP1, CTSH, ITGAX, IRF8, IKZF3, ORMDL3, GRB2, TNFRSF11A, KEAP1, CDC37, PIK3R2, RAB3A, IFI30, MPV17L2, PPP5C, HIF3A, PLIN3, TICAM1, FEM1A, RASIP1, FGF21, FUT1, MAMSTR, FUT2, EXTL2, PTPN22, CD2, FCRL3, FCGR2A, FCGR3A, FASLG, TNFSF4, DENND1B, PTPRC, OTUD3, RNF186, IL10, IL19, IL20, IL12RB2, SIRPG, SIRPB1, IFNGR2, UBASH3A, UBE2L3, IL2RB, SSTR3, RPL3, SYNGR1, PHF5A, POLR3H, TEF, CSDC2, TOB2, FAP, NAB1, CCL20, SP140, SP110, GCKR, FNDC4, FOSL2, LBH, PNPT1, CD80, ADPRH, POGLUT1, TMEM39A, SCHIP1, IL12A, MYNN, LRRIQ4, NRROS, EOMES, TGFBR2, PXK, CXCL3, CXCL5, PPBP, PF4, TCF7, NDFIP1, TNIP1, ITK, HAVCR2, MED7, IL12B, PTTG1, IL22RA2, TNFAIP3, BACH2, IRF5, IKZF1, GRHL2, BLK, CCN3, CCN4, MFHAS1, PPP1R3B, TNFSF15	PC2	2
query_1	TRUE	0.000390944655718852	17	150	4	0.0266666666666667	0.235294117647059	GO:0001773	GO:BP	myeloid dendritic cell activation	16592	559	GO:0002274	ISS,NAS,ISS,IMP	ENSG00000156127,ENSG00000116824,ENSG00000163513,ENSG00000135077	BATF, CD2, TGFBR2, HAVCR2	PC2	2
query_1	TRUE	0.000474750919888583	125	150	8	0.0533333333333333	0.064	GO:0032479	GO:BP	regulation of type I interferon production	16592	8810	GO:0001817|GO:0032606	IDA IMP TAS,ISS,IMP,NAS,TAS,IDA,TAS,IDA IC	ENSG00000185507,ENSG00000140968,ENSG00000134242,ENSG00000136634,ENSG00000100413,ENSG00000135077,ENSG00000118503,ENSG00000128604	IRF7, IRF8, PTPN22, IL10, POLR3H, HAVCR2, TNFAIP3, IRF5	PC2	2
