query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	evidence_codes	intersection	intersection_genes	PC
query_1	TRUE	0.00458035845424991	257	107	8	0.0747663551401869	0.0311284046692607	GO:0032147	GO:BP	activation of protein kinase activity	16592	8588	GO:0045860	IDA,TAS,IDA,IDA,IDA,ISS,IC,IC	ENSG00000069696,ENSG00000167207,ENSG00000100311,ENSG00000113302,ENSG00000181634,ENSG00000096968,ENSG00000162594,ENSG00000116288	DRD4, NOD2, IL23R, PARK7, PDGFB, IL12B, TNFSF15, JAK2	PC1
query_1	TRUE	0.00623380807512999	5	107	2	0.0186915887850467	0.4	GO:2001268	GO:BP	negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	16592	30410	GO:0043154|GO:2001234|GO:2001267	IMP,IMP	ENSG00000100985,ENSG00000116288	PARK7, MMP9	PC1
query_1	TRUE	0.00623380807512999	5	107	2	0.0186915887850467	0.4	GO:0032819	GO:BP	positive regulation of natural killer cell proliferation	16592	9076	GO:0001787|GO:0032816|GO:0032817|GO:0050671	IDA,IC	ENSG00000113302,ENSG00000162594	IL23R, IL12B	PC1
query_1	TRUE	0.0081011720115808	26	107	3	0.0280373831775701	0.115384615384615	GO:0042417	GO:BP	dopamine metabolic process	16592	11771	GO:0006584	IDA IBA NAS,ISS IC,IDA IC	ENSG00000180176,ENSG00000069696,ENSG00000116288	TH, DRD4, PARK7	PC1
query_1	TRUE	0.0081011720115808	6	107	2	0.0186915887850467	0.333333333333333	GO:0042416	GO:BP	dopamine biosynthetic process	16592	11770	GO:0042417|GO:0042423	IDA IBA NAS,IDA IC	ENSG00000180176,ENSG00000116288	TH, PARK7	PC1
query_1	TRUE	0.0081011720115808	6	107	2	0.0186915887850467	0.333333333333333	GO:0070432	GO:BP	regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	16592	18911	GO:0070424|GO:0070431	ISS,IMP IBA	ENSG00000139370,ENSG00000134242	SLC15A4, PTPN22	PC1
query_1	TRUE	0.0081011720115808	26	107	3	0.0280373831775701	0.115384615384615	GO:0050869	GO:BP	negative regulation of B cell activation	16592	15434	GO:0042113|GO:0050864|GO:0051250	IDA,IMP,IBA	ENSG00000136634,ENSG00000163599,ENSG00000136573	IL10, CTLA4, BLK	PC1
query_1	TRUE	0.0081011720115808	6	107	2	0.0186915887850467	0.333333333333333	GO:2000328	GO:BP	regulation of T-helper 17 cell lineage commitment	16592	29528	GO:0010453|GO:0072540|GO:2000319	ISS,ISS	ENSG00000113302,ENSG00000162594	IL23R, IL12B	PC1
query_1	TRUE	0.0081011720115808	6	107	2	0.0186915887850467	0.333333333333333	GO:0034157	GO:BP	positive regulation of toll-like receptor 7 signaling pathway	16592	9753	GO:0034123|GO:0034154|GO:0034155	IMP,IBA	ENSG00000139370,ENSG00000134242	SLC15A4, PTPN22	PC1
query_1	TRUE	0.0081011720115808	6	107	2	0.0186915887850467	0.333333333333333	GO:2000109	GO:BP	regulation of macrophage apoptotic process	16592	29311	GO:0033032|GO:0071888|GO:2000106	TAS,ISS	ENSG00000185507,ENSG00000167207	IRF7, NOD2	PC1
