query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	evidence_codes	intersection	gene_names
query_1	TRUE	0.000171384220709573	176	39	10	0.256410256410256	0.0568181818181818	GO:0001816	GO:BP	cytokine production	5947	594	GO:0010467|GO:0032501	ISS,IDA,IMP,IDA,IDA,IBA,IDA IMP TAS IC,IDA,IDA IBA,ISS	ENSG00000168071,ENSG00000184293,ENSG00000172575,ENSG00000177628,ENSG00000122223,ENSG00000157873,ILMN_1734937,ENSG00000116288,ENSG00000115604,ENSG00000174004	CCDC88B,CLECL1,RASGRP1,GBA,CD244,TNFRSF14,IL23R,PARK7,IL18R1,NRROS
query_1	TRUE	0.000494803505480658	118	39	8	0.205128205128205	0.0677966101694915	GO:0001819	GO:BP	positive regulation of cytokine production	5947	597	GO:0001816|GO:0001817|GO:0010628|GO:0051240	ISS,IDA,IMP,IDA,IBA,IDA TAS IC,IDA,IDA IBA	ENSG00000168071,ENSG00000184293,ENSG00000172575,ENSG00000122223,ENSG00000157873,ILMN_1734937,ENSG00000116288,ENSG00000115604	CCDC88B,CLECL1,RASGRP1,CD244,TNFRSF14,IL23R,PARK7,IL18R1
query_1	TRUE	0.000601814886013783	174	39	9	0.230769230769231	0.0517241379310345	GO:0001817	GO:BP	regulation of cytokine production	5947	595	GO:0001816|GO:0010468|GO:0051239	ISS,IDA,IMP,IDA,IDA,IBA,IDA IMP TAS IC,IDA,IDA IBA	ENSG00000168071,ENSG00000184293,ENSG00000172575,ENSG00000177628,ENSG00000122223,ENSG00000157873,ILMN_1734937,ENSG00000116288,ENSG00000115604	CCDC88B,CLECL1,RASGRP1,GBA,CD244,TNFRSF14,IL23R,PARK7,IL18R1
query_1	TRUE	0.00297730290769856	46	39	5	0.128205128205128	0.108695652173913	GO:0042098	GO:BP	T cell proliferation	5947	11569	GO:0042110|GO:0046651	ISS,IDA,IMP,IBA,IC	ENSG00000168071,ENSG00000184293,ENSG00000172575,ENSG00000157873,ILMN_1734937	CCDC88B,CLECL1,RASGRP1,TNFRSF14,IL23R
query_1	TRUE	0.00297730290769856	21	39	4	0.102564102564103	0.19047619047619	GO:0032729	GO:BP	positive regulation of interferon-gamma production	5947	9002	GO:0001819|GO:0032609|GO:0032649	IMP,IDA,IDA TAS IC,IDA IBA	ENSG00000172575,ENSG00000122223,ILMN_1734937,ENSG00000115604	RASGRP1,CD244,IL23R,IL18R1
query_1	TRUE	0.0046227482899013	60	39	5	0.128205128205128	0.0833333333333333	GO:0046651	GO:BP	lymphocyte proliferation	5947	14310	GO:0032943|GO:0046649	ISS,IDA,IMP,IBA,IC	ENSG00000168071,ENSG00000184293,ENSG00000172575,ENSG00000157873,ILMN_1734937	CCDC88B,CLECL1,RASGRP1,TNFRSF14,IL23R
query_1	TRUE	0.0046227482899013	202	39	8	0.205128205128205	0.0396039603960396	GO:0045937	GO:BP	positive regulation of phosphate metabolic process	5947	13689	GO:0006796|GO:0010562|GO:0019220	IMP IBA,IDA IMP,IDA,IMP,IDA,IBA,IC,IMP IC	ENSG00000065361,ENSG00000172575,ENSG00000141068,ENSG00000177628,ENSG00000122223,ENSG00000157873,ILMN_1734937,ENSG00000116288	ERBB3,RASGRP1,KSR1,GBA,CD244,TNFRSF14,IL23R,PARK7
query_1	TRUE	0.0046227482899013	60	39	5	0.128205128205128	0.0833333333333333	GO:0032943	GO:BP	mononuclear cell proliferation	5947	9162	GO:0070661	ISS,IDA,IMP,IBA,IC	ENSG00000168071,ENSG00000184293,ENSG00000172575,ENSG00000157873,ILMN_1734937	CCDC88B,CLECL1,RASGRP1,TNFRSF14,IL23R
query_1	TRUE	0.0046227482899013	28	39	4	0.102564102564103	0.142857142857143	GO:0032649	GO:BP	regulation of interferon-gamma production	5947	8922	GO:0001817|GO:0032609	IMP,IDA,IDA TAS IC,IDA IBA	ENSG00000172575,ENSG00000122223,ILMN_1734937,ENSG00000115604	RASGRP1,CD244,IL23R,IL18R1
query_1	TRUE	0.0046227482899013	256	39	9	0.230769230769231	0.03515625	GO:0051240	GO:BP	positive regulation of multicellular organismal process	5947	15744	GO:0032501|GO:0048518|GO:0051239	ISS,IDA,IMP,IMP,IDA,IBA,IDA ISS TAS IC,IDA,IDA IBA	ENSG00000168071,ENSG00000184293,ENSG00000172575,ENSG00000177628,ENSG00000122223,ENSG00000157873,ILMN_1734937,ENSG00000116288,ENSG00000115604	CCDC88B,CLECL1,RASGRP1,GBA,CD244,TNFRSF14,IL23R,PARK7,IL18R1
