pid	trait.myos	fdr.myos	trait.other	fdr.other	pairwise_fdr
10:113721259	DM (M)	0.940505067624253	ITP	0.908394788601424	0.994549954142576
10:113721259	DM (M)	0.940505067624253	IgG+ NMO	0.85187	0.99118701566718
10:113721259	DM (M)	0.940505067624253	PBC	0.965647653338418	0.997956209458421
10:113721259	DM (M)	0.940505067624253	JIA	0.965497440425301	0.997947272551313
10:113721259	DM (M)	0.940505067624253	CR(E)ST	0.972552258277322	0.998366998462342
10:113721259	DM (M)	0.940505067624253	MG	0.752658255775498	0.985284419653664
10:113721259	DM (M)	0.940505067624253	Felty	0.86998636312145	0.992264847465986
10:113721259	DM (M)	0.940505067624253	SjS	0.202102879657466	0.952529164782417
10:113721259	DM (M)	0.940505067624253	SSc	0.99085991902834	0.999456211500682
10:113721259	DM (M)	0.940505067624253	GPA	0.97916886800107	0.998760653210413
10:113721259	DM (M)	0.940505067624253	MPO+ AAV	0.688884919400219	0.981490229318641
10:113721259	DM (M)	0.940505067624253	PR3+ AAV	0.785425237154505	0.987233888994965
10:113721259	DM (M)	0.940505067624253	HyperThy	0.711172826750229	0.982816246859227
10:113721259	DM (M)	0.940505067624253	HypoThy	0.679373530427093	0.980924349874885
10:113721259	DM (M)	0.940505067624253	PR	0.951073432766385	0.997089117191059
10:113721259	DM (M)	0.940505067624253	BioMedRhe	0.406020917949418	0.964661254680792
10:113721259	JDM (M)	0.850076175329973	ITP	0.908394788601424	0.986266196347419
10:113721259	JDM (M)	0.850076175329973	IgG+ NMO	0.85187	0.977791783851629
10:113721259	JDM (M)	0.850076175329973	PBC	0.965647653338418	0.994849764802105
10:113721259	JDM (M)	0.850076175329973	JIA	0.965497440425301	0.994827244307656
10:113721259	JDM (M)	0.850076175329973	CR(E)ST	0.972552258277322	0.995884929582381
10:113721259	JDM (M)	0.850076175329973	MG	0.752658255775498	0.962917579705307
10:113721259	JDM (M)	0.850076175329973	Felty	0.86998636312145	0.980507858299908
10:113721259	JDM (M)	0.850076175329973	SjS	0.202102879657466	0.880376212025046
10:113721259	JDM (M)	0.850076175329973	SSc	0.99085991902834	0.998629684102935
10:113721259	JDM (M)	0.850076175329973	GPA	0.97916886800107	0.996876917018514
10:113721259	JDM (M)	0.850076175329973	MPO+ AAV	0.688884919400219	0.953356437203957
10:113721259	JDM (M)	0.850076175329973	PR3+ AAV	0.785425237154505	0.967830130876539
10:113721259	JDM (M)	0.850076175329973	HyperThy	0.711172826750229	0.956697925517762
