#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABI1	PIK3R2	9606.ENSP00000365312	9606.ENSP00000222254	0	0	0	0	0	0.184	0	0.065	0.205
ABI1	BLK	9606.ENSP00000365312	9606.ENSP00000259089	0	0	0	0	0	0.143	0	0.052	0.153
ABI1	STAT3	9606.ENSP00000365312	9606.ENSP00000264657	0	0	0	0	0	0	0	0.178	0.178
ABI1	CDK2	9606.ENSP00000365312	9606.ENSP00000266970	0	0	0	0	0.062	0.134	0	0	0.152
ABI1	ERBB3	9606.ENSP00000365312	9606.ENSP00000267101	0	0	0	0	0	0.155	0	0	0.154
ABI1	DGKE	9606.ENSP00000365312	9606.ENSP00000284061	0	0	0	0	0.049	0	0	0.149	0.156
ABI1	SPRED2	9606.ENSP00000365312	9606.ENSP00000348753	0	0	0	0	0.065	0.145	0	0.067	0.188
ABI1	SPTA1	9606.ENSP00000365312	9606.ENSP00000357129	0	0	0	0	0.065	0.297	0	0.092	0.351
ABI1	INPP5E	9606.ENSP00000365312	9606.ENSP00000360777	0	0	0	0	0.052	0	0	0.309	0.316
ABI1	TGFBR1	9606.ENSP00000365312	9606.ENSP00000364133	0	0	0	0	0.062	0.143	0	0.129	0.238
ABI1	SYK	9606.ENSP00000365312	9606.ENSP00000364907	0	0	0	0	0	0.143	0	0.170	0.258
ABI1	PTPRC	9606.ENSP00000365312	9606.ENSP00000411355	0	0	0	0	0.055	0.120	0	0.070	0.159
ABI1	ITK	9606.ENSP00000365312	9606.ENSP00000398655	0	0	0	0	0	0.220	0	0.115	0.281
ABI1	JAK2	9606.ENSP00000365312	9606.ENSP00000371067	0	0	0	0	0.062	0.143	0	0.263	0.356
ABI1	GRB2	9606.ENSP00000365312	9606.ENSP00000376345	0	0	0	0.621	0.062	0.128	0.600	0.429	0.698
ABI1	ITGA4	9606.ENSP00000365312	9606.ENSP00000380227	0	0	0	0	0	0.334	0.900	0.090	0.934
