pid	trait.myos	fdr.myos	trait.other	fdr.other	pairwise_fdr	chr	bp	nsnps	H0	H1	H2	H3	H4	bestsnp	bestsnp.pp	pbest.myos	pbest.other	pbest.myos.region	pbest.other.region	driver	pdriver.myos
10:6064303	IIM (R)	0.0225633600754077	HypoThy	4.58364152677746e-11	0.02256336012021	10	6064303	3292	2.03806890656269e-08	6.0778269429484e-09	0.717172521652914	0.213781326689045	0.0690461251995242	10:6049054	0.484107543488902	0.116622	9.16854e-15	0.000579449	9.16854e-15	PC2, PC12, PC13	0.00117628891388381
10:6064303	IIM (R)	0.0225633600754077	RA	2.82246686702998e-06	0.0225661188579385	10	6064303	3292	0.00274837586974514	0.00081960687672031	0.324874203013431	0.0961300650433025	0.575427749196801	10:6056986	0.6192016232038	0.000583929	1.83181e-08	0.000579449	1.83181e-08	PC2, PC12, PC13	0.00117628891388381
10:6064303	IIM (R)	0.0225633600754077	HyperThy	0.000362303215964649	0.0229174885134541	10	6064303	3396	0.0593328807686961	0.018518221451855	0.620971792735893	0.193693723692558	0.107483381350998	10:6056986	0.242316195064733	0.000583929	1.08143395129794e-05	0.000579449	1.23594743344451e-07	PC2, PC12, PC13	0.00117628891388381
10:6064303	IIM (R)	0.0225633600754077	JIA	0.000715948257343695	0.0232631541344256	10	6064303	3327	0.041073581732927	0.0126260534476647	0.582527166159066	0.178699191066697	0.185074007593646	10:6056986	0.789228183094609	0.000583929	1.28033e-06	0.000579449	1.28033e-06	PC2, PC12, PC13	0.00117628891388381
11:118871133	IIM (R)	0.042497461971153	SSc	1.49561500000001e-05	0.0425117825227371	11	118871133	1707	1.39834618679843e-06	3.35766757424262e-07	0.661257557770381	0.158418567971283	0.180322140145391	11:118771376	0.0995484184207573	0.00832538	2.118e-11	0.000738446	2.079e-11	PC2, PC9, PC12, PC13	0.00251762215468916
11:118871133	IIM (R)	0.042497461971153	SjS	0.000190554349917061	0.0426799182448311	11	118871133	2442	0.0176073792752721	0.00643494995728818	0.472838952546176	0.172145997747075	0.330972720474188	11:118823838	0.157385535944263	0.00161154	6.802e-07	0.000738446	6.802e-07	PC2, PC9, PC12, PC13	0.00251762215468916
11:35268272	IIM (R)	0.014244100825671	HypoThy	7.28603287908692e-09	0.0142441080079209	11	35268272	2546	1.49923028105381e-06	7.03280129671224e-06	0.142206481067862	0.666763572494469	0.191021414406092	11:35229771	0.0434713102613007	0.0155982	1.3671e-11	2.21943e-06	1.3671e-11	PC2, PC13	0.00058858994427461
11:64329761	IIM (R)	0.00741647580986802	HypoThy	0.00137318872246177	0.0087794803113872	11	64329761	1116	0.343742355641282	0.205158493601774	0.057685350781551	0.0337093995056608	0.359704400469732	11:64340263	0.383194033132886	8.71564e-05	2.80614e-05	8.71564e-05	2.80614e-05	PC8, PC9, PC12, PC13	0.000193320459498929
11:64329761	IIM (R)	0.00741647580986802	JIA	0.0192450292808076	0.0265187747965544	11	64329761	1153	0.444627060517357	0.282922521370628	0.0612610030403183	0.0386361408405143	0.172553274231183	11:64340263	0.204112360621996	8.71564e-05	0.000513273	8.71564e-05	0.000513273	PC8, PC9, PC12, PC13	0.000193320459498929
11:64329761	IIM (R)	0.00741647580986802	SjS	0.0256440823680498	0.032870369461369	11	64329761	933	0.318086409985635	0.186880308114303	0.0997052045884011	0.0579033820873486	0.337424695224312	11:64369120	0.112692354838236	0.000137936	0.0001951	8.71564e-05	0.000185	PC8, PC9, PC12, PC13	0.000193320459498929
1:113834946	IIM (R)	4.27177528723789e-05	HypoThy	3.29332994615147e-150	4.27177528723455e-05	1	113834946	2214	1.58467318650794e-149	5.36315212621313e-148	0.000130319204381009	0.00241560199688194	0.997454078798712	1:113834946	0.999673991457701	1.62873e-07	6.60693e-153	1.5712e-07	6.60693e-153	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
1:113834946	IIM (R)	4.27177528723789e-05	RA	9.96551927055028e-70	4.27177528723455e-05	1	113834946	2214	2.71493889256308e-69	9.18841210803554e-68	0.000130298465850396	0.00241489867600131	0.997454802858157	1:113834946	0.994991485812531	1.62873e-07	2.00124e-72	1.5712e-07	2.00124e-72	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
1:113834946	IIM (R)	4.27177528723789e-05	HyperThy	4.28134171295523e-15	4.27177528766753e-05	1	113834946	2290	4.05690514288368e-15	1.37740659070717e-13	0.000105368176710279	0.00194830920058335	0.997946322622566	1:113834946	0.707796700293933	1.62873e-07	1.69824365246175e-17	1.5712e-07	1.69824365246175e-17	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
1:113834946	IIM (R)	4.27177528723789e-05	JIA	1.12884377929591e-10	4.271786575194e-05	1	113834946	2258	1.55689171846673e-11	5.28710552249449e-10	0.00012718537525196	0.00232403711612667	0.997548776964342	1:113761186	0.709188807500362	1.5712e-07	9.18495e-14	1.5712e-07	9.18495e-14	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
1:113834946	IIM (R)	4.27177528723789e-05	MG	3.59520212941613e-08	4.27537033578229e-05	1	113834946	2206	1.08405049910948e-08	3.67917163587387e-07	7.89230872983144e-05	0.00145639453940063	0.998464303615631	1:113834946	0.611344570925641	1.62873e-07	7.949e-11	1.5712e-07	7.949e-11	PC1, PC2, PC3, PC8, PC9, PC12, PC13	1.01226902541182e-07
